person_id,origin,destination,origin_type,destination_type,direction,origin_is_flexible_land,destination_is_flexible_land,candidate_origin_airports,candidate_destination_airports,fixed_origin_airport,fixed_destination_airport,nearest_airport,nearest_airport_distance_km,airport_rankings,direct_distance_lower_bound_km,direct_lower_bound_origin,direct_lower_bound_destination,technical_min_travel_minutes_lower_bound,technical_min_aircraft_type,technical_min_sea_stops,minimum_fuel_requirement_estimate_kg
P0001,F049,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,F049,A02,58,T1,0,597.5
P0002,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0
P0003,F052,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,F052,A02,71,T2,0,647.5
P0004,LAND,F012,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0
P0005,F022,F033,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",33.0,F022,F033,8,T1,1,82.5
P0006,F018,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,F018,A01,48,T1,0,490.0
P0007,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0
P0008,A02,F021,AIRPORT,FACILITY,outbound,0,0,"[""A02""]",[],A02,,A01,218.0,"[""A01"", ""A02"", ""A03""]",220.0,A02,F021,53,T1,1,550.0
P0009,F004,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,197.0,"[""A01"", ""A02"", ""A03""]",197.0,F004,A01,48,T1,0,492.5
P0010,F038,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,263.0,"[""A03"", ""A02"", ""A01""]",263.0,F038,A03,72,T2,0,657.5
P0011,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0
P0012,F040,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,342.0,"[""A03"", ""A02"", ""A01""]",342.0,F040,A03,94,T2,0,855.0
P0013,F032,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,279.0,"[""A02"", ""A01"", ""A03""]",279.0,F032,A02,77,T2,0,697.5
P0014,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5
P0015,A01,F003,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0
P0016,LAND,F021,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,A01,F021,53,T1,1,545.0
P0017,F021,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,F021,A01,53,T1,0,545.0
P0018,F005,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,190.0,"[""A01"", ""A02"", ""A03""]",190.0,F005,A01,46,T1,0,475.0
P0019,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5
P0020,LAND,F002,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F002,53,T1,1,542.5
P0021,F005,F017,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,153.0,"[""A01"", ""A02"", ""A03""]",40.0,F005,F017,10,T1,1,100.0
P0022,F052,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,F052,A02,71,T2,0,647.5
P0023,F051,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,F051,A03,77,T2,0,697.5
P0024,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0
P0025,F019,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,F019,A01,49,T1,0,510.0
P0026,F042,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,368.0,"[""A03"", ""A02"", ""A01""]",368.0,F042,A03,101,T2,0,920.0
P0027,LAND,F002,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F002,53,T1,1,542.5
P0028,LAND,F010,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,216.0,"[""A01"", ""A02"", ""A03""]",216.0,A01,F010,52,T1,1,540.0
P0029,LAND,F026,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F026,49,T1,1,510.0
P0030,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0
P0031,F007,F002,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",30.0,F007,F002,8,T1,1,75.0
P0032,F001,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,F001,A01,53,T1,0,547.5
P0033,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0
P0034,F048,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,254.0,"[""A03"", ""A02"", ""A01""]",254.0,F048,A03,70,T2,0,635.0
P0035,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0
P0036,A01,F001,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,A01,F001,53,T1,1,547.5
P0037,LAND,F021,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,A01,F021,53,T1,1,545.0
P0038,F036,F046,FACILITY,FACILITY,shuttle,0,0,[],[],,,A02,227.0,"[""A02"", ""A03"", ""A01""]",41.0,F036,F046,10,T1,1,102.5
P0039,F044,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,317.0,"[""A03"", ""A02"", ""A01""]",317.0,F044,A03,87,T2,0,792.5
