left,right,consensus
F001,F002,0.242949657316875
F001,F003,0.242949657316875
F001,F004,0.242949657316875
F001,F005,0.8509166882080255
F001,F006,0.242949657316875
F001,F007,0.242949657316875
F001,F008,0.242949657316875
F001,F009,0.4807360643988245
F001,F010,0.242949657316875
F001,F011,0.4807360643988245
F001,F012,0.8509166882080255
F001,F013,0.242949657316875
F001,F014,0.7058224433035845
F001,F015,0.7058224433035845
F001,F016,0.9294506967326246
F001,F017,0.8509166882080255
F001,F018,0.8509166882080255
F001,F019,0.8643391615585597
F001,F020,0.9294506967326246
F001,F021,0.07853400852459914
F001,F022,0.9294506967326246
F001,F023,0.07853400852459914
F001,F024,0.23871436012781846
F001,F025,0.07853400852459914
F001,F026,0.9294506967326246
F001,F027,0.23871436012781846
F001,F028,0.4807360643988245
F001,F029,0.23871436012781846
F001,F030,0.7765772544434841
F001,F031,0.07853400852459914
F001,F032,0.07853400852459914
F001,F033,0.8643391615585597
F001,F034,0.7833559424529347
F001,F035,0.07853400852459914
F001,F036,0.07853400852459914
F001,F037,0.0
F001,F038,0.0
F001,F039,0.0
F001,F040,0.0
F001,F041,0.0
F001,F042,0.0
F001,F043,0.0
F001,F044,0.0
F001,F045,0.0
F001,F046,0.0
F001,F047,0.0
F001,F048,0.0
F001,F049,0.0
F001,F050,0.0
F001,F051,0.0
F001,F052,0.0
F002,F003,0.9294506967326246
F002,F004,1.0
F002,F005,0.32148366584147414
F002,F006,1.0
F002,F007,1.0
F002,F008,0.8586958855927248
F002,F009,0.546570044746234
F002,F010,0.9294506967326246
F002,F011,0.546570044746234
F002,F012,0.32148366584147414
F002,F013,1.0
F002,F014,0.32148366584147414
F002,F015,0.32148366584147414
F002,F016,0.242949657316875
F002,F017,0.32148366584147414
F002,F018,0.32148366584147414
F002,F019,0.242949657316875
F002,F020,0.242949657316875
F002,F021,0.0
F002,F022,0.242949657316875
F002,F023,0.0
F002,F024,0.080983219105625
F002,F025,0.0
F002,F026,0.242949657316875
F002,F027,0.080983219105625
F002,F028,0.546570044746234
F002,F029,0.080983219105625
F002,F030,0.32148366584147414
F002,F031,0.0
F002,F032,0.0
F002,F033,0.242949657316875
F002,F034,0.242949657316875
F002,F035,0.0
F002,F036,0.0
F002,F037,0.0
F002,F038,0.0
F002,F039,0.0
F002,F040,0.0
F002,F041,0.0
F002,F042,0.0
F002,F043,0.0
F002,F044,0.0
F002,F045,0.0
F002,F046,0.0
F002,F047,0.0
F002,F048,0.0
F002,F049,0.0
F002,F050,0.0
F002,F051,0.0
F002,F052,0.0
F003,F004,0.9294506967326246
F003,F005,0.32148366584147414
F003,F006,0.9294506967326246
F003,F007,0.9294506967326246
F003,F008,0.9292451888601003
F003,F009,0.546570044746234
F003,F010,1.0
F003,F011,0.6171193480136096
F003,F012,0.32148366584147414
F003,F013,0.9294506967326246
F003,F014,0.32148366584147414
F003,F015,0.32148366584147414
F003,F016,0.242949657316875
F003,F017,0.32148366584147414
F003,F018,0.32148366584147414
F003,F019,0.242949657316875
F003,F020,0.242949657316875
F003,F021,0.0
F003,F022,0.242949657316875
F003,F023,0.0
F003,F024,0.080983219105625
F003,F025,0.0
F003,F026,0.242949657316875
F003,F027,0.080983219105625
F003,F028,0.6171193480136096
F003,F029,0.080983219105625
F003,F030,0.32148366584147414
F003,F031,0.0
F003,F032,0.0
F003,F033,0.242949657316875
F003,F034,0.242949657316875
F003,F035,0.0
F003,F036,0.0
F003,F037,0.0
F003,F038,0.0
F003,F039,0.0
F003,F040,0.0
F003,F041,0.0
F003,F042,0.0
F003,F043,0.0
F003,F044,0.0
F003,F045,0.0
F003,F046,0.0
F003,F047,0.0
F003,F048,0.0
F003,F049,0.0
F003,F050,0.0
F003,F051,0.0
F003,F052,0.0
F004,F005,0.32148366584147414
F004,F006,1.0
F004,F007,1.0
F004,F008,0.8586958855927248
F004,F009,0.546570044746234
F004,F010,0.9294506967326246
F004,F011,0.546570044746234
F004,F012,0.32148366584147414
F004,F013,1.0
F004,F014,0.32148366584147414
F004,F015,0.32148366584147414
F004,F016,0.242949657316875
F004,F017,0.32148366584147414
F004,F018,0.32148366584147414
F004,F019,0.242949657316875
F004,F020,0.242949657316875
F004,F021,0.0
F004,F022,0.242949657316875
F004,F023,0.0
F004,F024,0.080983219105625
F004,F025,0.0
F004,F026,0.242949657316875
F004,F027,0.080983219105625
F004,F028,0.546570044746234
F004,F029,0.080983219105625
F004,F030,0.32148366584147414
F004,F031,0.0
F004,F032,0.0
F004,F033,0.242949657316875
F004,F034,0.242949657316875
F004,F035,0.0
F004,F036,0.0
F004,F037,0.0
F004,F038,0.0
F004,F039,0.0
F004,F040,0.0
F004,F041,0.0
F004,F042,0.0
F004,F043,0.0
F004,F044,0.0
F004,F045,0.0
F004,F046,0.0
F004,F047,0.0
F004,F048,0.0
F004,F049,0.0
F004,F050,0.0
F004,F051,0.0
F004,F052,0.0
F005,F006,0.32148366584147414
F005,F007,0.32148366584147414
F005,F008,0.32148366584147414
F005,F009,0.5592700729234237
F005,F010,0.32148366584147414
F005,F011,0.5592700729234237
F005,F012,1.0
F005,F013,0.32148366584147414
F005,F014,0.7843564518281836
F005,F015,0.7843564518281836
F005,F016,0.9214659914754009
F005,F017,0.9294506967326246
F005,F018,1.0
F005,F019,0.7152558497665851
F005,F020,0.9214659914754009
F005,F021,0.0
F005,F022,0.9214659914754009
F005,F023,0.0
F005,F024,0.16018035160321933
F005,F025,0.0
F005,F026,0.9214659914754009
F005,F027,0.16018035160321933
F005,F028,0.5592700729234237
F005,F029,0.16018035160321933
F005,F030,0.8551112629680833
F005,F031,0.0
F005,F032,0.0
F005,F033,0.7152558497665851
F005,F034,0.6342726306609602
F005,F035,0.0
F005,F036,0.0
F005,F037,0.0
F005,F038,0.0
F005,F039,0.0
F005,F040,0.0
F005,F041,0.0
F005,F042,0.0
F005,F043,0.0
F005,F044,0.0
F005,F045,0.0
F005,F046,0.0
F005,F047,0.0
F005,F048,0.0
F005,F049,0.0
F005,F050,0.0
F005,F051,0.0
F005,F052,0.0
F006,F007,1.0
F006,F008,0.8586958855927248
F006,F009,0.546570044746234
F006,F010,0.9294506967326246
F006,F011,0.546570044746234
F006,F012,0.32148366584147414
F006,F013,1.0
F006,F014,0.32148366584147414
F006,F015,0.32148366584147414
F006,F016,0.242949657316875
F006,F017,0.32148366584147414
F006,F018,0.32148366584147414
F006,F019,0.242949657316875
F006,F020,0.242949657316875
F006,F021,0.0
F006,F022,0.242949657316875
F006,F023,0.0
F006,F024,0.080983219105625
F006,F025,0.0
F006,F026,0.242949657316875
F006,F027,0.080983219105625
F006,F028,0.546570044746234
F006,F029,0.080983219105625
F006,F030,0.32148366584147414
F006,F031,0.0
F006,F032,0.0
F006,F033,0.242949657316875
F006,F034,0.242949657316875
F006,F035,0.0
F006,F036,0.0
F006,F037,0.0
F006,F038,0.0
F006,F039,0.0
F006,F040,0.0
F006,F041,0.0
F006,F042,0.0
F006,F043,0.0
F006,F044,0.0
F006,F045,0.0
F006,F046,0.0
F006,F047,0.0
F006,F048,0.0
F006,F049,0.0
F006,F050,0.0
F006,F051,0.0
F006,F052,0.0
F007,F008,0.8586958855927248
F007,F009,0.546570044746234
F007,F010,0.9294506967326246
F007,F011,0.546570044746234
F007,F012,0.32148366584147414
F007,F013,1.0
F007,F014,0.32148366584147414
F007,F015,0.32148366584147414
F007,F016,0.242949657316875
F007,F017,0.32148366584147414
F007,F018,0.32148366584147414
F007,F019,0.242949657316875
F007,F020,0.242949657316875
F007,F021,0.0
F007,F022,0.242949657316875
F007,F023,0.0
F007,F024,0.080983219105625
F007,F025,0.0
F007,F026,0.242949657316875
F007,F027,0.080983219105625
F007,F028,0.546570044746234
F007,F029,0.080983219105625
F007,F030,0.32148366584147414
F007,F031,0.0
F007,F032,0.0
F007,F033,0.242949657316875
F007,F034,0.242949657316875
F007,F035,0.0
F007,F036,0.0
F007,F037,0.0
F007,F038,0.0
F007,F039,0.0
F007,F040,0.0
F007,F041,0.0
F007,F042,0.0
F007,F043,0.0
F007,F044,0.0
F007,F045,0.0
F007,F046,0.0
F007,F047,0.0
F007,F048,0.0
F007,F049,0.0
F007,F050,0.0
F007,F051,0.0
F007,F052,0.0
F008,F009,0.6173248558861338
F008,F010,0.9292451888601003
