node_id,parent_id,depth,status,bound_provenance,inherited_lb,fully_priced_lb,fractional_vars,cg_rounds,pricing_calls,generated_columns,fathom_reason
N0,,0,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,,14090.32748538012,67,16,144,38,
N1-L,N0,1,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.32748538012,14090.32748538012,66,2,18,1,
N1-R,N0,1,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.32748538012,14092.684210526319,68,3,27,4,
N2-LL,N1-L,2,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.32748538012,14090.327485380118,66,2,18,1,
N2-LR,N1-L,2,OPEN_UNPRICED,INHERITED,14090.32748538012,,,,,
N2-RL,N1-R,2,OPEN_UNPRICED,INHERITED,14092.684210526319,,,,,
N2-RR,N1-R,2,OPEN_UNPRICED,INHERITED,14092.684210526319,,,,,
N3-LLL,N2-LL,3,OPEN_UNPRICED,INHERITED,14090.327485380118,,,,,
N3-LLR,N2-LL,3,OPEN_UNPRICED,INHERITED,14090.327485380118,,,,,
N4-LLRL,N3-LLR,4,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380118,14091.36842105263,64,1,9,0,
N4-LLRR,N3-LLR,4,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380118,14090.327485380119,70,2,18,1,
N3-LRL,N2-LR,3,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380119,14090.327485380118,67,1,9,0,
N4-LRLL,N3-LRL,4,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380118,14091.36842105263,66,1,9,0,
N4-LRLR,N3-LRL,4,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380118,14092.684210526319,68,2,18,2,
N3-LRR,N2-LR,3,FULLY_PRICED_FRACTIONAL,FULLY_PRICED,14090.327485380119,14092.684210526317,71,1,9,0,
N4-LLLL,N3-LLL,4,OPEN_UNPRICED,INHERITED,14091.368421052632,,,,,,
N4-LLLR,N3-LLL,4,OPEN_UNPRICED,INHERITED,14091.368421052632,,,,,,
N5-LLRLL,N4-LLRL,5,OPEN_UNPRICED,INHERITED,14091.36842105263,,,,,,
N5-LLRLR,N4-LLRL,5,OPEN_UNPRICED,INHERITED,14091.36842105263,,,,,,
N5-LLRRL,N4-LLRR,5,OPEN_UNPRICED,INHERITED,14090.327485380119,,,,,,
N5-LLRRR,N4-LLRR,5,OPEN_UNPRICED,INHERITED,14090.327485380119,,,,,,
N5-LRLLL,N4-LRLL,5,OPEN_UNPRICED,INHERITED,14091.36842105263,,,,,,
N5-LRLLR,N4-LRLL,5,OPEN_UNPRICED,INHERITED,14091.36842105263,,,,,,
N5-LRLRL,N4-LRLR,5,OPEN_UNPRICED,INHERITED,14092.684210526319,,,,,,
N5-LRLRR,N4-LRLR,5,OPEN_UNPRICED,INHERITED,14092.684210526319,,,,,,
N4-LRRL,N3-LRR,4,OPEN_UNPRICED,INHERITED,14092.684210526317,,,,,,
N4-LRRR,N3-LRR,4,OPEN_UNPRICED,INHERITED,14092.684210526317,,,,,,
