method,aircraft_time_minutes,passenger_time_minutes,flights,fuel_kg,seat_utilization,served_passengers,budget_type,runtime_seconds,runtime_to_best_seconds,seed,best_aircraft_time_minutes,median_aircraft_time_minutes,worst_aircraft_time_minutes,validator,method_status
B0 Safe Baseline,17222,120609,110,142601.0,0.4304743332506707,1600,deterministic,33,33,,17222.0,,,VALID,BASELINE
B1 Generalized Savings,15743,120396,100,128562.3,0.46756730896618726,1600,deterministic,66,66,,15743.0,,,VALID,BASELINE
Classical VND,15371,120870,95,123081.7,0.4822550211643148,1600,deterministic_vnd,149,149,,15371.0,,,VALID,CONTROL
Standard ALNS V0,15278,119864,95,123091.3,0.4842991370169502,1600,300s_wallclock,300.982,300.967,1,15278.0,15313.0,15325.0,VALID,REJECTED_BY_V1
Standard ALNS V1/A3,15118,122061,92,121682.9,0.48445549718239983,1600,300s_wallclock,329.256,329.236,2,15118.0,15185.0,15281.0,VALID,STANDARD_FAIR_CONTROL
Standard ALNS A2 historical,15052,120592,93,121284.8,0.4880754971523766,1600,fixed_iterations,677.094,677.065,4,15052.0,15171.0,15232.0,VALID,OLD_ABSOLUTE_INCUMBENT
Distance Relatedness ALNS,15167,125913,92,122051.6,0.49081504154135003,1600,300s_wallclock,310.178,310.164,2,15167.0,15205.0,15259.0,VALID,REJECT_STANDALONE
Context Repair ALNS,15329,121035,94,123046.6,0.4812404533772221,1600,screen_fixed_iterations,28.726,28.721,2,15329.0,15344.0,15361.0,VALID,REJECT_QUALITY
Combined Relatedness ALNS,15025,121524,91,121382.4,0.4905608639439482,1600,300s_wallclock,310.083,310.067,3,15025.0,15149.0,15288.0,VALID,FAIR_WINNER
Relatedness ALNS extended,14772,121652,89,118645.9,0.49346360383406435,1600,extended_search,808.779,175.722,3,14772.0,14772.0,14772.0,VALID,RELATEDNESS_EXTENDED_BEST
Standard ALNS A2 extended,14770,120845,89,118640.1,0.4933894868760729,1600,extended_search,604.658,82.207,4,14770.0,14770.0,14770.0,VALID,STANDARD_EXTENDED_CANDIDATE
Standard ALNS A3 extended,14770,120845,89,118640.1,0.4933894868760729,1600,extended_search,508.581,13.573,2,14770.0,14770.0,14770.0,VALID,STANDARD_EXTENDED_CANDIDATE
Previous Final Control,14770,120845,89,118640.1,0.4933894868760729,1600,extended_search,604.658,82.207,4,14770.0,,,VALID,FROZEN_CONTROL
Exact Route-Pool Master Round 1,14743,120919,89,118755.4,0.492909516481527,1600,restricted_integer_master,,,,14743.0,,,VALID,OR_IMPROVEMENT
Exact Route-Pool Master 88-flight,14732,123171,88,118661.9,0.49390716867563333,1600,restricted_integer_master,,,,14732.0,,,VALID,LOWEST_FLIGHTS
Exact Route-Pool Master Round 4,14730,122494,89,118624.4,0.4940392806742708,1600,restricted_integer_master,,,,14730.0,,,VALID,PRIMARY_WINNER
Final Master-recombined + Standard ALNS education,14730,121363,89,118624.4,0.49429692253913177,1600,extended_search,,,,14730.0,,,VALID,ADOPT_FINAL
