stage,run_id,aircraft_time_minutes,passenger_time_minutes,flights,fuel_kg,utilization,served,validator,iterations,accepted_moves,route_eliminations,primary_gain_minutes,repair_runtime_seconds
round1_control,20260815-q2-final-repro-s2,17958,263588,97,138075.2,0.8974631474136977,4000,PASS,17,16,0,146,92.245151
extended_control_s5,20260815-q2-round2-extended-control-s5,17853,261230,97,137774.9,0.9026027563897512,4000,PASS,41,33,0,105,185.251546
extended_control_s6,20260815-q2-round2-extended-control-s6,17854,262126,97,137109.0,0.9037613684748841,4000,PASS,24,23,0,104,180.125363
stronger_elite_recombination,20260815-q2-round2-elite-objective,17837,261114,97,138053.1,0.9052093135698817,4000,PASS,4,2,0,16,0.0
global_elite_restart,20260815-q2-round2-restart-global-s7,17798,261030,97,137878.1,0.9055552476407758,4000,PASS,16,16,0,39,90.490566
diverse_elite_restart,20260815-q2-round2-restart-diverse-s7,17835,261591,97,137037.6,0.9053137101274457,4000,PASS,16,16,0,19,93.895228
targeted_five_control,20260815-q2-round2-target5-control-s8,17765,260118,97,137665.5,0.9068433631718337,4000,PASS,17,15,0,33,89.613134
targeted_five,20260815-q2-round2-target5-trigger-s8,17749,259710,97,137435.7,0.9086895699725669,4000,PASS,13,12,0,49,90.214577
flight_elimination,20260815-q2-round2-flight-elimination-s9,17740,259191,97,137436.7,0.9082015349136654,4000,PASS,8,6,0,9,113.078918
fix_and_optimize,20260815-q2-round2-fixopt-s10,17740,259191,97,137436.7,0.9082015349136654,4000,PASS,5,5,0,0,91.716627
cross_exchange,20260815-q2-round2-cross-exchange-s10,17693,258831,97,136752.4,0.9052386881769983,4000,PASS,19,17,0,47,91.207498
portfolio_best,20260815-q2-round2-portfolio-mixed-s11,17679,258347,97,137132.7,0.9065327341856516,4000,PASS,10,9,0,12,91.583767
ml_logging_best,20260815-q2-round2-ml-logging-s22,17656,258619,97,136487.5,0.9072081100480374,4000,PASS,10,10,0,23,61.205535
extended_finalist,20260815-q2-round2-extended-finalist-s30,17634,258049,97,136091.2,0.9092791852700846,4000,PASS,36,28,0,22,179.270356
round2_final,20260815-q2-round2-extended-round1-control-s30,17595,259487,96,135954.1,0.910212354617489,4000,PASS,46,28,1,61,181.496979
