aircraft_type,airport,refuel_facility,two_stop_supported_target_count,supported_targets
T1,A01,F006,4,F003|F004|F007|F010
T1,A01,F011,8,F003|F005|F009|F014|F015|F017|F028|F030
T1,A01,F018,12,F005|F009|F012|F014|F015|F016|F017|F019|F020|F022|F026|F030
T1,A01,F024,9,F016|F017|F019|F020|F021|F022|F025|F027|F029
T1,A01,F031,1,F036
T1,A01,F038,0,
T1,A01,F044,0,
T1,A01,F050,0,
T1,A02,F006,0,
T1,A02,F011,4,F009|F014|F015|F030
T1,A02,F018,9,F005|F012|F014|F016|F017|F020|F022|F026|F030
T1,A02,F024,5,F019|F020|F025|F027|F029
T1,A02,F031,1,F036
T1,A02,F038,0,
T1,A02,F044,0,
T1,A02,F050,0,
T1,A03,F006,0,
T1,A03,F011,0,
T1,A03,F018,0,
T1,A03,F024,1,F027
T1,A03,F031,0,
T1,A03,F038,0,
T1,A03,F044,0,
T1,A03,F050,0,
T2,A01,F006,23,F001|F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F018|F019|F020|F022|F026|F028|F030
T2,A01,F011,30,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F033|F034
T2,A01,F018,32,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F014|F015|F016|F017|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F031|F033|F034|F035|F036
T2,A01,F024,34,F001|F003|F005|F008|F009|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F049|F052
T2,A01,F031,32,F001|F005|F009|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F032|F033|F034|F035|F036|F038|F039|F046|F047|F048|F049|F052
T2,A01,F038,24,F017|F019|F020|F021|F022|F023|F024|F025|F027|F029|F031|F032|F035|F036|F039|F041|F043|F045|F046|F047|F048|F049|F051|F052
T2,A01,F044,12,F036|F038|F039|F041|F043|F045|F046|F047|F048|F049|F051|F052
T2,A01,F050,0,
T2,A02,F006,21,F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F018|F020|F022|F026|F028|F030
T2,A02,F011,28,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F033
T2,A02,F018,30,F001|F003|F004|F005|F008|F009|F010|F011|F012|F014|F015|F016|F017|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F031|F033|F034|F035|F036|F046
T2,A02,F024,32,F001|F005|F009|F011|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F049|F052
T2,A02,F031,32,F001|F005|F012|F014|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F032|F033|F034|F035|F036|F038|F039|F045|F046|F047|F048|F049|F051|F052
T2,A02,F038,22,F020|F021|F023|F024|F025|F027|F029|F031|F032|F035|F036|F039|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T2,A02,F044,14,F031|F036|F038|F039|F040|F041|F043|F045|F046|F047|F048|F049|F051|F052
T2,A02,F050,0,
T2,A03,F006,18,F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F014|F015|F016|F017|F018|F020|F028|F030
T2,A03,F011,27,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F014|F015|F016|F017|F018|F019|F020|F022|F024|F025|F026|F027|F028|F029|F030|F033
T2,A03,F018,24,F001|F003|F005|F009|F011|F012|F014|F015|F016|F017|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F033|F034|F036
T2,A03,F024,30,F001|F005|F009|F012|F014|F015|F016|F017|F018|F019|F020|F021|F022|F023|F025|F026|F027|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F049|F052
T2,A03,F031,29,F001|F016|F017|F018|F019|F020|F021|F022|F023|F024|F025|F026|F027|F029|F030|F032|F033|F034|F035|F036|F038|F039|F045|F046|F047|F048|F049|F051|F052
T2,A03,F038,19,F021|F023|F025|F027|F029|F031|F032|F036|F039|F041|F043|F044|F045|F046|F047|F048|F049|F051|F052
T2,A03,F044,12,F038|F039|F040|F041|F043|F045|F046|F047|F048|F049|F051|F052
T2,A03,F050,0,
T3,A01,F006,30,F001|F002|F003|F004|F005|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F033|F034
T3,A01,F011,34,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F012|F013|F014|F015|F016|F017|F018|F019|F020|F021|F022|F024|F025|F026|F027|F028|F029|F030|F031|F033|F034|F035|F036|F046
T3,A01,F018,40,F001|F002|F003|F004|F005|F006|F007|F008|F009|F010|F011|F012|F013|F014|F015|F016|F017|F019|F020|F021|F022|F023|F024|F025|F026|F027|F028|F029|F030|F031|F032|F033|F034|F035|F036|F039|F046|F047|F049|F052
