起点,终点,需求人数,候选人员对数量,时间窗重叠人员对数量,两两时间窗重叠率,共同时间窗长度（分钟）
A01,F001,4,6,3,0.5,0
A01,F002,7,21,7,0.3333333333333333,0
A01,F003,4,6,3,0.5,0
A01,F004,4,6,2,0.3333333333333333,0
A01,F005,3,3,3,1.0,1492
A01,F006,4,6,3,0.5,0
A01,F007,6,15,6,0.4,0
A01,F008,5,10,4,0.4,0
A01,F009,3,3,3,1.0,1486
A01,F010,4,6,2,0.3333333333333333,0
A01,F011,6,15,7,0.4666666666666667,0
A01,F012,7,21,9,0.42857142857142855,0
A01,F013,5,10,5,0.5,0
A01,F014,3,3,1,0.3333333333333333,0
A01,F015,6,15,11,0.7333333333333333,0
A01,F016,3,3,1,0.3333333333333333,0
A01,F017,5,10,6,0.6,0
A02,F018,4,6,2,0.3333333333333333,0
A02,F019,11,55,22,0.4,0
A02,F020,2,1,0,0.0,0
A02,F021,4,6,3,0.5,0
A02,F022,1,0,0,1.0,1506
A02,F023,4,6,3,0.5,0
A02,F024,11,55,25,0.45454545454545453,0
A02,F025,2,1,1,1.0,2043
A02,F026,5,10,4,0.4,0
A02,F027,9,36,28,0.7777777777777778,0
A02,F028,2,1,1,1.0,85
A02,F029,5,10,5,0.5,0
A02,F030,1,0,0,1.0,2930
A02,F031,4,6,4,0.6666666666666666,0
A02,F032,5,10,5,0.5,0
A02,F033,5,10,6,0.6,0
A02,F034,4,6,4,0.6666666666666666,0
A02,F035,3,3,2,0.6666666666666666,0
A03,F036,8,28,10,0.35714285714285715,0
A03,F037,4,6,4,0.6666666666666666,0
A03,F038,7,21,11,0.5238095238095238,0
A03,F039,3,3,1,0.3333333333333333,0
A03,F040,5,10,4,0.4,0
A03,F041,3,3,2,0.6666666666666666,0
A03,F042,7,21,15,0.7142857142857143,0
A03,F043,6,15,8,0.5333333333333333,0
A03,F044,7,21,11,0.5238095238095238,0
A03,F045,7,21,15,0.7142857142857143,0
A03,F046,1,0,0,1.0,2320
A03,F047,5,10,10,1.0,172
A03,F048,5,10,4,0.4,0
A03,F049,5,10,4,0.4,0
A03,F050,7,21,9,0.42857142857142855,0
A03,F051,2,1,0,0.0,0
A03,F052,4,6,6,1.0,178
F001,A01,5,10,3,0.3,0
