日期,任务类型,按最早接载时间统计人数
2026-08-03,紧急任务,5
2026-08-03,生产任务,52
2026-08-03,倒班任务,758
2026-08-03,临时任务,65
2026-08-04,紧急任务,6
2026-08-04,生产任务,51
2026-08-04,倒班任务,456
2026-08-04,临时任务,24
2026-08-05,紧急任务,5
2026-08-05,生产任务,52
2026-08-05,倒班任务,486
2026-08-05,临时任务,28
2026-08-06,紧急任务,6
2026-08-06,生产任务,52
2026-08-06,倒班任务,469
2026-08-06,临时任务,27
2026-08-07,紧急任务,6
2026-08-07,生产任务,51
2026-08-07,倒班任务,513
2026-08-07,临时任务,11
2026-08-08,紧急任务,6
2026-08-08,生产任务,51
2026-08-08,倒班任务,521
2026-08-08,临时任务,5
2026-08-09,紧急任务,6
2026-08-09,生产任务,51
2026-08-09,倒班任务,237
