时间字段,任务类型,小时,需求人数
最早接载时间,紧急任务,6,7
最早接载时间,紧急任务,7,5
最早接载时间,紧急任务,8,13
最早接载时间,紧急任务,9,5
最早接载时间,紧急任务,10,2
最早接载时间,紧急任务,11,4
最早接载时间,紧急任务,12,1
最早接载时间,紧急任务,15,2
最早接载时间,紧急任务,16,1
最早接载时间,生产任务,6,62
最早接载时间,生产任务,7,80
最早接载时间,生产任务,8,71
最早接载时间,生产任务,9,62
最早接载时间,生产任务,10,38
最早接载时间,生产任务,11,17
最早接载时间,生产任务,14,12
最早接载时间,生产任务,15,10
最早接载时间,生产任务,16,8
最早接载时间,倒班任务,0,267
最早接载时间,倒班任务,6,213
最早接载时间,倒班任务,7,505
最早接载时间,倒班任务,8,700
最早接载时间,倒班任务,9,640
最早接载时间,倒班任务,10,607
最早接载时间,倒班任务,11,218
最早接载时间,倒班任务,12,61
最早接载时间,倒班任务,15,85
最早接载时间,倒班任务,16,116
最早接载时间,倒班任务,17,28
最早接载时间,临时任务,0,42
最早接载时间,临时任务,6,10
最早接载时间,临时任务,7,10
最早接载时间,临时任务,8,28
最早接载时间,临时任务,9,28
最早接载时间,临时任务,10,20
最早接载时间,临时任务,11,12
最早接载时间,临时任务,12,2
最早接载时间,临时任务,15,4
最早接载时间,临时任务,16,3
最早接载时间,临时任务,17,1
最晚送达时间,紧急任务,7,1
最晚送达时间,紧急任务,8,9
最晚送达时间,紧急任务,9,7
最晚送达时间,紧急任务,10,10
最晚送达时间,紧急任务,11,6
最晚送达时间,紧急任务,12,2
最晚送达时间,紧急任务,13,1
最晚送达时间,紧急任务,16,3
最晚送达时间,紧急任务,17,1
最晚送达时间,生产任务,8,11
最晚送达时间,生产任务,9,49
最晚送达时间,生产任务,10,77
最晚送达时间,生产任务,11,86
最晚送达时间,生产任务,12,60
最晚送达时间,生产任务,13,29
最晚送达时间,生产任务,14,15
最晚送达时间,生产任务,15,2
最晚送达时间,生产任务,16,3
最晚送达时间,生产任务,17,13
最晚送达时间,生产任务,18,10
最晚送达时间,生产任务,19,4
最晚送达时间,生产任务,20,1
最晚送达时间,倒班任务,7,151
最晚送达时间,倒班任务,8,491
最晚送达时间,倒班任务,9,498
最晚送达时间,倒班任务,10,581
最晚送达时间,倒班任务,11,497
最晚送达时间,倒班任务,12,182
最晚送达时间,倒班任务,13,67
最晚送达时间,倒班任务,14,25
最晚送达时间,倒班任务,15,8
最晚送达时间,倒班任务,16,88
最晚送达时间,倒班任务,17,75
最晚送达时间,倒班任务,18,37
最晚送达时间,倒班任务,23,740
最晚送达时间,临时任务,7,7
最晚送达时间,临时任务,8,14
最晚送达时间,临时任务,9,29
最晚送达时间,临时任务,10,25
最晚送达时间,临时任务,11,17
最晚送达时间,临时任务,12,9
最晚送达时间,临时任务,13,3
最晚送达时间,临时任务,14,2
最晚送达时间,临时任务,15,1
最晚送达时间,临时任务,16,3
最晚送达时间,临时任务,17,4
最晚送达时间,临时任务,18,1
最晚送达时间,临时任务,23,45
