iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,3.443983,land_reassignment,3,1,0,0,15601,15601,121219,121219,97,97,0.002
2,26.308147,worst_time_per_person,3,1,0,0,15601,15601,121219,121219,97,97,0.00197
3,33.910775,worst_time_per_person,3,1,0,0,15601,15601,121219,121219,97,97,0.00194045
4,53.151385,low_utilization,3,1,0,0,15601,15601,121219,121219,97,97,0.0019113432500000001
5,57.291919,related_routes,3,1,0,0,15601,15601,121219,121219,97,97,0.00188267310125
6,89.214521,low_utilization,4,1,0,0,15601,15601,121219,121219,97,97,0.00185443300473125
7,107.424796,low_utilization,3,1,0,0,15601,15601,121219,121219,97,97,0.0018266165096602813
8,139.443723,related_routes,4,1,1,1,15577,15577,120966,120966,97,97,0.0017992172620153772
9,151.023818,low_utilization,4,1,1,1,15506,15506,120921,120921,96,96,0.0017722290030851465
10,155.976521,related_routes,4,1,0,0,15506,15506,120921,120921,96,96,0.0017456455680388693
11,157.650375,worst_time_per_person,3,1,0,0,15506,15506,120921,120921,96,96,0.0017194608845182862
12,165.223894,random_routes,3,1,0,0,15506,15506,120921,120921,96,96,0.0016936689712505118
13,179.956071,random_routes,4,1,0,0,15506,15506,120921,120921,96,96,0.0016682639366817542
14,199.464338,low_utilization,3,1,0,0,15506,15506,120921,120921,96,96,0.001643239977631528
15,212.598442,land_reassignment,3,1,0,0,15506,15506,120921,120921,96,96,0.001618591377967055
16,234.366973,low_utilization,4,1,1,1,15504,15504,121104,121104,96,96,0.001594312507297549
17,237.32626,worst_time_per_person,3,1,0,0,15504,15504,121104,121104,96,96,0.001570397819688086
18,239.631629,low_utilization,4,1,0,0,15504,15504,121104,121104,96,96,0.0015468418523927646
19,244.786075,related_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.001523639224606873
20,257.302699,random_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.00150078463623777
21,267.515318,worst_time_per_person,3,1,0,0,15504,15504,121104,121104,96,96,0.0014782728666942035
22,283.52531,low_utilization,4,1,0,0,15504,15504,121263,121104,96,96,0.0014560987736937903
23,318.408861,related_routes,4,1,0,0,15504,15504,121263,121104,96,96,0.0014342572920883834
24,318.458256,land_reassignment,3,1,0,0,15504,15504,121263,121104,96,96,0.0014127434327070576
25,354.025852,low_utilization,4,1,0,0,15504,15504,121263,121104,96,96,0.0013915522812164517
26,366.267675,worst_time_per_person,4,1,0,0,15504,15504,121263,121104,96,96,0.0013706789969982049
27,383.470681,related_routes,3,1,0,0,15504,15504,121263,121104,96,96,0.0013501188120432317
28,403.806816,low_utilization,4,1,1,0,15504,15504,121104,121104,96,96,0.001329867029862583
29,421.086238,random_routes,4,1,0,0,15504,15504,121104,121104,96,96,0.0013099190244146442
30,431.010067,related_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.0012902702390484245
31,435.113569,related_routes,4,1,1,1,15483,15483,120554,120554,96,96,0.0012709161854626981
32,435.785339,low_utilization,3,1,0,0,15483,15483,120554,120554,96,96,0.0012518524426807576
33,448.485513,worst_time_per_person,4,1,0,0,15485,15483,120795,120554,96,96,0.0012330746560405463
34,460.340099,low_utilization,4,1,1,1,15478,15478,120695,120695,96,96,0.0012145785361999382
35,473.05038,related_routes,4,1,1,1,15477,15477,120630,120630,96,96,0.001196359858156939
36,473.300223,land_reassignment,3,1,0,0,15477,15477,120630,120630,96,96,0.001178414460284585
37,479.83512,related_routes,4,1,0,0,15477,15477,120630,120630,96,96,0.0011607382433803163
38,493.145674,low_utilization,4,1,1,1,15468,15468,120687,120687,96,96,0.0011433271697296114
39,493.213995,low_utilization,3,1,0,0,15468,15468,120687,120687,96,96,0.0011261772621836673
40,502.279852,related_routes,4,1,0,0,15468,15468,120687,120687,96,96,0.0011092846032509122
41,502.876598,related_routes,3,1,0,0,15468,15468,120687,120687,96,96,0.0010926453342021485
42,513.686232,random_routes,3,1,0,0,15468,15468,120687,120687,96,96,0.0010762556541891162
43,519.753399,worst_time_per_person,4,1,1,1,15432,15432,121278,121278,95,95,0.0010601118193762794
44,551.658645,low_utilization,4,1,1,1,15418,15418,121138,121138,95,95,0.0010442101420856352
45,576.282771,low_utilization,4,1,0,0,15418,15418,121138,121138,95,95,0.0010285469899543507
46,582.244082,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0010131187851050354
47,588.156868,related_routes,4,1,0,0,15418,15418,121138,121138,95,95,0.0009979220033284597
48,597.756223,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009829531732785328
49,598.593826,related_routes,4,1,0,0,15418,15418,121138,121138,95,95,0.0009682088756793548
50,602.989755,land_reassignment,4,1,0,0,15418,15418,121138,121138,95,95,0.0009536857425441644
51,609.085448,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009393804564060019
52,609.118327,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009252897495599119
53,622.026133,worst_time_per_person,4,0,0,0,15418,15418,121138,121138,95,95,0.0009114104033165132
54,625.584548,low_utilization,4,1,0,0,15418,15418,121138,121138,95,95,0.0008977392472667655
55,650.496736,random_routes,3,1,0,0,15418,15418,121138,121138,95,95,0.000884273158557764
56,657.626919,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0008710090611793975
57,668.832192,worst_time_per_person,3,1,0,0,15418,15418,121138,121138,95,95,0.0008579439252617066
58,668.875277,related_routes,3,1,0,0,15418,15418,121138,121138,95,95,0.0008450747663827809
59,673.939845,worst_time_per_person,4,0,0,0,15418,15418,121138,121138,95,95,0.0008323986448870392
60,690.201122,worst_time_per_person,4,1,0,0,15418,15418,121138,121138,95,95,0.0008199126652137336
