stage,method,aircraft_time_minutes,passenger_time_minutes,flights,fuel_kg,seat_utilization,served,validator,decision
Control,Frozen Standard ALNS A2 extended,14770,120845,89,118640.1,0.4933894869,1600,VALID,START_CONTROL
Round 1,Exact route-pool master,14743,120919,89,118755.4,0.4929095165,1600,VALID,IMPROVED_PRIMARY
Round 2,Exact master flight cap 88,14732,123171,88,118661.9,0.4939071687,1600,VALID,LOWEST_FLIGHTS
Targeted,Cross-exchange educated 88-flight,14732,123113,88,118661.9,0.4937688421,1600,VALID,IMPROVED_SECONDARY_ONLY
Recombination,A2 x R3 exact difference rebuild,14770,120845,89,118640.1,0.4933894869,1600,VALID,NO_IMPROVEMENT
Relinking,A2 to R3 path relinking,14770,120845,89,118640.1,0.4933894869,1600,VALID,NO_PROGRESS
Feedback,Standard island seed 11,14741,121321,89,,,1600,VALID,POOL_CONTRIBUTOR
Feedback,Standard island seed 12,14737,121311,89,,,1600,VALID,POOL_CONTRIBUTOR
Feedback,Standard island seed 13,14737,121274,89,,,1600,VALID,POOL_CONTRIBUTOR
Round 4,Exact master after feedback,14730,122494,89,118624.4,0.4940392807,1600,VALID,NEW_PRIMARY_BEST
Education,Standard ALNS seed 21,14730,121363,89,118624.4,0.4942969225,1600,VALID,FINAL_WINNER
P2,Mild reheating seed 21,14730,121363,89,118624.4,0.4942969225,1600,VALID,IDENTICAL_REJECT
P2,Relatedness R3 seed 3,14730,121684,89,118624.4,0.4943176375,1600,VALID,WORSE_SECONDARY
Round 5,Strict master upper bound 14729,,,,,,,,NO_INCUMBENT_NOT_PROOF
