iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,8.682828,worst_time_per_person,3,1,0,0,15743,15743,120396,120396,100,100,0.002
2,11.75115,low_utilization,2,1,0,0,15743,15743,120396,120396,100,100,0.00197
3,15.864988,worst_time_per_person,2,1,1,1,15743,15743,120390,120390,100,100,0.00194045
4,31.722448,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0019113432500000001
5,39.949279,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00188267310125
6,46.784454,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00185443300473125
7,50.433741,random_routes,2,1,0,0,15743,15743,120390,120390,100,100,0.0018266165096602813
8,52.469827,low_utilization,2,1,0,0,15743,15743,120390,120390,100,100,0.0017992172620153772
9,62.021606,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0017722290030851465
10,65.596375,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017456455680388693
11,66.532214,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017194608845182862
12,78.9533,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0016936689712505118
13,82.286218,related_routes,2,1,0,0,15743,15743,120390,120390,100,100,0.0016682639366817542
14,86.810233,low_utilization,3,1,0,0,15743,15743,120390,120390,100,100,0.001643239977631528
15,93.841149,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.001618591377967055
16,95.651438,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.001594312507297549
17,105.868922,low_utilization,3,1,1,1,15697,15697,120640,120640,99,99,0.001570397819688086
18,109.799994,land_reassignment,3,1,0,0,15697,15697,120640,120640,99,99,0.0015468418523927646
19,115.666803,low_utilization,3,1,0,0,15697,15697,120640,120640,99,99,0.001523639224606873
20,127.719016,worst_time_per_person,3,1,0,0,15697,15697,120640,120640,99,99,0.00150078463623777
21,136.225022,random_routes,3,1,0,0,15697,15697,120640,120640,99,99,0.0014782728666942035
22,140.079983,related_routes,3,1,0,0,15697,15697,120640,120640,99,99,0.0014560987736937903
23,140.085453,random_routes,2,1,0,0,15697,15697,120640,120640,99,99,0.0014342572920883834
24,151.432326,worst_time_per_person,3,1,0,0,15697,15697,120640,120640,99,99,0.0014127434327070576
25,158.240459,worst_time_per_person,3,1,0,0,15697,15697,120640,120640,99,99,0.0013915522812164517
26,161.380092,worst_time_per_person,3,1,0,0,15697,15697,120640,120640,99,99,0.0013706789969982049
27,161.386791,related_routes,2,1,0,0,15697,15697,120640,120640,99,99,0.0013501188120432317
28,171.01984,random_routes,3,1,0,0,15697,15697,120640,120640,99,99,0.001329867029862583
29,173.559724,low_utilization,2,1,0,0,15697,15697,120640,120640,99,99,0.0013099190244146442
30,179.500528,low_utilization,3,1,0,0,15697,15697,120640,120640,99,99,0.0012902702390484245
31,181.292558,worst_time_per_person,2,1,0,0,15697,15697,120640,120640,99,99,0.0012709161854626981
32,182.892412,low_utilization,2,1,0,0,15697,15697,120640,120640,99,99,0.0012518524426807576
33,185.394302,related_routes,3,1,0,0,15697,15697,120640,120640,99,99,0.0012330746560405463
34,185.39881,land_reassignment,2,1,0,0,15697,15697,120640,120640,99,99,0.0012145785361999382
35,189.020126,land_reassignment,2,1,0,0,15697,15697,120640,120640,99,99,0.001196359858156939
36,189.033168,worst_time_per_person,2,1,0,0,15697,15697,120640,120640,99,99,0.001178414460284585
37,206.314525,related_routes,3,1,1,1,15692,15692,119859,119859,99,99,0.0011607382433803163
38,212.98321,low_utilization,3,1,1,1,15667,15667,120468,120468,98,98,0.0011433271697296114
39,216.458128,worst_time_per_person,3,1,0,0,15667,15667,120468,120468,98,98,0.0011261772621836673
40,220.190189,low_utilization,3,1,1,1,15619,15619,120977,120977,97,97,0.0011092846032509122
41,220.196476,related_routes,2,1,0,0,15619,15619,120977,120977,97,97,0.0010926453342021485
42,221.531062,worst_time_per_person,2,1,0,0,15619,15619,120977,120977,97,97,0.0010762556541891162
43,221.535122,land_reassignment,2,1,0,0,15619,15619,120977,120977,97,97,0.0010601118193762794
44,223.499423,land_reassignment,3,1,0,0,15619,15619,120977,120977,97,97,0.0010442101420856352
45,223.510758,worst_time_per_person,2,1,0,0,15619,15619,120977,120977,97,97,0.0010285469899543507
46,233.881464,worst_time_per_person,3,1,0,0,15619,15619,120977,120977,97,97,0.0010131187851050354
47,234.923122,related_routes,2,1,0,0,15619,15619,120977,120977,97,97,0.0009979220033284597
48,241.443736,random_routes,2,1,0,0,15619,15619,120977,120977,97,97,0.0009829531732785328
49,241.468703,land_reassignment,3,1,0,0,15619,15619,120977,120977,97,97,0.0009682088756793548
50,263.83044,low_utilization,3,1,1,1,15601,15601,121219,121219,97,97,0.0009536857425441644
51,272.011888,low_utilization,2,1,0,0,15601,15601,121219,121219,97,97,0.0009393804564060019
52,282.806941,low_utilization,3,1,0,0,15601,15601,121219,121219,97,97,0.0009252897495599119
53,287.853425,low_utilization,2,1,0,0,15601,15601,121219,121219,97,97,0.0009114104033165132
54,288.015687,worst_time_per_person,3,1,0,0,15601,15601,121219,121219,97,97,0.0008977392472667655
