mode,seed,feasible,missing_mandatory,raw_metrics,screen_metrics,runtime_seconds
priority,20260815,True,0,"{""total_aircraft_time_minutes"": 31882, ""total_passenger_travel_time_minutes"": 267376, ""total_flights"": 177, ""total_fuel_consumption_kg"": 249290.1, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 31506, ""total_passenger_travel_time_minutes"": 241720, ""total_flights"": 177, ""total_fuel_consumption_kg"": 248283.4, ""served_mandatory"": 3840, ""served_optional"": 0}",64.143013
deadline,20260816,True,0,"{""total_aircraft_time_minutes"": 31371, ""total_passenger_travel_time_minutes"": 265819, ""total_flights"": 173, ""total_fuel_consumption_kg"": 245586.6, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 30965, ""total_passenger_travel_time_minutes"": 241652, ""total_flights"": 173, ""total_fuel_consumption_kg"": 244979.1, ""served_mandatory"": 3840, ""served_optional"": 0}",68.876342
slack,20260817,True,0,"{""total_aircraft_time_minutes"": 34691, ""total_passenger_travel_time_minutes"": 269445, ""total_flights"": 192, ""total_fuel_consumption_kg"": 272822.3, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 33995, ""total_passenger_travel_time_minutes"": 245101, ""total_flights"": 192, ""total_fuel_consumption_kg"": 270550.3, ""served_mandatory"": 3840, ""served_optional"": 0}",54.104706
day_scarcity,20260818,True,0,"{""total_aircraft_time_minutes"": 31931, ""total_passenger_travel_time_minutes"": 266983, ""total_flights"": 178, ""total_fuel_consumption_kg"": 249799.5, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 31595, ""total_passenger_travel_time_minutes"": 240403, ""total_flights"": 178, ""total_fuel_consumption_kg"": 248590.2, ""served_mandatory"": 3840, ""served_optional"": 0}",65.869334
route_scarcity,20260819,False,8,"{""total_aircraft_time_minutes"": 33865, ""total_passenger_travel_time_minutes"": 270727, ""total_flights"": 187, ""total_fuel_consumption_kg"": 268978.2, ""served_mandatory"": 3832, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 33865, ""total_passenger_travel_time_minutes"": 270727, ""total_flights"": 187, ""total_fuel_consumption_kg"": 268978.2, ""served_mandatory"": 3832, ""served_optional"": 0}",10.618423
criticality,20260820,True,0,"{""total_aircraft_time_minutes"": 32431, ""total_passenger_travel_time_minutes"": 268969, ""total_flights"": 181, ""total_fuel_consumption_kg"": 253446.5, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 32126, ""total_passenger_travel_time_minutes"": 242708, ""total_flights"": 181, ""total_fuel_consumption_kg"": 255563.7, ""served_mandatory"": 3840, ""served_optional"": 0}",40.657716
od_density,20260821,True,0,"{""total_aircraft_time_minutes"": 32375, ""total_passenger_travel_time_minutes"": 265248, ""total_flights"": 181, ""total_fuel_consumption_kg"": 257011.9, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 32057, ""total_passenger_travel_time_minutes"": 240668, ""total_flights"": 181, ""total_fuel_consumption_kg"": 257638.0, ""served_mandatory"": 3840, ""served_optional"": 0}",83.70041
regret_proxy,20260822,False,147,"{""total_aircraft_time_minutes"": 29895, ""total_passenger_travel_time_minutes"": 263450, ""total_flights"": 163, ""total_fuel_consumption_kg"": 236582.9, ""served_mandatory"": 3693, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 29895, ""total_passenger_travel_time_minutes"": 263450, ""total_flights"": 163, ""total_fuel_consumption_kg"": 236582.9, ""served_mandatory"": 3693, ""served_optional"": 0}",49.142793
randomized_deadline,20260823,True,0,"{""total_aircraft_time_minutes"": 31371, ""total_passenger_travel_time_minutes"": 265819, ""total_flights"": 173, ""total_fuel_consumption_kg"": 245586.6, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 30965, ""total_passenger_travel_time_minutes"": 241652, ""total_flights"": 173, ""total_fuel_consumption_kg"": 244979.1, ""served_mandatory"": 3840, ""served_optional"": 0}",70.536151
randomized_criticality,20260824,True,0,"{""total_aircraft_time_minutes"": 32431, ""total_passenger_travel_time_minutes"": 268969, ""total_flights"": 181, ""total_fuel_consumption_kg"": 253446.5, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 32126, ""total_passenger_travel_time_minutes"": 242708, ""total_flights"": 181, ""total_fuel_consumption_kg"": 255563.7, ""served_mandatory"": 3840, ""served_optional"": 0}",40.541246
flexible_regret,20260825,False,165,"{""total_aircraft_time_minutes"": 38831, ""total_passenger_travel_time_minutes"": 250862, ""total_flights"": 226, ""total_fuel_consumption_kg"": 317577.0, ""served_mandatory"": 3675, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 38831, ""total_passenger_travel_time_minutes"": 250862, ""total_flights"": 226, ""total_fuel_consumption_kg"": 317577.0, ""served_mandatory"": 3675, ""served_optional"": 0}",26.821376
priority,20260826,True,0,"{""total_aircraft_time_minutes"": 31882, ""total_passenger_travel_time_minutes"": 267376, ""total_flights"": 177, ""total_fuel_consumption_kg"": 249290.1, ""served_mandatory"": 3840, ""served_optional"": 0}","{""total_aircraft_time_minutes"": 31506, ""total_passenger_travel_time_minutes"": 241720, ""total_flights"": 177, ""total_fuel_consumption_kg"": 248283.4, ""served_mandatory"": 3840, ""served_optional"": 0}",66.405201
