aircraft_id,flight_no,stop_order,facility_id,arrival_time,departure_time,refuel
A01-T1-H01,1,0,A01,,2026-08-03 06:27,0
A01-T1-H01,1,1,F003,2026-08-03 07:14,2026-08-03 07:24,0
A01-T1-H01,1,2,F006,2026-08-03 07:35,2026-08-03 07:55,1
A01-T1-H01,1,3,F007,2026-08-03 07:59,2026-08-03 08:09,0
A01-T1-H01,1,4,A01,2026-08-03 09:05,,0
A01-T1-H01,2,0,A01,,2026-08-05 10:04,0
A01-T1-H01,2,1,F009,2026-08-05 10:44,2026-08-05 10:54,0
A01-T1-H01,2,2,F011,2026-08-05 11:03,2026-08-05 11:23,1
A01-T1-H01,2,3,F003,2026-08-05 11:35,2026-08-05 11:45,0
A01-T1-H01,2,4,A01,2026-08-05 12:32,,0
A01-T1-H01,3,0,A01,,2026-08-07 09:56,0
A01-T1-H01,3,1,F030,2026-08-07 10:34,2026-08-07 10:44,0
A01-T1-H01,3,2,F005,2026-08-07 10:53,2026-08-07 11:03,0
A01-T1-H01,3,3,F018,2026-08-07 11:08,2026-08-07 11:28,1
A01-T1-H01,3,4,A01,2026-08-07 12:16,,0
A01-T1-H01,4,0,A01,,2026-08-08 07:14,0
A01-T1-H01,4,1,F018,2026-08-08 08:02,2026-08-08 08:22,1
A01-T1-H01,4,2,F012,2026-08-08 08:27,2026-08-08 08:37,0
A01-T1-H01,4,3,A01,2026-08-08 09:27,,0
A01-T1-H01,5,0,A01,,2026-08-08 10:05,0
A01-T1-H01,5,1,F010,2026-08-08 10:57,2026-08-08 11:07,0
A01-T1-H01,5,2,F006,2026-08-08 11:14,2026-08-08 11:34,1
A01-T1-H01,5,3,A01,2026-08-08 12:31,,0
A01-T1-H01,6,0,A01,,2026-08-09 06:24,0
A01-T1-H01,6,1,F031,2026-08-09 07:23,2026-08-09 07:43,1
A01-T1-H01,6,2,A01,2026-08-09 08:42,,0
A01-T1-H02,1,0,A01,,2026-08-03 07:53,0
A01-T1-H02,1,1,F009,2026-08-03 08:33,2026-08-03 08:43,0
A01-T1-H02,1,2,F011,2026-08-03 08:52,2026-08-03 09:12,1
A01-T1-H02,1,3,F003,2026-08-03 09:24,2026-08-03 09:34,0
A01-T1-H02,1,4,A01,2026-08-03 10:21,,0
A01-T1-H02,2,0,A01,,2026-08-05 06:21,0
A01-T1-H02,2,1,F011,2026-08-05 07:10,2026-08-05 07:30,1
A01-T1-H02,2,2,F028,2026-08-05 07:35,2026-08-05 07:45,0
A01-T1-H02,2,3,A01,2026-08-05 08:38,,0
A01-T1-H02,3,0,A01,,2026-08-06 07:33,0
A01-T1-H02,3,1,F015,2026-08-06 08:19,2026-08-06 08:29,0
A01-T1-H02,3,2,F028,2026-08-06 08:37,2026-08-06 08:47,0
A01-T1-H02,3,3,F011,2026-08-06 08:52,2026-08-06 09:12,1
A01-T1-H02,3,4,A01,2026-08-06 10:01,,0
A01-T1-H02,4,0,A01,,2026-08-07 06:23,0
A01-T1-H02,4,1,F027,2026-08-07 07:09,2026-08-07 07:19,0
A01-T1-H02,4,2,F024,2026-08-07 07:24,2026-08-07 07:44,1
A01-T1-H02,4,3,F021,2026-08-07 07:52,2026-08-07 08:02,0
A01-T1-H02,4,4,A01,2026-08-07 08:55,,0
A01-T1-H02,5,0,A01,,2026-08-07 12:25,0
A01-T1-H02,5,1,F007,2026-08-07 13:21,2026-08-07 13:31,0
A01-T1-H02,5,2,F006,2026-08-07 13:35,2026-08-07 13:55,1
A01-T1-H02,5,3,F024,2026-08-07 14:48,2026-08-07 15:08,1
A01-T1-H02,5,4,F027,2026-08-07 15:13,2026-08-07 15:23,0
A01-T1-H02,5,5,A01,2026-08-07 16:09,,0
