run,config_id,seed,operator_profile,iterations,final_aircraft_time,improvement,runtime_seconds,improvement_per_cpu_minute,accepted_rate,cross_day_attempts,cross_day_accepted,elite_size,elite_diversity,restart_threshold,group_range,heavy_group_range,cross_day_trials,route_limit,combination_budget,reaction_factor
cfg-00-s0,cfg-00-s0,20260818,crossday,16,29155,0,61.962027,0.0,0.0,4,0,3,0.0673466683062647,30,2-5,4-8,4,100,3,0.08
cfg-00-s1,cfg-00-s1,21260821,crossday,16,29155,0,60.563281,0.0,0.0,5,0,3,0.0673466683062647,30,2-5,4-8,4,100,3,0.08
cfg-01-s0,cfg-01-s0,20261827,diverse,13,29155,0,60.085283,0.0,0.0,0,0,3,0.0673466683062647,45,3-6,5-10,6,140,5,0.12
cfg-01-s1,cfg-01-s1,21261830,diverse,13,29155,0,60.576628,0.0,0.0,1,0,3,0.0673466683062647,45,3-6,5-10,6,140,5,0.12
cfg-02-s0,cfg-02-s0,20262836,chain,10,29155,0,60.226608,0.0,0.0,0,0,3,0.0673466683062647,60,3-7,6-12,8,180,8,0.18
cfg-02-s1,cfg-02-s1,21262839,chain,7,29155,0,60.098684,0.0,0.0,0,0,3,0.0673466683062647,60,3-7,6-12,8,180,8,0.18
cfg-03-s0,cfg-03-s0,20263845,polish,8,29006,149,60.348547,148.13944168790042,0.125,1,1,4,0.0648826291378634,80,4-8,4-8,10,220,12,0.25
cfg-03-s1,cfg-03-s1,21263848,polish,8,29006,149,60.291754,148.27898478686274,0.125,1,1,4,0.0648826291378634,80,4-8,4-8,10,220,12,0.25
cfg-04-s0,cfg-04-s0,20264854,crossday,15,28868,287,66.280889,259.8033932541071,0.13333333333333333,4,2,5,0.06124249799949244,100,2-5,5-10,12,100,3,0.08
cfg-04-s1,cfg-04-s1,21264857,crossday,11,28868,287,60.796408,283.24041589273617,0.18181818181818182,5,2,5,0.06124249799949244,100,2-5,5-10,12,100,3,0.08
cfg-05-s0,cfg-05-s0,20265863,diverse,14,29155,0,60.366634,0.0,0.0,2,0,3,0.0673466683062647,30,3-6,6-12,4,140,5,0.12
cfg-05-s1,cfg-05-s1,21265866,diverse,13,29155,0,60.385957,0.0,0.0,1,0,3,0.0673466683062647,30,3-6,6-12,4,140,5,0.12
cfg-06-s0,cfg-06-s0,20266872,chain,9,29155,0,60.432498,0.0,0.0,1,0,3,0.0673466683062647,45,3-7,4-8,6,180,8,0.18
cfg-06-s1,cfg-06-s1,21266875,chain,12,29155,0,60.101696,0.0,0.0,2,0,3,0.0673466683062647,45,3-7,4-8,6,180,8,0.18
cfg-07-s0,cfg-07-s0,20267881,polish,8,29155,0,60.113768,0.0,0.0,0,0,3,0.0673466683062647,60,4-8,5-10,8,220,12,0.25
cfg-07-s1,cfg-07-s1,21267884,polish,7,29155,0,60.103811,0.0,0.0,0,0,3,0.0673466683062647,60,4-8,5-10,8,220,12,0.25
cfg-08-s0,cfg-08-s0,20268890,crossday,12,29006,149,64.386507,138.84896743793868,0.08333333333333333,6,1,4,0.0648826291378634,80,2-5,6-12,10,100,3,0.08
