iteration,elapsed_seconds,operator,accepted,global_best,saving_minutes,current_aircraft_time,best_aircraft_time,stagnation,restart,elite_size
1,6.440768,exact_lns,False,False,0,29659,29659,1,False,2
2,10.177001,bottleneck_day,False,False,0,29659,29659,2,False,2
3,10.710777,route_polish,True,True,23,29636,29636,0,False,3
4,11.239734,route_polish,False,False,0,29636,29636,1,False,3
5,13.946062,low_utilization,False,False,0,29636,29636,2,False,3
6,16.457791,random_related,False,False,0,29636,29636,3,False,3
7,18.739977,random_related,False,False,0,29636,29636,4,False,3
8,19.208986,route_polish,False,False,0,29636,29636,5,False,3
9,22.073522,high_cost,False,False,0,29636,29636,6,False,3
10,22.590067,route_polish,False,False,0,29636,29636,7,False,3
11,26.420941,bottleneck_day,False,False,0,29636,29636,8,False,3
12,29.133553,low_utilization,False,False,0,29636,29636,9,False,3
13,32.438019,cross_day,True,True,116,29520,29520,0,False,4
14,36.095947,bottleneck_day,False,False,0,29520,29520,1,False,4
15,39.669647,related,False,False,0,29520,29520,2,False,4
16,42.569311,high_cost,False,False,0,29520,29520,3,False,4
17,45.453465,high_cost,False,False,0,29520,29520,4,False,4
18,46.020468,route_polish,False,False,0,29520,29520,5,False,4
19,52.326383,exact_lns,False,False,0,29520,29520,6,False,4
20,55.525585,random_related,False,False,0,29520,29520,7,False,4
21,56.048129,route_polish,False,False,0,29520,29520,8,False,4
22,59.768176,conflict_graph,False,False,0,29520,29520,9,False,4
23,63.434099,bottleneck_day,False,False,0,29520,29520,10,False,4
24,66.295205,high_cost,False,False,0,29520,29520,11,False,4
25,68.934675,low_utilization,False,False,0,29520,29520,12,False,4
26,72.620437,conflict_graph,False,False,0,29520,29520,13,False,4
27,76.025689,cross_day,True,True,175,29345,29345,0,False,5
28,80.370167,cross_day,False,False,0,29345,29345,1,False,5
29,82.949855,aircraft_chain,False,False,0,29345,29345,2,False,5
30,87.221241,cross_day,False,False,0,29345,29345,3,False,5
31,90.792789,related,False,False,0,29345,29345,4,False,5
32,94.349664,related,False,False,0,29345,29345,5,False,5
33,97.07566,random_related,False,False,0,29345,29345,6,False,5
34,100.765154,bottleneck_day,False,False,0,29345,29345,7,False,5
35,104.466688,conflict_graph,False,False,0,29345,29345,8,False,5
36,108.175486,bottleneck_day,False,False,0,29345,29345,9,False,5
37,110.970751,random_related,True,True,174,29171,29171,0,False,6
38,114.647475,bottleneck_day,False,False,0,29171,29171,1,False,6
39,118.247714,related,False,False,0,29171,29171,2,False,6
40,120.734192,aircraft_chain,False,False,0,29171,29171,3,False,6
41,123.848916,random_related,False,False,0,29171,29171,4,False,6
42,127.134607,random_related,False,False,0,29171,29171,5,False,6
43,131.449424,cross_day,False,False,0,29171,29171,6,False,6
44,134.549473,high_cost,False,False,0,29171,29171,7,False,6
45,135.278386,route_polish,True,True,16,29155,29155,0,False,7
46,138.314724,high_cost,False,False,0,29155,29155,1,False,7
47,141.372949,high_cost,False,False,0,29155,29155,2,False,7
48,141.847843,route_polish,False,False,0,29155,29155,3,False,7
49,144.556503,low_utilization,False,False,0,29155,29155,4,False,7
50,148.099388,related,False,False,0,29155,29155,5,False,7
51,150.748126,low_utilization,False,False,0,29155,29155,6,False,7
52,151.215555,route_polish,False,False,0,29155,29155,7,False,7
53,153.761547,aircraft_chain,False,False,0,29155,29155,8,False,7
54,158.034836,cross_day,False,False,0,29155,29155,9,False,7
55,161.041225,random_related,False,False,0,29155,29155,10,False,7
56,163.701324,low_utilization,False,False,0,29155,29155,11,False,7
57,166.342988,random_related,False,False,0,29155,29155,12,False,7
58,169.834814,related,False,False,0,29155,29155,13,False,7
59,173.516402,conflict_graph,False,False,0,29155,29155,14,False,7
60,174.040564,route_polish,False,False,0,29155,29155,15,False,7
61,176.585253,aircraft_chain,False,False,0,29155,29155,16,False,7
62,179.139708,aircraft_chain,False,False,0,29155,29155,17,False,7
63,183.409679,cross_day,False,False,0,29155,29155,18,False,7
64,186.4285,high_cost,False,False,0,29155,29155,19,False,7
65,190.732216,cross_day,False,False,0,29155,29155,20,False,7
66,193.261358,aircraft_chain,False,False,0,29155,29155,21,False,7
67,197.54008,cross_day,False,False,0,29155,29155,22,False,7
68,200.615971,high_cost,False,False,0,29155,29155,23,False,7
69,201.091282,route_polish,False,False,0,29155,29155,24,False,7
70,204.782595,conflict_graph,False,False,0,29155,29155,25,False,7
71,209.073042,cross_day,False,False,0,29155,29155,26,False,7
72,211.268314,random_related,False,False,0,29155,29155,27,False,7
