person_id,origin,destination,origin_type,destination_type,direction,origin_is_flexible_land,destination_is_flexible_land,candidate_origin_airports,candidate_destination_airports,fixed_origin_airport,fixed_destination_airport,nearest_airport,nearest_airport_distance_km,airport_rankings,direct_distance_lower_bound_km,direct_lower_bound_origin,direct_lower_bound_destination,technical_min_travel_minutes_lower_bound,technical_min_aircraft_type,technical_min_sea_stops,minimum_fuel_requirement_estimate_kg,earliest,latest,task_type,priority,window_minutes,slack_minutes,potentially_tight
P0001,F049,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,239.0,"[""A02"", ""A03"", ""A01""]",239.0,F049,A02,58,T1,0,597.5,2026-08-05 08:33,2026-08-06 09:40,shift,3,1507,1449,0
P0002,LAND,F022,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,194.0,"[""A01"", ""A02"", ""A03""]",194.0,A01,F022,47,T1,1,485.0,2026-08-03 07:37,2026-08-06 08:57,shift,3,4400,4353,0
P0003,F052,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,F052,A02,71,T2,0,647.5,2026-08-08 09:56,2026-08-09 23:59,shift,3,2283,2212,0
P0004,LAND,F012,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,208.0,"[""A01"", ""A02"", ""A03""]",208.0,A01,F012,50,T1,1,520.0,2026-08-07 07:14,2026-08-09 08:20,shift,3,2946,2896,0
P0005,F022,F033,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,227.0,"[""A01"", ""A02"", ""A03""]",33.0,F022,F033,8,T1,1,82.5,2026-08-04 09:47,2026-08-05 09:55,shift,3,1448,1440,0
P0006,F018,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,196.0,"[""A01"", ""A02"", ""A03""]",196.0,F018,A01,48,T1,0,490.0,2026-08-03 00:00,2026-08-04 10:00,shift,3,2040,1992,0
P0007,LAND,F034,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,246.0,"[""A01"", ""A02"", ""A03""]",246.0,A01,F034,60,T1,1,615.0,2026-08-05 08:12,2026-08-07 09:54,shift,3,2982,2922,0
P0008,A02,F021,AIRPORT,FACILITY,outbound,0,0,"[""A02""]",[],A02,,A01,218.0,"[""A01"", ""A02"", ""A03""]",220.0,A02,F021,53,T1,1,550.0,2026-08-09 07:21,2026-08-09 10:55,production,2,214,161,0
P0009,F004,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,197.0,"[""A01"", ""A02"", ""A03""]",197.0,F004,A01,48,T1,0,492.5,2026-08-06 08:53,2026-08-08 10:20,shift,3,2967,2919,0
P0010,F038,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,263.0,"[""A03"", ""A02"", ""A01""]",263.0,F038,A03,72,T2,0,657.5,2026-08-03 07:32,2026-08-03 10:41,production,2,189,117,0
P0011,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0,2026-08-08 11:40,2026-08-09 23:59,shift,3,2179,2120,0
P0012,F040,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,342.0,"[""A03"", ""A02"", ""A01""]",342.0,F040,A03,94,T2,0,855.0,2026-08-03 08:03,2026-08-05 10:13,shift,3,3010,2916,0
P0013,F032,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,279.0,"[""A02"", ""A01"", ""A03""]",279.0,F032,A02,77,T2,0,697.5,2026-08-07 08:45,2026-08-09 10:02,shift,3,2957,2880,0
P0014,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5,2026-08-07 16:11,2026-08-09 16:30,shift,3,2899,2884,0
P0015,A01,F003,AIRPORT,FACILITY,outbound,0,0,"[""A01""]",[],A01,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0,2026-08-03 00:00,2026-08-04 08:26,shift,3,1946,1899,0
P0016,LAND,F021,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,A01,F021,53,T1,1,545.0,2026-08-03 07:39,2026-08-04 08:49,shift,3,1510,1457,0
P0017,F021,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,218.0,"[""A01"", ""A02"", ""A03""]",218.0,F021,A01,53,T1,0,545.0,2026-08-03 00:00,2026-08-04 10:09,shift,3,2049,1996,0
P0018,F005,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,190.0,"[""A01"", ""A02"", ""A03""]",190.0,F005,A01,46,T1,0,475.0,2026-08-03 09:50,2026-08-05 10:42,shift,3,2932,2886,0
P0019,F030,F026,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",59.0,F030,F026,15,T1,1,147.5,2026-08-07 16:11,2026-08-09 23:59,shift,3,3348,3333,0
P0020,LAND,F002,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F002,53,T1,1,542.5,2026-08-06 07:29,2026-08-08 08:38,shift,3,2949,2896,0
P0021,F005,F017,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,153.0,"[""A01"", ""A02"", ""A03""]",40.0,F005,F017,10,T1,1,100.0,2026-08-05 08:24,2026-08-07 09:00,shift,3,2916,2906,0
P0022,F052,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,259.0,"[""A02"", ""A03"", ""A01""]",259.0,F052,A02,71,T2,0,647.5,2026-08-05 11:19,2026-08-07 13:10,shift,3,2991,2920,0
P0023,F051,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,279.0,"[""A03"", ""A02"", ""A01""]",279.0,F051,A03,77,T2,0,697.5,2026-08-09 09:13,2026-08-09 23:59,shift,3,886,809,0
P0024,F031,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A02,242.0,"[""A02"", ""A01"", ""A03""]",242.0,F031,A02,59,T1,0,605.0,2026-08-04 11:38,2026-08-07 12:44,shift,3,4386,4327,0
P0025,F019,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,F019,A01,49,T1,0,510.0,2026-08-06 16:23,2026-08-08 17:52,shift,3,2969,2920,0
P0026,F042,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A03,368.0,"[""A03"", ""A02"", ""A01""]",368.0,F042,A03,101,T2,0,920.0,2026-08-07 08:20,2026-08-08 10:23,shift,3,1563,1462,0
P0027,LAND,F002,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",217.0,A01,F002,53,T1,1,542.5,2026-08-09 07:25,2026-08-09 23:59,shift,3,994,941,0
P0028,LAND,F010,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,216.0,"[""A01"", ""A02"", ""A03""]",216.0,A01,F010,52,T1,1,540.0,2026-08-04 08:32,2026-08-06 09:31,shift,3,2939,2887,0
P0029,LAND,F026,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,204.0,"[""A01"", ""A02"", ""A03""]",204.0,A01,F026,49,T1,1,510.0,2026-08-03 07:14,2026-08-05 08:24,shift,3,2950,2901,0
P0030,LAND,F003,LAND,FACILITY,outbound,1,0,"[""A01"", ""A02"", ""A03""]",[],,,A01,192.0,"[""A01"", ""A02"", ""A03""]",192.0,A01,F003,47,T1,1,480.0,2026-08-06 07:12,2026-08-08 07:59,shift,3,2927,2880,0
P0031,F007,F002,FACILITY,FACILITY,shuttle,0,0,[],[],,,A01,217.0,"[""A01"", ""A02"", ""A03""]",30.0,F007,F002,8,T1,1,75.0,2026-08-05 10:22,2026-08-06 10:31,shift,3,1449,1441,0
P0032,F001,LAND,FACILITY,LAND,inbound,0,1,[],"[""A01"", ""A02"", ""A03""]",,,A01,219.0,"[""A01"", ""A02"", ""A03""]",219.0,F001,A01,53,T1,0,547.5,2026-08-03 07:53,2026-08-04 09:10,shift,3,1517,1464,0
