node_id,node_type,is_airport,is_facility,can_refuel
A01,AIRPORT,1,0,0
A02,AIRPORT,1,0,0
A03,AIRPORT,1,0,0
F001,FACILITY,0,1,0
F002,FACILITY,0,1,0
F003,FACILITY,0,1,0
F004,FACILITY,0,1,0
F005,FACILITY,0,1,0
F006,FACILITY,0,1,1
F007,FACILITY,0,1,0
F008,FACILITY,0,1,0
F009,FACILITY,0,1,0
F010,FACILITY,0,1,0
F011,FACILITY,0,1,1
F012,FACILITY,0,1,0
F013,FACILITY,0,1,0
F014,FACILITY,0,1,0
F015,FACILITY,0,1,0
F016,FACILITY,0,1,0
F017,FACILITY,0,1,0
F018,FACILITY,0,1,1
F019,FACILITY,0,1,0
F020,FACILITY,0,1,0
F021,FACILITY,0,1,0
F022,FACILITY,0,1,0
F023,FACILITY,0,1,0
F024,FACILITY,0,1,1
F025,FACILITY,0,1,0
F026,FACILITY,0,1,0
F027,FACILITY,0,1,0
F028,FACILITY,0,1,0
F029,FACILITY,0,1,0
F030,FACILITY,0,1,0
F031,FACILITY,0,1,1
F032,FACILITY,0,1,0
F033,FACILITY,0,1,0
F034,FACILITY,0,1,0
F035,FACILITY,0,1,0
F036,FACILITY,0,1,0
F037,FACILITY,0,1,0
F038,FACILITY,0,1,1
F039,FACILITY,0,1,0
F040,FACILITY,0,1,0
F041,FACILITY,0,1,0
F042,FACILITY,0,1,0
F043,FACILITY,0,1,0
F044,FACILITY,0,1,1
F045,FACILITY,0,1,0
F046,FACILITY,0,1,0
F047,FACILITY,0,1,0
F048,FACILITY,0,1,0
F049,FACILITY,0,1,0
F050,FACILITY,0,1,1
F051,FACILITY,0,1,0
F052,FACILITY,0,1,0
