aircraft_id,day,date,aircraft_time_minutes,operating_window_utilization_percent
A01-T1-H01,0,2026-08-03,158,18.81
A01-T1-H01,1,2026-08-04,0,0.0
A01-T1-H01,2,2026-08-05,148,17.619
A01-T1-H01,3,2026-08-06,0,0.0
A01-T1-H01,4,2026-08-07,0,0.0
A01-T1-H01,5,2026-08-08,425,50.595
A01-T1-H01,6,2026-08-09,0,0.0
A01-T1-H02,0,2026-08-03,148,17.619
A01-T1-H02,1,2026-08-04,0,0.0
A01-T1-H02,2,2026-08-05,137,16.31
A01-T1-H02,3,2026-08-06,148,17.619
A01-T1-H02,4,2026-08-07,376,44.762
A01-T1-H02,5,2026-08-08,159,18.929
A01-T1-H02,6,2026-08-09,145,17.262
A01-T1-H03,0,2026-08-03,0,0.0
A01-T1-H03,1,2026-08-04,0,0.0
A01-T1-H03,2,2026-08-05,316,37.619
A01-T1-H03,3,2026-08-06,310,36.905
A01-T1-H03,4,2026-08-07,177,21.071
A01-T1-H03,5,2026-08-08,0,0.0
A01-T1-H03,6,2026-08-09,0,0.0
A01-T2-H01,0,2026-08-03,154,18.333
A01-T2-H01,1,2026-08-04,157,18.69
A01-T2-H01,2,2026-08-05,198,23.571
A01-T2-H01,3,2026-08-06,116,13.81
A01-T2-H01,4,2026-08-07,298,35.476
A01-T2-H01,5,2026-08-08,285,33.929
A01-T2-H01,6,2026-08-09,323,38.452
A01-T2-H02,0,2026-08-03,266,31.667
A01-T2-H02,1,2026-08-04,168,20.0
A01-T2-H02,2,2026-08-05,207,24.643
A01-T2-H02,3,2026-08-06,118,14.048
A01-T2-H02,4,2026-08-07,359,42.738
A01-T2-H02,5,2026-08-08,169,20.119
A01-T2-H02,6,2026-08-09,224,26.667
A01-T2-H03,0,2026-08-03,114,13.571
A01-T2-H03,1,2026-08-04,102,12.143
A01-T2-H03,2,2026-08-05,347,41.31
A01-T2-H03,3,2026-08-06,307,36.548
A01-T2-H03,4,2026-08-07,236,28.095
A01-T2-H03,5,2026-08-08,185,22.024
A01-T2-H03,6,2026-08-09,167,19.881
A01-T3-H01,0,2026-08-03,330,39.286
A01-T3-H01,1,2026-08-04,150,17.857
A01-T3-H01,2,2026-08-05,372,44.286
A01-T3-H01,3,2026-08-06,163,19.405
A01-T3-H01,4,2026-08-07,146,17.381
A01-T3-H01,5,2026-08-08,163,19.405
A01-T3-H01,6,2026-08-09,161,19.167
A01-T3-H02,0,2026-08-03,163,19.405
A01-T3-H02,1,2026-08-04,449,53.452
A01-T3-H02,2,2026-08-05,163,19.405
A01-T3-H02,3,2026-08-06,169,20.119
A01-T3-H02,4,2026-08-07,158,18.81
A01-T3-H02,5,2026-08-08,154,18.333
A01-T3-H02,6,2026-08-09,171,20.357
A02-T1-H01,0,2026-08-03,0,0.0
A02-T1-H01,1,2026-08-04,0,0.0
A02-T1-H01,2,2026-08-05,0,0.0
A02-T1-H01,3,2026-08-06,202,24.048
A02-T1-H01,4,2026-08-07,139,16.548
A02-T1-H01,5,2026-08-08,0,0.0
A02-T1-H01,6,2026-08-09,136,16.19
A02-T1-H02,0,2026-08-03,0,0.0
A02-T1-H02,1,2026-08-04,0,0.0
A02-T1-H02,2,2026-08-05,288,34.286
A02-T1-H02,3,2026-08-06,154,18.333
A02-T1-H02,4,2026-08-07,0,0.0
A02-T1-H02,5,2026-08-08,0,0.0
A02-T1-H02,6,2026-08-09,0,0.0
A02-T2-H01,0,2026-08-03,167,19.881
A02-T2-H01,1,2026-08-04,370,44.048
A02-T2-H01,2,2026-08-05,177,21.071
A02-T2-H01,3,2026-08-06,180,21.429
A02-T2-H01,4,2026-08-07,0,0.0
A02-T2-H01,5,2026-08-08,199,23.69
A02-T2-H01,6,2026-08-09,195,23.214
A02-T2-H02,0,2026-08-03,177,21.071
A02-T2-H02,1,2026-08-04,177,21.071
A02-T2-H02,2,2026-08-05,351,41.786
A02-T2-H02,3,2026-08-06,112,13.333
A02-T2-H02,4,2026-08-07,185,22.024
A02-T2-H02,5,2026-08-08,358,42.619
A02-T2-H02,6,2026-08-09,422,50.238
A02-T2-H03,0,2026-08-03,244,29.048
A02-T2-H03,1,2026-08-04,195,23.214
A02-T2-H03,2,2026-08-05,195,23.214
A02-T2-H03,3,2026-08-06,155,18.452
A02-T2-H03,4,2026-08-07,426,50.714
A02-T2-H03,5,2026-08-08,124,14.762
A02-T2-H03,6,2026-08-09,168,20.0
A02-T2-H04,0,2026-08-03,176,20.952
A02-T2-H04,1,2026-08-04,0,0.0
A02-T2-H04,2,2026-08-05,199,23.69
A02-T2-H04,3,2026-08-06,0,0.0
A02-T2-H04,4,2026-08-07,355,42.262
A02-T2-H04,5,2026-08-08,0,0.0
A02-T2-H04,6,2026-08-09,361,42.976
A02-T3-H01,0,2026-08-03,165,19.643
A02-T3-H01,1,2026-08-04,164,19.524
A02-T3-H01,2,2026-08-05,193,22.976
A02-T3-H01,3,2026-08-06,159,18.929
A02-T3-H01,4,2026-08-07,0,0.0
A02-T3-H01,5,2026-08-08,313,37.262
A02-T3-H01,6,2026-08-09,211,25.119
A02-T3-H02,0,2026-08-03,160,19.048
A02-T3-H02,1,2026-08-04,165,19.643
A02-T3-H02,2,2026-08-05,165,19.643
A02-T3-H02,3,2026-08-06,330,39.286
A02-T3-H02,4,2026-08-07,0,0.0
A02-T3-H02,5,2026-08-08,165,19.643
A02-T3-H02,6,2026-08-09,142,16.905
A03-T1-H01,0,2026-08-03,226,26.905
A03-T1-H01,1,2026-08-04,0,0.0
A03-T1-H01,2,2026-08-05,0,0.0
A03-T1-H01,3,2026-08-06,0,0.0
A03-T1-H01,4,2026-08-07,0,0.0
A03-T1-H01,5,2026-08-08,0,0.0
A03-T1-H01,6,2026-08-09,0,0.0
A03-T1-H02,0,2026-08-03,0,0.0
A03-T1-H02,1,2026-08-04,0,0.0
A03-T1-H02,2,2026-08-05,0,0.0
A03-T1-H02,3,2026-08-06,0,0.0
A03-T1-H02,4,2026-08-07,0,0.0
A03-T1-H02,5,2026-08-08,0,0.0
A03-T1-H02,6,2026-08-09,0,0.0
A03-T2-H01,0,2026-08-03,265,31.548
A03-T2-H01,1,2026-08-04,394,46.905
A03-T2-H01,2,2026-08-05,194,23.095
A03-T2-H01,3,2026-08-06,187,22.262
A03-T2-H01,4,2026-08-07,229,27.262
A03-T2-H01,5,2026-08-08,575,68.452
A03-T2-H01,6,2026-08-09,371,44.167
A03-T2-H02,0,2026-08-03,0,0.0
A03-T2-H02,1,2026-08-04,411,48.929
A03-T2-H02,2,2026-08-05,196,23.333
A03-T2-H02,3,2026-08-06,185,22.024
A03-T2-H02,4,2026-08-07,187,22.262
A03-T2-H02,5,2026-08-08,378,45.0
A03-T2-H02,6,2026-08-09,439,52.262
A03-T2-H03,0,2026-08-03,193,22.976
A03-T2-H03,1,2026-08-04,266,31.667
A03-T2-H03,2,2026-08-05,266,31.667
A03-T2-H03,3,2026-08-06,405,48.214
A03-T2-H03,4,2026-08-07,229,27.262
A03-T2-H03,5,2026-08-08,288,34.286
A03-T2-H03,6,2026-08-09,564,67.143
A03-T3-H01,0,2026-08-03,273,32.5
A03-T3-H01,1,2026-08-04,0,0.0
A03-T3-H01,2,2026-08-05,208,24.762
A03-T3-H01,3,2026-08-06,263,31.31
A03-T3-H01,4,2026-08-07,275,32.738
A03-T3-H01,5,2026-08-08,0,0.0
A03-T3-H01,6,2026-08-09,276,32.857
A03-T3-H02,0,2026-08-03,199,23.69
A03-T3-H02,1,2026-08-04,258,30.714
A03-T3-H02,2,2026-08-05,238,28.333
A03-T3-H02,3,2026-08-06,0,0.0
A03-T3-H02,4,2026-08-07,172,20.476
A03-T3-H02,5,2026-08-08,221,26.31
A03-T3-H02,6,2026-08-09,0,0.0
A03-T3-H03,0,2026-08-03,0,0.0
A03-T3-H03,1,2026-08-04,0,0.0
A03-T3-H03,2,2026-08-05,286,34.048
A03-T3-H03,3,2026-08-06,0,0.0
A03-T3-H03,4,2026-08-07,266,31.667
A03-T3-H03,5,2026-08-08,211,25.119
A03-T3-H03,6,2026-08-09,156,18.571
