person_id,task_type,arrival_margin_minutes
P0001,shift,1398
P0002,shift,2827
P0003,shift,771
P0004,shift,2880
P0005,shift,1426
P0006,shift,1478
P0007,shift,2880
P0008,production,65
P0009,shift,2862
P0010,production,35
P0011,shift,2097
P0012,shift,1199
P0013,shift,1425
P0014,shift,1440
P0015,shift,1512
P0016,shift,15
P0017,shift,1408
P0018,shift,2880
P0019,shift,1889
P0020,shift,2854
P0021,shift,2880
P0022,shift,2908
P0023,shift,789
P0024,shift,1496
P0025,shift,2875
P0026,shift,1424
P0027,shift,690
P0028,shift,1548
P0029,shift,1425
P0030,shift,1398
P0031,shift,93
P0032,shift,1428
P0033,shift,1310
P0034,shift,1377
P0035,shift,1382
P0036,shift,856
P0037,production,31
P0038,shift,1419
P0039,shift,2893
P0040,production,53
P0041,shift,1435
P0042,shift,2880
P0043,shift,49
P0044,temporary,1450
P0045,shift,2880
P0046,shift,1429
P0047,shift,2881
P0048,shift,679
P0049,shift,1433
P0050,shift,2880
P0051,shift,2869
P0052,shift,1440
P0053,shift,1366
P0054,shift,8
P0055,shift,1387
P0056,shift,1423
P0057,shift,2336
P0058,shift,1440
P0059,shift,95
P0060,shift,49
P0061,shift,2880
P0062,temporary,1420
P0063,shift,2846
P0064,shift,2789
P0065,shift,2404
P0066,shift,1440
P0067,shift,66
P0068,shift,1440
P0069,shift,1476
P0070,shift,4239
P0071,shift,1889
P0072,shift,45
P0073,shift,1440
P0074,shift,2757
P0075,shift,2826
P0076,production,66
P0077,shift,2222
P0078,shift,1421
P0079,shift,1526
P0080,shift,744
P0081,shift,2611
P0082,shift,753
P0083,shift,2404
P0084,shift,2845
P0085,shift,1376
P0086,shift,2234
P0087,shift,679
P0088,shift,2326
P0089,shift,1440
P0090,shift,683
P0091,shift,2880
P0092,shift,2881
P0093,shift,2880
P0094,shift,1425
P0095,production,72
P0096,emergency,4
P0097,shift,1395
P0098,shift,2874
P0099,shift,654
P0100,shift,2869
P0101,shift,2312
P0102,shift,896
P0103,shift,199
P0104,shift,758
P0105,shift,1471
P0106,shift,2910
P0107,shift,2835
P0108,shift,2826
P0109,shift,2880
P0110,shift,2868
P0111,shift,2880
P0112,shift,2209
P0113,shift,2880
P0114,shift,2880
P0115,shift,826
P0116,shift,1440
P0117,shift,2879
P0118,shift,2800
P0119,shift,2844
P0120,production,50
P0121,shift,2815
P0122,shift,1464
P0123,shift,1199
P0124,shift,849
P0125,shift,1639
P0126,shift,1387
P0127,shift,1428
P0128,shift,1416
P0129,shift,1849
P0130,shift,1416
P0131,shift,2884
P0132,shift,2836
P0133,shift,833
P0134,shift,2870
P0135,shift,2894
P0136,shift,1416
P0137,shift,109
P0138,shift,840
P0139,shift,1425
P0140,shift,1395
P0141,production,67
P0142,shift,1453
P0143,shift,833
P0144,shift,1428
P0145,production,85
P0146,shift,72
P0147,shift,840
P0148,shift,849
P0149,production,38
P0150,shift,1404
P0151,shift,1450
P0152,shift,1440
P0153,shift,2908
P0154,shift,708
P0155,shift,1506
P0156,shift,4102
P0157,production,78
P0158,shift,2880
P0159,shift,1394
P0160,production,47
P0161,production,63
P0162,shift,366
P0163,shift,1397
P0164,production,47
P0165,shift,1354
P0166,shift,2880
P0167,shift,1442
P0168,shift,2247
P0169,shift,1380
P0170,shift,1421
P0171,shift,1425
P0172,shift,3313
P0173,shift,1432
P0174,shift,208
P0175,shift,41
P0176,shift,8
P0177,shift,2784
P0178,shift,2789
P0179,shift,1430
P0180,shift,1438
P0181,production,48
P0182,shift,1413
P0183,shift,1423
P0184,shift,896
P0185,shift,1425
P0186,shift,2880
P0187,shift,1479
P0188,shift,26
P0189,shift,2865
P0190,shift,2880
P0191,temporary,2203
P0192,shift,9
P0193,production,62
P0194,shift,1409
P0195,shift,2209
P0196,shift,16
P0197,shift,4239
P0198,shift,2097
P0199,shift,1440
P0200,shift,1185
P0201,shift,2838
P0202,shift,2824
P0203,production,36
P0204,shift,2875
P0205,shift,1440
P0206,shift,45
P0207,shift,1402
P0208,shift,86
P0209,shift,1455
P0210,shift,679
P0211,shift,1411
P0212,shift,2880
P0213,shift,225
