question,facility,inbound_people,outbound_people,net_flow,total_touch,can_refuel
q1,F001,42,0,42,42,0
q1,F002,45,0,45,45,0
q1,F003,19,0,19,19,0
q1,F004,27,0,27,27,0
q1,F005,27,0,27,27,0
q1,F006,34,0,34,34,1
q1,F007,28,0,28,28,0
q1,F008,22,0,22,22,0
q1,F009,27,0,27,27,0
q1,F010,31,0,31,31,0
q1,F011,29,0,29,29,1
q1,F012,34,0,34,34,0
q1,F013,31,0,31,31,0
q1,F014,28,0,28,28,0
q1,F015,23,0,23,23,0
q1,F016,25,0,25,25,0
q1,F017,27,0,27,27,0
q1,F018,37,0,37,37,1
q1,F019,44,0,44,44,0
q1,F020,46,0,46,46,0
q1,F021,51,0,51,51,0
q1,F022,46,0,46,46,0
q1,F023,25,0,25,25,0
q1,F024,29,0,29,29,1
q1,F025,26,0,26,26,0
q1,F026,33,0,33,33,0
q1,F027,35,0,35,35,0
q1,F028,28,0,28,28,0
q1,F029,24,0,24,24,0
q1,F030,26,0,26,26,0
q1,F031,29,0,29,29,1
q1,F032,30,0,30,30,0
q1,F033,31,0,31,31,0
q1,F034,37,0,37,37,0
q1,F035,21,0,21,21,0
q1,F036,42,0,42,42,0
q1,F037,28,0,28,28,0
q1,F038,31,0,31,31,1
q1,F039,34,0,34,34,0
q1,F040,27,0,27,27,0
q1,F041,21,0,21,21,0
q1,F042,26,0,26,26,0
q1,F043,30,0,30,30,0
q1,F044,34,0,34,34,1
q1,F045,35,0,35,35,0
q1,F046,20,0,20,20,0
q1,F047,23,0,23,23,0
q1,F048,32,0,32,32,0
q1,F049,33,0,33,33,0
q1,F050,27,0,27,27,1
q1,F051,33,0,33,33,0
q1,F052,27,0,27,27,0
q2,F001,42,69,-27,111,0
q2,F002,77,64,13,141,0
q2,F003,55,53,2,108,0
q2,F004,38,45,-7,83,0
q2,F005,52,39,13,91,0
q2,F006,34,42,-8,76,1
q2,F007,93,45,48,138,0
q2,F008,36,33,3,69,0
q2,F009,40,40,0,80,0
q2,F010,31,45,-14,76,0
q2,F011,29,41,-12,70,1
q2,F012,34,47,-13,81,0
q2,F013,31,41,-10,72,0
q2,F014,46,39,7,85,0
q2,F015,48,36,12,84,0
q2,F016,43,40,3,83,0
q2,F017,45,46,-1,91,0
q2,F018,53,47,6,100,1
q2,F019,59,59,0,118,0
q2,F020,46,64,-18,110,0
q2,F021,88,67,21,155,0
q2,F022,46,55,-9,101,0
q2,F023,25,43,-18,68,0
q2,F024,29,40,-11,69,1
q2,F025,40,40,0,80,0
q2,F026,62,47,15,109,0
q2,F027,72,47,25,119,0
q2,F028,28,45,-17,73,0
q2,F029,24,34,-10,58,0
q2,F030,26,48,-22,74,0
q2,F031,29,47,-18,76,1
q2,F032,45,43,2,88,0
q2,F033,71,32,39,103,0
q2,F034,37,36,1,73,0
q2,F035,21,23,-2,44,0
q2,F036,42,68,-26,110,0
q2,F037,39,56,-17,95,0
q2,F038,46,72,-26,118,1
q2,F039,71,66,5,137,0
q2,F040,58,44,14,102,0
q2,F041,36,36,0,72,0
q2,F042,26,41,-15,67,0
q2,F043,45,49,-4,94,0
q2,F044,48,46,2,94,1
q2,F045,70,47,23,117,0
q2,F046,30,37,-7,67,0
q2,F047,41,34,7,75,0
q2,F048,94,51,43,145,0
q2,F049,60,44,16,104,0
q2,F050,27,39,-12,66,1
q2,F051,52,45,7,97,0
q2,F052,40,43,-3,83,0
