date,task_type,earliest_demand_count
2026-08-03,emergency,5
2026-08-03,production,52
2026-08-03,shift,758
2026-08-03,temporary,65
2026-08-04,emergency,6
2026-08-04,production,51
2026-08-04,shift,456
2026-08-04,temporary,24
2026-08-05,emergency,5
2026-08-05,production,52
2026-08-05,shift,486
2026-08-05,temporary,28
2026-08-06,emergency,6
2026-08-06,production,52
2026-08-06,shift,469
2026-08-06,temporary,27
2026-08-07,emergency,6
2026-08-07,production,51
2026-08-07,shift,513
2026-08-07,temporary,11
2026-08-08,emergency,6
2026-08-08,production,51
2026-08-08,shift,521
2026-08-08,temporary,5
2026-08-09,emergency,6
2026-08-09,production,51
2026-08-09,shift,237
