timestamp_role,task_type,hour,demand_count
earliest,emergency,6,7
earliest,emergency,7,5
earliest,emergency,8,13
earliest,emergency,9,5
earliest,emergency,10,2
earliest,emergency,11,4
earliest,emergency,12,1
earliest,emergency,15,2
earliest,emergency,16,1
earliest,production,6,62
earliest,production,7,80
earliest,production,8,71
earliest,production,9,62
earliest,production,10,38
earliest,production,11,17
earliest,production,14,12
earliest,production,15,10
earliest,production,16,8
earliest,shift,0,267
earliest,shift,6,213
earliest,shift,7,505
earliest,shift,8,700
earliest,shift,9,640
earliest,shift,10,607
earliest,shift,11,218
earliest,shift,12,61
earliest,shift,15,85
earliest,shift,16,116
earliest,shift,17,28
earliest,temporary,0,42
earliest,temporary,6,10
earliest,temporary,7,10
earliest,temporary,8,28
earliest,temporary,9,28
earliest,temporary,10,20
earliest,temporary,11,12
earliest,temporary,12,2
earliest,temporary,15,4
earliest,temporary,16,3
earliest,temporary,17,1
latest,emergency,7,1
latest,emergency,8,9
latest,emergency,9,7
latest,emergency,10,10
latest,emergency,11,6
latest,emergency,12,2
latest,emergency,13,1
latest,emergency,16,3
latest,emergency,17,1
latest,production,8,11
latest,production,9,49
latest,production,10,77
latest,production,11,86
latest,production,12,60
latest,production,13,29
latest,production,14,15
latest,production,15,2
latest,production,16,3
latest,production,17,13
latest,production,18,10
latest,production,19,4
latest,production,20,1
latest,shift,7,151
latest,shift,8,491
latest,shift,9,498
latest,shift,10,581
latest,shift,11,497
latest,shift,12,182
latest,shift,13,67
latest,shift,14,25
latest,shift,15,8
latest,shift,16,88
latest,shift,17,75
latest,shift,18,37
latest,shift,23,740
latest,temporary,7,7
latest,temporary,8,14
latest,temporary,9,29
latest,temporary,10,25
latest,temporary,11,17
latest,temporary,12,9
latest,temporary,13,3
latest,temporary,14,2
latest,temporary,15,1
latest,temporary,16,3
latest,temporary,17,4
latest,temporary,18,1
latest,temporary,23,45
