stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,7.766439,low_utilization,3,46,511,276,3,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,10.383361,low_utilization,3,44,480,207,3,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,13.45824,low_utilization,3,44,457,138,3,1,0,0,15371,15371,120870,120870,95,95,0.00194045
1,4,4,17.989716,land_reassignment,3,54,388,144,3,1,1,1,15361,15361,120829,120829,95,95,0.0019113432500000001
1,5,5,18.955727,related_routes,3,51,579,36,3,1,0,0,15361,15361,120829,120829,95,95,0.00188267310125
1,6,6,19.993971,low_utilization,3,41,538,69,3,1,0,0,15361,15361,120829,120829,95,95,0.00185443300473125
1,7,7,25.304764,random_routes,4,64,616,144,4,1,1,1,15347,15347,120497,120497,95,95,0.0018266165096602813
1,8,8,27.733578,worst_time_per_person,3,47,661,75,3,1,1,1,15347,15347,120462,120462,95,95,0.0017992172620153772
1,9,9,30.559249,land_reassignment,3,54,408,81,3,1,0,0,15347,15347,120462,120462,95,95,0.0017722290030851465
1,10,10,34.438413,low_utilization,4,60,640,290,4,1,0,0,15347,15347,120462,120462,95,95,0.0017456455680388693
1,11,11,39.266722,low_utilization,4,61,605,219,4,1,0,0,15347,15347,120462,120462,95,95,0.0017194608845182862
1,12,12,44.14768,low_utilization,4,57,541,219,4,1,0,0,15347,15347,120462,120462,95,95,0.0016936689712505118
1,13,13,45.574006,land_reassignment,3,51,343,81,3,1,0,0,15347,15347,120462,120462,95,95,0.0016682639366817542
1,14,14,46.703086,land_reassignment,3,57,434,36,3,1,0,0,15347,15347,120462,120462,95,95,0.001643239977631528
1,15,15,49.731722,random_routes,3,57,445,140,3,1,0,0,15347,15347,120462,120462,95,95,0.001618591377967055
1,16,16,57.986155,low_utilization,4,63,615,318,4,1,0,0,15347,15347,120462,120462,95,95,0.001594312507297549
1,17,17,61.802884,random_routes,4,72,680,134,4,1,0,0,15347,15347,120462,120462,95,95,0.001570397819688086
1,18,18,66.613749,land_reassignment,4,73,552,142,4,1,0,0,15347,15347,120462,120462,95,95,0.0015468418523927646
1,19,19,69.244351,random_routes,3,51,586,138,3,1,0,0,15347,15347,120462,120462,95,95,0.001523639224606873
1,20,20,72.555269,worst_time_per_person,3,51,761,120,3,1,0,0,15347,15347,120462,120462,95,95,0.00150078463623777
1,21,21,73.694916,land_reassignment,4,76,578,81,4,1,0,0,15347,15347,120462,120462,95,95,0.0014782728666942035
1,22,22,79.228189,worst_time_per_person,4,66,920,296,4,1,0,0,15347,15347,120462,120462,95,95,0.0014560987736937903
