stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,0.95
1,15,land_reassignment,1.916667
1,30,random_routes,1.0
1,30,related_routes,1.833333
1,30,low_utilization,2.375
1,30,worst_time_per_person,1.879167
1,30,land_reassignment,2.375
1,45,random_routes,1.0
1,45,related_routes,2.25
1,45,low_utilization,2.71875
1,45,worst_time_per_person,3.034375
1,45,land_reassignment,2.03125
1,60,random_routes,1.0
1,60,related_routes,1.854167
1,60,low_utilization,3.205729
1,60,worst_time_per_person,3.525781
1,60,land_reassignment,1.523438
2,15,random_routes,0.916667
2,15,related_routes,1.0
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.916667
2,15,land_reassignment,1.0
2,30,random_routes,1.3125
2,30,related_routes,0.875
2,30,low_utilization,1.75
2,30,worst_time_per_person,2.5625
2,30,land_reassignment,1.0
2,45,random_routes,1.484375
2,45,related_routes,0.90625
2,45,low_utilization,2.0625
2,45,worst_time_per_person,2.921875
2,45,land_reassignment,1.0
2,60,random_routes,1.113281
2,60,related_routes,0.929688
2,60,low_utilization,3.109375
2,60,worst_time_per_person,3.722656
2,60,land_reassignment,1.0
