stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,12.250931,land_reassignment,5,89,620,225,5,1,1,1,15361,15361,120829,120829,95,95,0.002
1,2,2,36.51288,random_routes,6,104,905,409,6,1,0,0,15361,15361,120829,120829,95,95,0.00197
1,3,3,86.126657,random_routes,6,101,928,703,6,0,0,0,15361,15361,120829,120829,95,95,0.00194045
1,4,4,105.609492,low_utilization,5,72,886,381,5,1,0,0,15361,15361,120829,120829,95,95,0.0019113432500000001
1,5,5,119.145083,worst_time_per_person,6,90,1316,391,6,0,0,0,15361,15361,120829,120829,95,95,0.00188267310125
1,6,6,129.596241,worst_time_per_person,6,98,1276,395,6,1,0,0,15361,15361,120829,120829,95,95,0.00185443300473125
1,7,7,138.653108,related_routes,6,103,784,441,6,1,0,0,15361,15361,120829,120829,95,95,0.0018266165096602813
1,8,8,142.887597,land_reassignment,6,106,839,144,6,1,0,0,15361,15361,120829,120829,95,95,0.0017992172620153772
1,9,9,144.759599,worst_time_per_person,5,80,1098,183,5,1,0,0,15361,15361,120829,120829,95,95,0.0017722290030851465
1,10,10,148.723073,land_reassignment,5,89,674,144,5,1,0,0,15361,15361,120829,120829,95,95,0.0017456455680388693
1,11,11,153.898797,worst_time_per_person,5,76,1104,205,5,1,1,1,15361,15361,120817,120817,95,95,0.0017194608845182862
1,12,12,158.643783,low_utilization,5,71,790,310,5,1,0,0,15361,15361,120817,120817,95,95,0.0016936689712505118
1,13,13,163.544892,worst_time_per_person,6,96,1308,306,6,0,0,0,15361,15361,120817,120817,95,95,0.0016682639366817542
1,14,14,171.799474,low_utilization,5,70,662,223,4,1,1,1,15359,15359,121766,121766,94,94,0.001643239977631528
1,15,15,176.879959,related_routes,5,78,892,144,5,0,0,0,15359,15359,121766,121766,94,94,0.001618591377967055
1,16,16,179.657148,land_reassignment,5,88,789,79,5,1,0,0,15359,15359,121766,121766,94,94,0.001594312507297549
1,17,17,189.459304,land_reassignment,6,109,838,320,6,1,0,0,15359,15359,121766,121766,94,94,0.001570397819688086
1,18,18,200.004941,random_routes,6,103,979,409,6,1,1,1,15359,15359,121651,121651,94,94,0.0015468418523927646
1,19,19,204.073056,related_routes,5,80,560,144,5,1,0,0,15359,15359,121651,121651,94,94,0.001523639224606873
1,20,20,216.671679,low_utilization,5,77,854,439,5,0,0,0,15359,15359,121651,121651,94,94,0.00150078463623777
1,21,21,246.401675,land_reassignment,6,104,951,564,6,1,0,0,15359,15359,121651,121651,94,94,0.0014782728666942035
1,22,22,246.701957,land_reassignment,5,91,789,79,5,1,0,0,15359,15359,121651,121651,94,94,0.0014560987736937903
1,23,23,260.806383,low_utilization,5,75,687,318,5,1,0,0,15359,15359,121651,121651,94,94,0.0014342572920883834
1,24,24,270.692811,land_reassignment,6,103,1005,225,6,0,0,0,15359,15359,121651,121651,94,94,0.0014127434327070576
