stage,iteration,operator,weight
1,15,random_routes,0.75
1,15,related_routes,0.8125
1,15,low_utilization,0.75
1,15,worst_time_per_person,0.9
1,15,land_reassignment,1.916667
1,30,random_routes,2.1875
1,30,related_routes,0.859375
1,30,low_utilization,0.8125
1,30,worst_time_per_person,1.275
1,30,land_reassignment,1.770833
1,45,random_routes,2.348958
1,45,related_routes,2.269531
1,45,low_utilization,3.609375
1,45,worst_time_per_person,1.95625
1,45,land_reassignment,1.515625
1,60,random_routes,2.928385
1,60,related_routes,1.785482
1,60,low_utilization,3.457031
1,60,worst_time_per_person,1.633854
1,60,land_reassignment,1.386719
2,15,random_routes,1.75
2,15,related_routes,0.8125
2,15,low_utilization,0.833333
2,15,worst_time_per_person,0.75
2,15,land_reassignment,1.0
2,30,random_routes,1.5625
2,30,related_routes,0.859375
2,30,low_utilization,1.625
2,30,worst_time_per_person,0.645833
2,30,land_reassignment,1.2
2,45,random_routes,1.521875
2,45,related_routes,0.894531
2,45,low_utilization,1.41875
2,45,worst_time_per_person,1.109375
2,45,land_reassignment,1.025
2,60,random_routes,1.766406
2,60,related_routes,0.670898
2,60,low_utilization,1.626562
2,60,worst_time_per_person,1.394531
2,60,land_reassignment,0.76875
