stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,17.08,5.0
1,low_utilization,1.0,1,1,1,1,1,0,183,183.0,7.607,5.0
1,random_routes,1.0,2,2,1,0,2,0,5,5.0,56.468,5.5
1,related_routes,1.0,2,2,1,1,2,0,134,134.0,18.472,6.0
1,worst_time_per_person,1.0,3,3,3,3,3,0,744,248.0,50.741,5.0
2,land_reassignment,1.0,4,3,1,1,4,0,3,3.0,55.643,7.25
2,low_utilization,1.0,2,1,1,1,2,0,125,125.0,56.195,8.0
2,random_routes,1.0,1,1,0,0,1,0,0,0.0,26.187,8.0
2,related_routes,1.0,1,1,1,0,1,0,3,3.0,17.471,6.0
2,worst_time_per_person,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
