stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,14.781941,worst_time_per_person,5,39,1055,167,3,1,1,1,16882,16882,120990,120990,108,108,0.002
1,2,2,27.23278,land_reassignment,5,88,814,225,5,1,0,0,16882,16882,120990,120990,108,108,0.00197
1,3,3,33.761752,related_routes,6,82,850,81,5,1,1,1,16748,16748,120652,120652,107,107,0.00194045
1,4,4,41.369011,low_utilization,5,41,786,181,3,1,1,1,16565,16565,121542,121542,105,105,0.0019113432500000001
1,5,5,67.572969,random_routes,5,85,808,298,5,1,0,0,16565,16565,121542,121542,105,105,0.00188267310125
1,6,6,84.031966,worst_time_per_person,5,40,883,225,3,1,1,1,16256,16256,121536,121536,103,103,0.00185443300473125
1,7,7,88.662999,land_reassignment,5,83,666,81,5,1,0,0,16256,16256,121536,121536,103,103,0.0018266165096602813
1,8,8,108.16363,worst_time_per_person,5,65,1065,506,4,1,1,1,16161,16161,122662,122662,102,102,0.0017992172620153772
1,9,9,120.108285,related_routes,6,102,1210,144,6,1,0,0,16191,16161,121849,122662,102,102,0.0017722290030851465
1,10,10,150.372745,random_routes,6,104,1166,512,6,1,1,0,16186,16161,121652,122662,102,102,0.0017456455680388693
2,11,1,174.440472,low_utilization,8,103,1143,542,6,1,1,1,16036,16036,123682,123682,100,100,0.002
2,12,2,200.627964,random_routes,8,142,1225,435,8,1,0,0,16036,16036,123682,123682,100,100,0.00197
2,13,3,213.870636,land_reassignment,8,135,2098,365,8,1,1,1,16033,16033,124051,124051,100,100,0.00194045
2,14,4,246.005977,low_utilization,8,99,1160,707,7,0,0,0,16033,16033,124051,124051,100,100,0.0019113432500000001
2,15,5,251.054403,land_reassignment,6,109,1586,201,6,0,0,0,16033,16033,124051,124051,100,100,0.00188267310125
2,16,6,256.075734,land_reassignment,7,125,1780,201,7,1,0,0,16061,16033,124988,124051,100,100,0.00185443300473125
2,17,7,288.411022,land_reassignment,8,139,1102,436,8,1,0,0,16064,16033,124957,124051,100,100,0.0018266165096602813
2,18,8,305.885019,related_routes,6,92,622,225,5,1,1,0,16061,16033,125935,124051,99,100,0.0017992172620153772
