stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,2.048746,worst_time_per_person,2,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,2.296255,related_routes,2,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,3.176273,low_utilization,2,1,0,0,15371,15371,120870,120870,95,95,0.00194045
1,4,4,4.456359,related_routes,3,1,0,0,15371,15371,120870,120870,95,95,0.0019113432500000001
1,5,5,7.169313,related_routes,2,1,0,0,15371,15371,120870,120870,95,95,0.00188267310125
1,6,6,8.81131,worst_time_per_person,2,1,0,0,15371,15371,120870,120870,95,95,0.00185443300473125
1,7,7,8.898526,worst_time_per_person,2,1,0,0,15371,15371,120870,120870,95,95,0.0018266165096602813
1,8,8,14.522593,low_utilization,3,1,0,0,15371,15371,120870,120870,95,95,0.0017992172620153772
1,9,9,17.042212,random_routes,3,1,0,0,15371,15371,120870,120870,95,95,0.0017722290030851465
1,10,10,19.456659,land_reassignment,2,1,1,1,15361,15361,120836,120836,95,95,0.0017456455680388693
1,11,11,19.514276,worst_time_per_person,2,1,0,0,15361,15361,120836,120836,95,95,0.0017194608845182862
1,12,12,23.471633,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0016936689712505118
1,13,13,25.201493,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0016682639366817542
1,14,14,26.029208,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.001643239977631528
1,15,15,27.699578,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.001618591377967055
1,16,16,27.715418,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.001594312507297549
1,17,17,27.805357,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.001570397819688086
1,18,18,29.1634,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0015468418523927646
1,19,19,29.181125,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.001523639224606873
1,20,20,30.120256,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.00150078463623777
1,21,21,32.074006,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0014782728666942035
1,22,22,35.008966,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.0014560987736937903
1,23,23,36.40421,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.0014342572920883834
1,24,24,36.441158,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0014127434327070576
1,25,25,36.459145,worst_time_per_person,2,1,0,0,15361,15361,120836,120836,95,95,0.0013915522812164517
1,26,26,38.542588,random_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0013706789969982049
1,27,27,40.697338,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.0013501188120432317
1,28,28,41.054837,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.001329867029862583
1,29,29,42.292692,related_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0013099190244146442
1,30,30,43.707365,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0012902702390484245
1,31,31,44.093904,related_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0012709161854626981
1,32,32,45.924459,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0012518524426807576
1,33,33,46.991209,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0012330746560405463
1,34,34,48.926172,random_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0012145785361999382
1,35,35,48.937424,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.001196359858156939
1,36,36,50.555518,related_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.001178414460284585
1,37,37,52.15315,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0011607382433803163
1,38,38,52.166613,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0011433271697296114
1,39,39,53.621941,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0011261772621836673
1,40,40,53.634729,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0011092846032509122
1,41,41,54.385295,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0010926453342021485
1,42,42,55.113734,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0010762556541891162
1,43,43,55.125375,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0010601118193762794
1,44,44,55.199595,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0010442101420856352
