stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,6.179194,worst_time_per_person,3,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,9.171858,low_utilization,2,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,13.347463,land_reassignment,2,1,1,1,15361,15361,120836,120836,95,95,0.00194045
1,4,4,18.641168,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0019113432500000001
1,5,5,22.925165,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.00188267310125
1,6,6,22.949317,related_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.00185443300473125
1,7,7,26.502171,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0018266165096602813
1,8,8,27.56669,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0017992172620153772
1,9,9,29.293957,low_utilization,2,1,0,0,15361,15361,120836,120836,95,95,0.0017722290030851465
1,10,10,33.580701,related_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0017456455680388693
1,11,11,34.546219,low_utilization,2,1,0,0,15361,15361,120836,120836,95,95,0.0017194608845182862
1,12,12,36.229991,related_routes,3,1,1,1,15361,15361,120829,120829,95,95,0.0016936689712505118
1,13,13,42.123646,random_routes,3,1,0,0,15361,15361,120829,120829,95,95,0.0016682639366817542
1,14,14,42.433348,land_reassignment,2,1,0,0,15361,15361,120829,120829,95,95,0.001643239977631528
1,15,15,42.440838,land_reassignment,2,1,0,0,15361,15361,120829,120829,95,95,0.001618591377967055
1,16,16,42.457714,land_reassignment,2,1,0,0,15361,15361,120829,120829,95,95,0.001594312507297549
1,17,17,46.34004,random_routes,3,1,0,0,15361,15361,120829,120829,95,95,0.001570397819688086
1,18,18,47.20918,random_routes,3,1,0,0,15361,15361,120829,120829,95,95,0.0015468418523927646
1,19,19,47.234941,worst_time_per_person,2,1,0,0,15361,15361,120829,120829,95,95,0.001523639224606873
1,20,20,47.593767,low_utilization,2,1,0,0,15361,15361,120829,120829,95,95,0.00150078463623777
1,21,21,48.279249,low_utilization,2,1,0,0,15361,15361,120829,120829,95,95,0.0014782728666942035
1,22,22,50.459909,low_utilization,3,1,0,0,15361,15361,120829,120829,95,95,0.0014560987736937903
1,23,23,52.077454,land_reassignment,3,1,0,0,15361,15361,120829,120829,95,95,0.0014342572920883834
1,24,24,52.085637,low_utilization,2,1,0,0,15361,15361,120829,120829,95,95,0.0014127434327070576
1,25,25,52.991418,related_routes,3,1,0,0,15361,15361,120829,120829,95,95,0.0013915522812164517
1,26,26,54.001356,random_routes,2,1,0,0,15361,15361,120829,120829,95,95,0.0013706789969982049
1,27,27,58.29261,worst_time_per_person,3,1,0,0,15361,15361,120829,120829,95,95,0.0013501188120432317
1,28,28,59.347254,related_routes,2,1,0,0,15361,15361,120829,120829,95,95,0.001329867029862583
1,29,29,59.357957,related_routes,2,1,0,0,15361,15361,120829,120829,95,95,0.0013099190244146442
1,30,30,59.385657,land_reassignment,3,1,0,0,15361,15361,120829,120829,95,95,0.0012902702390484245
1,31,31,59.398649,worst_time_per_person,2,1,0,0,15361,15361,120829,120829,95,95,0.0012709161854626981
1,32,32,61.33059,random_routes,3,1,0,0,15361,15361,120829,120829,95,95,0.0012518524426807576
1,33,33,68.40892,related_routes,3,1,1,1,15356,15356,120679,120679,95,95,0.0012330746560405463
1,34,34,69.475835,worst_time_per_person,3,1,0,0,15356,15356,120679,120679,95,95,0.0012145785361999382
1,35,35,70.710034,related_routes,3,1,0,0,15356,15356,120679,120679,95,95,0.001196359858156939
1,36,36,70.729895,related_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.001178414460284585
1,37,37,71.349827,related_routes,3,1,0,0,15356,15356,120679,120679,95,95,0.0011607382433803163
1,38,38,71.401188,land_reassignment,3,1,0,0,15356,15356,120679,120679,95,95,0.0011433271697296114
1,39,39,71.4405,related_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.0011261772621836673
1,40,40,72.735437,worst_time_per_person,3,1,0,0,15356,15356,120679,120679,95,95,0.0011092846032509122
1,41,41,74.582813,worst_time_per_person,3,1,0,0,15356,15356,120679,120679,95,95,0.0010926453342021485
1,42,42,75.625417,related_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.0010762556541891162
1,43,43,76.687331,low_utilization,3,1,0,0,15356,15356,120679,120679,95,95,0.0010601118193762794
1,44,44,76.737872,land_reassignment,3,1,0,0,15356,15356,120679,120679,95,95,0.0010442101420856352
1,45,45,76.753668,land_reassignment,2,1,0,0,15356,15356,120679,120679,95,95,0.0010285469899543507
1,46,46,77.8878,random_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.0010131187851050354
1,47,47,80.108487,random_routes,3,1,0,0,15356,15356,120679,120679,95,95,0.0009979220033284597
1,48,48,80.117032,land_reassignment,2,1,0,0,15356,15356,120679,120679,95,95,0.0009829531732785328
1,49,49,80.600836,low_utilization,3,1,0,0,15356,15356,120679,120679,95,95,0.0009682088756793548
1,50,50,80.637455,land_reassignment,3,1,0,0,15356,15356,120679,120679,95,95,0.0009536857425441644
1,51,51,82.426668,random_routes,3,1,0,0,15356,15356,120679,120679,95,95,0.0009393804564060019
1,52,52,84.634793,random_routes,3,1,0,0,15356,15356,120679,120679,95,95,0.0009252897495599119
1,53,53,85.444136,low_utilization,2,1,0,0,15356,15356,120679,120679,95,95,0.0009114104033165132
1,54,54,85.46929,land_reassignment,3,1,0,0,15356,15356,120679,120679,95,95,0.0008977392472667655
1,55,55,86.696155,low_utilization,2,1,0,0,15356,15356,120679,120679,95,95,0.000884273158557764
1,56,56,86.736977,related_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.0008710090611793975
1,57,57,87.123844,low_utilization,2,1,0,0,15356,15356,120679,120679,95,95,0.0008579439252617066
1,58,58,87.690012,random_routes,2,1,0,0,15356,15356,120679,120679,95,95,0.0008450747663827809
1,59,59,87.906535,worst_time_per_person,3,1,0,0,15356,15356,120679,120679,95,95,0.0008323986448870392
1,60,60,87.957218,land_reassignment,3,1,0,0,15356,15356,120679,120679,95,95,0.0008199126652137336
1,61,61,90.761138,random_routes,3,1,1,1,15354,15354,120641,120641,95,95,0.0008076139752355276
1,62,62,90.771364,land_reassignment,2,1,0,0,15354,15354,120641,120641,95,95,0.0007954997656069948
1,63,63,93.865827,random_routes,3,1,0,0,15354,15354,120641,120641,95,95,0.0007835672691228899
1,64,64,97.735714,low_utilization,3,1,0,0,15354,15354,120641,120641,95,95,0.0007718137600860465
1,65,65,97.746293,related_routes,2,1,0,0,15354,15354,120641,120641,95,95,0.0007602365536847558
1,66,66,97.756669,related_routes,2,1,0,0,15354,15354,120641,120641,95,95,0.0007488330053794845
1,67,67,97.98165,related_routes,2,1,0,0,15354,15354,120641,120641,95,95,0.0007376005102987922
1,68,68,97.989459,land_reassignment,2,1,0,0,15354,15354,120641,120641,95,95,0.0007265365026443104
1,69,69,101.233755,random_routes,3,1,0,0,15354,15354,120641,120641,95,95,0.0007156384551046457
1,70,70,102.201236,random_routes,3,1,0,0,15354,15354,120641,120641,95,95,0.000704903878278076
1,71,71,103.012803,low_utilization,3,1,0,0,15354,15354,120641,120641,95,95,0.0006943303201039049
1,72,72,104.585314,low_utilization,3,1,1,1,15354,15354,120637,120637,95,95,0.0006839153653023463
1,73,73,105.6101,land_reassignment,3,1,0,0,15354,15354,120637,120637,95,95,0.0006736566348228111
1,74,74,105.620795,related_routes,2,1,0,0,15354,15354,120637,120637,95,95,0.0006635517853004689
1,75,75,105.655077,worst_time_per_person,2,1,0,0,15354,15354,120637,120637,95,95,0.0006535985085209619
1,76,76,106.227994,random_routes,2,1,0,0,15354,15354,120637,120637,95,95,0.0006437945308931474
1,77,77,106.259073,low_utilization,2,1,0,0,15354,15354,120637,120637,95,95,0.0006341376129297503
1,78,78,109.488377,low_utilization,3,1,0,0,15354,15354,120637,120637,95,95,0.0006246255487358039
1,79,79,111.541253,low_utilization,3,1,0,0,15354,15354,120637,120637,95,95,0.0006152561655047669
1,80,80,111.549492,land_reassignment,2,1,0,0,15354,15354,120637,120637,95,95,0.0006060273230221954
1,81,81,111.558246,land_reassignment,2,1,0,0,15354,15354,120637,120637,95,95,0.0005969369131768625
1,82,82,111.59552,related_routes,2,1,0,0,15354,15354,120637,120637,95,95,0.0005879828594792096
1,83,83,112.745331,worst_time_per_person,3,1,1,1,15347,15347,120935,120935,95,95,0.0005791631165870214
1,84,84,113.372201,random_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.0005704756698382161
1,85,85,113.385339,low_utilization,2,1,0,0,15347,15347,120935,120935,95,95,0.0005619185347906429
1,86,86,116.256805,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0005534897567687833
1,87,87,116.28937,low_utilization,2,1,0,0,15347,15347,120935,120935,95,95,0.0005451874104172515
1,88,88,117.218805,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.0005370095992609928
1,89,89,117.230348,random_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.0005289544552720778
1,90,90,119.366235,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0005210201384429966
1,91,91,121.157451,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0005132048363663517
1,92,92,122.938342,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.0005055067638208564
1,93,93,124.547059,low_utilization,3,1,0,0,15347,15347,120935,120935,95,95,0.0004979241623635435
1,94,94,125.710789,random_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.0004904552999280903
1,95,95,126.213728,random_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.00048309847042916893
1,96,96,126.943554,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.0004758519933727314
1,97,97,127.263274,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.0004687142134721404
1,98,98,127.309603,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.0004616835002700583
1,99,99,127.34712,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.0004547582477660074
1,100,100,127.35914,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.0004479368740495173
1,101,101,128.0411,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.0004412178209387745
1,102,102,130.455982,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0004345995536246929
1,103,103,131.504087,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0004280805603203225
1,104,104,131.539034,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.0004216593519155176
1,105,105,131.569196,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.00041533446163678485
1,106,106,131.592914,worst_time_per_person,2,1,0,0,15347,15347,120935,120935,95,95,0.00040910444471223305
1,107,107,132.49298,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0004029678780415496
1,108,108,133.370654,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.00039692335987092633
1,109,109,133.397114,related_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.0003909695094728624
1,110,110,133.433886,related_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.00038510496683076946
1,111,111,133.471555,low_utilization,3,1,0,0,15347,15347,120935,120935,95,95,0.00037932839232830793
1,112,112,133.846109,land_reassignment,3,1,0,0,15347,15347,120935,120935,95,95,0.0003736384664433833
1,113,113,137.07121,low_utilization,3,1,0,0,15347,15347,120935,120935,95,95,0.00036803388944673255
1,114,114,138.641469,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.00036251338110503156
1,115,115,140.47845,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.00035707568038845607
1,116,116,142.154993,random_routes,3,1,0,0,15347,15347,120935,120935,95,95,0.00035171954518262925
1,117,117,143.046244,related_routes,2,1,0,0,15347,15347,120935,120935,95,95,0.0003464437520048898
1,118,118,143.882268,worst_time_per_person,3,1,0,0,15347,15347,120935,120935,95,95,0.00034124709572481645
1,119,119,144.103551,low_utilization,3,1,1,1,15334,15334,122338,122338,94,94,0.0003361283892889442
1,120,120,144.356827,worst_time_per_person,3,1,0,0,15334,15334,122338,122338,94,94,0.00033108646344961004
1,121,121,146.339831,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0003261201664978659
1,122,122,147.007885,random_routes,2,1,0,0,15334,15334,122338,122338,94,94,0.0003212283640003979
1,123,123,147.024673,land_reassignment,2,1,0,0,15334,15334,122338,122338,94,94,0.00031640993854039197
1,124,124,147.108654,low_utilization,2,1,0,0,15334,15334,122338,122338,94,94,0.00031166378946228607
1,125,125,147.599592,worst_time_per_person,3,1,0,0,15334,15334,122338,122338,94,94,0.0003069888326203518
1,126,126,147.624263,worst_time_per_person,2,1,0,0,15334,15334,122338,122338,94,94,0.00030238400013104654
1,127,127,148.295345,random_routes,2,1,0,0,15334,15334,122338,122338,94,94,0.0002978482401290808
1,128,128,149.189566,low_utilization,2,1,0,0,15334,15334,122338,122338,94,94,0.0002933805165271446
1,129,129,151.044598,low_utilization,2,1,0,0,15334,15334,122338,122338,94,94,0.00028897980877923746
2,130,1,152.740923,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.002
2,131,2,158.958714,random_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.00197
2,132,3,164.420931,worst_time_per_person,4,0,0,0,15334,15334,122338,122338,94,94,0.00194045
2,133,4,165.05471,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.0019113432500000001
2,134,5,166.321152,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.00188267310125
2,135,6,171.863605,low_utilization,4,1,0,0,15334,15334,122338,122338,94,94,0.00185443300473125
2,136,7,173.917739,related_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.0018266165096602813
2,137,8,176.366261,related_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.0017992172620153772
2,138,9,180.695497,low_utilization,4,1,0,0,15334,15334,122338,122338,94,94,0.0017722290030851465
2,139,10,180.720204,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.0017456455680388693
2,140,11,185.119413,worst_time_per_person,4,1,0,0,15334,15334,122338,122338,94,94,0.0017194608845182862
2,141,12,186.28557,worst_time_per_person,4,1,0,0,15334,15334,122338,122338,94,94,0.0016936689712505118
2,142,13,186.897681,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.0016682639366817542
2,143,14,196.965818,random_routes,4,0,0,0,15334,15334,122338,122338,94,94,0.001643239977631528
2,144,15,200.178844,random_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.001618591377967055
2,145,16,201.654643,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.001594312507297549
2,146,17,201.675872,related_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.001570397819688086
2,147,18,203.591799,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0015468418523927646
2,148,19,203.854815,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.001523639224606873
2,149,20,204.284816,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.00150078463623777
