aircraft_type,flight_no,stop_order,facility_id,refuel
T2,1,0,A01,0
T2,1,1,F005,0
T2,1,2,A01,0
T2,2,0,A01,0
T2,2,1,F006,1
T2,2,2,F013,0
T2,2,3,A01,0
T2,3,0,A02,0
T2,3,1,F026,0
T2,3,2,F018,1
T2,3,3,A02,0
T3,1,0,A02,0
T3,1,1,F024,1
T3,1,2,F034,0
T3,1,3,A02,0
T2,4,0,A03,0
T2,4,1,F038,1
T2,4,2,F051,0
T2,4,3,A03,0
T3,2,0,A02,0
T3,2,1,F030,0
T3,2,2,A02,0
T2,5,0,A02,0
T2,5,1,F031,1
T2,5,2,F032,0
T2,5,3,A02,0
T3,3,0,A02,0
T3,3,1,F018,0
T3,3,2,A02,0
T2,6,0,A01,0
T2,6,1,F006,1
T2,6,2,A01,0
T2,7,0,A02,0
T2,7,1,F011,1
T2,7,2,F028,0
T2,7,3,A02,0
T3,4,0,A01,0
T3,4,1,F009,0
T3,4,2,A01,0
T3,5,0,A01,0
T3,5,1,F014,0
T3,5,2,A01,0
T3,6,0,A02,0
T3,6,1,F022,0
T3,6,2,F019,0
T3,6,3,A02,0
T2,8,0,A01,0
T2,8,1,F014,0
T2,8,2,F030,0
T2,8,3,A01,0
T2,9,0,A02,0
T2,9,1,F031,1
T2,9,2,F032,0
T2,9,3,A02,0
T3,7,0,A03,0
T3,7,1,F039,0
T3,7,2,A03,0
T3,8,0,A01,0
T3,8,1,F019,0
T3,8,2,A01,0
T3,9,0,A03,0
T3,9,1,F036,0
T3,9,2,A03,0
T3,10,0,A01,0
T3,10,1,F009,0
T3,10,2,F005,0
T3,10,3,A01,0
T2,10,0,A03,0
T2,10,1,F038,1
T2,10,2,F051,0
T2,10,3,A03,0
T3,11,0,A03,0
T3,11,1,F050,1
T3,11,2,A03,0
T2,11,0,A01,0
T2,11,1,F015,0
T2,11,2,A01,0
T3,12,0,A01,0
T3,12,1,F015,0
T3,12,2,F028,0
T3,12,3,A01,0
T3,13,0,A01,0
T3,13,1,F010,0
T3,13,2,A01,0
T3,14,0,A02,0
T3,14,1,F046,0
T3,14,2,A02,0
T2,12,0,A03,0
T2,12,1,F038,1
T2,12,2,F048,0
T2,12,3,A03,0
T2,13,0,A03,0
T2,13,1,F046,0
T2,13,2,F049,0
T2,13,3,F031,1
T2,13,4,A03,0
T2,14,0,A01,0
T2,14,1,F020,0
T2,14,2,A01,0
T3,15,0,A01,0
T3,15,1,F008,0
T3,15,2,A01,0
T2,15,0,A03,0
T2,15,1,F038,1
T2,15,2,A03,0
T2,16,0,A02,0
T2,16,1,F035,0
T2,16,2,F023,0
T2,16,3,F031,1
T2,16,4,A02,0
T1,1,0,A01,0
T1,1,1,F011,1
T1,1,2,A01,0
T3,16,0,A01,0
T3,16,1,F007,0
T3,16,2,A01,0
T3,17,0,A01,0
T3,17,1,F006,0
T3,17,2,A01,0
T2,17,0,A01,0
T2,17,1,F016,0
T2,17,2,A01,0
T3,18,0,A01,0
T3,18,1,F012,0
T3,18,2,A01,0
T3,19,0,A01,0
T3,19,1,F012,0
T3,19,2,F017,0
T3,19,3,A01,0
T3,20,0,A01,0
T3,20,1,F011,0
T3,20,2,A01,0
T2,18,0,A03,0
T2,18,1,F038,1
T2,18,2,F041,0
T2,18,3,A03,0
T2,19,0,A01,0
T2,19,1,F018,0
T2,19,2,A01,0
T3,21,0,A01,0
T3,21,1,F026,0
T3,21,2,A01,0
T2,20,0,A01,0
T2,20,1,F022,0
T2,20,2,A01,0
T3,22,0,A01,0
T3,22,1,F002,0
T3,22,2,A01,0
T2,21,0,A01,0
T2,21,1,F020,0
T2,21,2,A01,0
T2,22,0,A01,0
T2,22,1,F022,0
T2,22,2,A01,0
T3,23,0,A02,0
T3,23,1,F049,0
T3,23,2,A02,0
T3,24,0,A02,0
T3,24,1,F047,0
T3,24,2,A02,0
T2,23,0,A02,0
T2,23,1,F031,1
T2,23,2,F052,0
T2,23,3,A02,0
T2,24,0,A01,0
T2,24,1,F017,0
T2,24,2,F016,0
T2,24,3,A01,0
T3,25,0,A03,0
T3,25,1,F038,1
T3,25,2,F045,0
T3,25,3,A03,0
T2,25,0,A01,0
T2,25,1,F043,0
T2,25,2,F038,1
T2,25,3,F022,0
T2,25,4,A01,0
T2,26,0,A02,0
T2,26,1,F023,0
T2,26,2,F031,1
T2,26,3,A02,0
T2,27,0,A03,0
T2,27,1,F038,1
T2,27,2,F048,0
T2,27,3,A03,0
T2,28,0,A02,0
T2,28,1,F024,1
T2,28,2,F035,0
T2,28,3,A02,0
T2,29,0,A03,0
T2,29,1,F038,1
T2,29,2,F043,0
T2,29,3,A03,0
T3,26,0,A03,0
T3,26,1,F042,0
T3,26,2,F044,1
T3,26,3,A03,0
T2,30,0,A01,0
T2,30,1,F006,1
T2,30,2,F013,0
T2,30,3,A01,0
T3,27,0,A02,0
T3,27,1,F033,0
T3,27,2,F035,0
T3,27,3,F024,1
T3,27,4,A02,0
T3,28,0,A01,0
T3,28,1,F017,0
T3,28,2,A01,0
T2,31,0,A02,0
T2,31,1,F031,1
T2,31,2,A02,0
T3,29,0,A03,0
T3,29,1,F039,0
T3,29,2,A03,0
T3,30,0,A01,0
T3,30,1,F027,0
T3,30,2,A01,0
T2,32,0,A03,0
T2,32,1,F038,1
T2,32,2,F051,0
T2,32,3,A03,0
T2,33,0,A01,0
T2,33,1,F024,1
T2,33,2,A01,0
T3,31,0,A01,0
T3,31,1,F024,1
T3,31,2,F034,0
T3,31,3,A01,0
T2,34,0,A02,0
T2,34,1,F027,0
T2,34,2,A02,0
T2,35,0,A03,0
T2,35,1,F038,1
T2,35,2,F045,0
T2,35,3,A03,0
T2,36,0,A03,0
T2,36,1,F043,0
T2,36,2,F044,1
T2,36,3,A03,0
T2,37,0,A01,0
T2,37,1,F004,0
T2,37,2,A01,0
T3,32,0,A01,0
T3,32,1,F003,0
T3,32,2,A01,0
T3,33,0,A01,0
T3,33,1,F001,0
T3,33,2,A01,0
T3,34,0,A01,0
T3,34,1,F033,0
T3,34,2,A01,0
T3,35,0,A01,0
T3,35,1,F019,0
T3,35,2,F001,0
T3,35,3,A01,0
T2,38,0,A02,0
T2,38,1,F020,0
T2,38,2,A02,0
T3,36,0,A01,0
T3,36,1,F002,0
T3,36,2,F007,0
T3,36,3,A01,0
T3,37,0,A01,0
T3,37,1,F002,0
T3,37,2,A01,0
T3,38,0,A01,0
T3,38,1,F001,0
T3,38,2,A01,0
T3,39,0,A01,0
T3,39,1,F025,0
T3,39,2,A01,0
T3,40,0,A01,0
T3,40,1,F029,0
T3,40,2,A01,0
T3,41,0,A01,0
T3,41,1,F021,0
T3,41,2,A01,0
T3,42,0,A01,0
T3,42,1,F021,0
T3,42,2,A01,0
T2,39,0,A03,0
T2,39,1,F052,0
T2,39,2,F047,0
T2,39,3,F031,1
T2,39,4,A03,0
T2,40,0,A03,0
T2,40,1,F044,1
T2,40,2,F037,0
T2,40,3,F044,1
T2,40,4,A03,0
T3,43,0,A03,0
T3,43,1,F042,0
T3,43,2,F050,1
T3,43,3,A03,0
T3,44,0,A02,0
T3,44,1,F036,0
T3,44,2,A02,0
T2,41,0,A02,0
T2,41,1,F031,1
T2,41,2,A02,0
T2,42,0,A02,0
T2,42,1,F025,0
T2,42,2,F029,0
T2,42,3,F024,1
T2,42,4,A02,0
T2,43,0,A01,0
T2,43,1,F004,0
T2,43,2,A01,0
T3,45,0,A01,0
T3,45,1,F010,0
T3,45,2,F008,0
T3,45,3,A01,0
T3,46,0,A02,0
T3,46,1,F021,0
T3,46,2,F036,0
T3,46,3,A02,0
T2,44,0,A03,0
T2,44,1,F041,0
T2,44,2,F044,1
T2,44,3,A03,0
T2,45,0,A03,0
T2,45,1,F040,0
T2,45,2,F044,1
T2,45,3,A03,0
T2,46,0,A03,0
T2,46,1,F044,1
T2,46,2,F040,0
T2,46,3,A03,0
T3,47,0,A03,0
T3,47,1,F037,0
T3,47,2,F040,0
T3,47,3,F044,1
T3,47,4,A03,0
