stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,8.500535,land_reassignment,5,89,620,225,5,1,1,1,15361,15361,120829,120829,95,95,0.002
1,2,2,20.707062,random_routes,6,104,905,409,6,1,0,0,15361,15361,120829,120829,95,95,0.00197
1,3,3,44.998889,random_routes,6,101,928,703,6,1,0,0,15361,15361,120829,120829,95,95,0.00194045
1,4,4,56.540431,low_utilization,5,72,886,381,5,1,0,0,15361,15361,120829,120829,95,95,0.0019113432500000001
1,5,5,68.830451,worst_time_per_person,6,90,1316,387,6,0,0,0,15361,15361,120829,120829,95,95,0.00188267310125
1,6,6,79.635961,worst_time_per_person,6,98,1276,395,6,1,0,0,15361,15361,120829,120829,95,95,0.00185443300473125
1,7,7,88.9788,related_routes,6,103,1005,225,6,1,0,0,15361,15361,120829,120829,95,95,0.0018266165096602813
1,8,8,96.317976,land_reassignment,6,111,846,222,6,1,0,0,15361,15361,120829,120829,95,95,0.0017992172620153772
1,9,9,98.223085,worst_time_per_person,5,80,1098,183,5,1,0,0,15361,15361,120829,120829,95,95,0.0017722290030851465
1,10,10,101.672558,land_reassignment,5,95,781,144,5,1,0,0,15361,15361,120829,120829,95,95,0.0017456455680388693
1,11,11,108.287418,worst_time_per_person,5,76,1104,207,5,1,0,0,15372,15361,121743,120829,95,95,0.0017194608845182862
1,12,12,116.599655,low_utilization,5,66,860,312,4,1,1,1,15298,15298,123107,123107,94,94,0.0016936689712505118
1,13,13,125.317162,low_utilization,5,76,826,318,5,1,1,1,15281,15281,122919,122919,94,94,0.0016682639366817542
1,14,14,132.168295,random_routes,5,84,952,217,5,1,1,1,15281,15281,122639,122639,94,94,0.001643239977631528
1,15,15,135.650176,related_routes,5,86,616,144,5,1,0,0,15281,15281,122639,122639,94,94,0.001618591377967055
1,16,16,154.752309,low_utilization,5,76,706,566,5,1,0,0,15292,15281,123170,122639,94,94,0.001594312507297549
2,17,1,169.261336,worst_time_per_person,6,93,1314,659,6,1,0,0,15329,15281,123035,122639,94,94,0.002
2,18,2,180.956382,related_routes,6,102,1198,318,6,0,0,0,15329,15281,123035,122639,94,94,0.00197
2,19,3,183.945114,land_reassignment,8,146,1136,324,8,1,0,0,15329,15281,123035,122639,94,94,0.00194045
2,20,4,201.016661,worst_time_per_person,7,111,1400,840,7,0,0,0,15329,15281,123035,122639,94,94,0.0019113432500000001
2,21,5,231.434038,low_utilization,8,123,1418,1596,8,0,0,0,15329,15281,123035,122639,94,94,0.00188267310125
2,22,6,256.428213,low_utilization,7,116,1119,875,7,0,0,0,15329,15281,123035,122639,94,94,0.00185443300473125
2,23,7,268.729283,land_reassignment,7,124,951,441,7,1,0,0,15329,15281,123035,122639,94,94,0.0018266165096602813
2,24,8,279.187356,low_utilization,6,98,1093,1017,6,1,1,0,15329,15281,122808,122639,94,94,0.0017992172620153772
2,25,9,288.739685,related_routes,8,140,1071,729,8,1,0,0,15329,15281,122808,122639,94,94,0.0017722290030851465
2,26,10,308.492995,low_utilization,7,115,1050,1055,7,1,0,0,15340,15281,123013,122639,94,94,0.0017456455680388693
