stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,3.75,1,1,1,1,1,0,10,10.0,8.515,5.0
1,low_utilization,1.25,3,3,1,0,3,0,0,0.0,59.643,5.667
1,random_routes,1.0,4,4,0,0,4,0,0,0.0,35.131,5.0
1,related_routes,2.833333,3,3,2,2,3,0,51,25.5,22.643,5.667
1,worst_time_per_person,2.3125,4,3,2,2,4,0,105,52.5,35.439,5.5
2,land_reassignment,1.0,5,5,3,3,5,0,12,4.0,29.408,6.6
2,low_utilization,1.0,3,2,2,1,3,0,22,11.0,52.722,7.0
2,random_routes,1.0,2,2,2,2,2,0,0,0.0,31.313,7.0
2,related_routes,1.0,2,2,2,2,2,0,65,32.5,20.521,8.0
2,worst_time_per_person,1.0,2,1,0,0,2,0,0,0.0,33.892,7.5
