stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,1.55
1,30,random_routes,1.0
1,30,related_routes,1.0
1,30,low_utilization,0.75
1,30,worst_time_per_person,1.0
1,30,land_reassignment,1.4125
1,45,random_routes,1.0
1,45,related_routes,1.0
1,45,low_utilization,0.8125
1,45,worst_time_per_person,1.0
1,45,land_reassignment,1.309375
1,60,random_routes,1.0
1,60,related_routes,1.0
1,60,low_utilization,0.859375
1,60,worst_time_per_person,1.0
1,60,land_reassignment,1.232031
1,75,random_routes,1.0
1,75,related_routes,1.0
1,75,low_utilization,0.894531
1,75,worst_time_per_person,1.0
1,75,land_reassignment,1.174023
1,90,random_routes,1.0
1,90,related_routes,1.0
1,90,low_utilization,0.920898
1,90,worst_time_per_person,1.6875
1,90,land_reassignment,1.130518
2,15,random_routes,1.0
2,15,related_routes,3.75
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,1.0
2,30,random_routes,1.0
2,30,related_routes,3.0625
2,30,low_utilization,1.0
2,30,worst_time_per_person,1.0
2,30,land_reassignment,1.0
2,45,random_routes,1.0
2,45,related_routes,3.463542
2,45,low_utilization,1.0
2,45,worst_time_per_person,0.75
2,45,land_reassignment,1.0
