stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,2.113643,low_utilization,2,29,307,75,2,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,4.199176,worst_time_per_person,3,48,716,71,3,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,4.444261,related_routes,2,31,370,9,2,1,0,0,15371,15371,120870,120870,95,95,0.00194045
1,4,4,5.588568,related_routes,2,33,228,36,2,1,0,0,15371,15371,120870,120870,95,95,0.0019113432500000001
1,5,5,7.478894,worst_time_per_person,2,32,483,67,2,1,0,0,15371,15371,120870,120870,95,95,0.00188267310125
1,6,6,7.744768,related_routes,2,35,389,9,2,1,0,0,15371,15371,120870,120870,95,95,0.00185443300473125
1,7,7,8.737567,low_utilization,2,30,294,34,2,1,0,0,15371,15371,120870,120870,95,95,0.0018266165096602813
1,8,8,10.612092,random_routes,3,52,472,75,3,1,0,0,15371,15371,120870,120870,95,95,0.0017992172620153772
1,9,9,13.051711,land_reassignment,2,35,261,81,2,1,1,1,15361,15361,120836,120836,95,95,0.0017722290030851465
1,10,10,13.442431,low_utilization,2,27,406,30,2,1,0,0,15361,15361,120836,120836,95,95,0.0017456455680388693
1,11,11,16.536229,random_routes,3,50,509,130,3,1,0,0,15361,15361,120836,120836,95,95,0.0017194608845182862
1,12,12,17.726498,land_reassignment,2,38,304,36,2,1,0,0,15361,15361,120836,120836,95,95,0.0016936689712505118
1,13,13,21.893729,low_utilization,3,39,443,136,3,1,0,0,15361,15361,120836,120836,95,95,0.0016682639366817542
1,14,14,23.023095,worst_time_per_person,3,51,724,75,3,1,0,0,15361,15361,120836,120836,95,95,0.001643239977631528
1,15,15,26.703306,worst_time_per_person,3,46,644,130,3,1,0,0,15361,15361,120836,120836,95,95,0.001618591377967055
1,16,16,26.743935,related_routes,2,32,419,34,2,1,0,0,15361,15361,120836,120836,95,95,0.001594312507297549
1,17,17,27.948739,related_routes,3,55,469,36,3,1,0,0,15361,15361,120836,120836,95,95,0.001570397819688086
1,18,18,30.44829,land_reassignment,3,55,480,81,3,1,0,0,15361,15361,120836,120836,95,95,0.0015468418523927646
1,19,19,33.739921,low_utilization,3,44,467,130,3,1,0,0,15361,15361,120836,120836,95,95,0.001523639224606873
1,20,20,36.330771,land_reassignment,3,54,428,79,3,1,0,0,15361,15361,120836,120836,95,95,0.00150078463623777
1,21,21,36.33844,land_reassignment,2,38,296,9,2,1,0,0,15361,15361,120836,120836,95,95,0.0014782728666942035
1,22,22,36.352462,land_reassignment,2,35,280,35,2,1,0,0,15361,15361,120836,120836,95,95,0.0014560987736937903
1,23,23,36.366414,land_reassignment,2,35,280,35,2,1,0,0,15361,15361,120836,120836,95,95,0.0014342572920883834
1,24,24,37.165582,worst_time_per_person,3,51,759,124,3,1,0,0,15361,15361,120836,120836,95,95,0.0014127434327070576
1,25,25,39.421182,related_routes,3,51,343,81,3,1,1,1,15361,15361,120829,120829,95,95,0.0013915522812164517
1,26,26,40.249574,land_reassignment,2,38,286,36,2,1,0,0,15361,15361,120829,120829,95,95,0.0013706789969982049
1,27,27,42.885206,low_utilization,3,41,433,132,3,1,0,0,15361,15361,120829,120829,95,95,0.0013501188120432317
1,28,28,44.43402,random_routes,3,49,449,73,3,1,0,0,15361,15361,120829,120829,95,95,0.001329867029862583
1,29,29,44.449224,land_reassignment,3,57,454,36,3,1,0,0,15361,15361,120829,120829,95,95,0.0013099190244146442
1,30,30,44.461285,land_reassignment,2,38,300,9,2,1,0,0,15361,15361,120829,120829,95,95,0.0012902702390484245
1,31,31,44.836659,low_utilization,3,41,433,132,3,1,0,0,15361,15361,120829,120829,95,95,0.0012709161854626981
1,32,32,46.168428,related_routes,3,53,508,81,3,1,0,0,15361,15361,120829,120829,95,95,0.0012518524426807576
