stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,8.682828,worst_time_per_person,3,1,0,0,15743,15743,120396,120396,100,100,0.002
1,2,2,11.75115,low_utilization,2,1,0,0,15743,15743,120396,120396,100,100,0.00197
1,3,3,15.864988,worst_time_per_person,2,1,1,1,15743,15743,120390,120390,100,100,0.00194045
1,4,4,31.722448,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0019113432500000001
1,5,5,39.949279,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00188267310125
1,6,6,46.784454,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00185443300473125
1,7,7,50.433741,random_routes,2,1,0,0,15743,15743,120390,120390,100,100,0.0018266165096602813
1,8,8,52.469827,low_utilization,2,1,0,0,15743,15743,120390,120390,100,100,0.0017992172620153772
1,9,9,62.021606,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0017722290030851465
1,10,10,65.596375,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017456455680388693
1,11,11,66.532214,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017194608845182862
1,12,12,78.9533,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0016936689712505118
1,13,13,82.286218,related_routes,2,1,0,0,15743,15743,120390,120390,100,100,0.0016682639366817542
1,14,14,86.810233,low_utilization,3,1,0,0,15743,15743,120390,120390,100,100,0.001643239977631528
1,15,15,93.841149,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.001618591377967055
1,16,16,95.651438,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.001594312507297549
1,17,17,105.868922,low_utilization,3,1,1,1,15697,15697,120640,120640,99,99,0.001570397819688086
1,18,18,109.799994,land_reassignment,3,1,0,0,15697,15697,120640,120640,99,99,0.0015468418523927646
1,19,19,115.666803,low_utilization,3,1,0,0,15697,15697,120640,120640,99,99,0.001523639224606873
1,20,20,127.719016,worst_time_per_person,3,1,0,0,15697,15697,120640,120640,99,99,0.00150078463623777
