name,ranker,candidate_mode,pair_budget,total_aircraft_time_minutes,total_passenger_travel_time_minutes,total_flights,total_fuel_consumption_kg,seat_utilization,served_passengers,unserved_optional_passengers,search_generated_pairs,search_evaluated_pairs,search_evaluated_routes,search_feasible_pairs,search_improving_pairs,search_accepted_merges,search_primary_improvement_minutes,search_technical_stop_searches,search_augmentation_cache_hits,search_mean_feasible_saving_minutes,search_median_feasible_saving_minutes,search_ranker,search_candidate_mode,search_pair_budget,cluster_fit_seconds,solve_seconds,end_to_end_seconds,gate_pass,metrics_match,timing_repeats,median_end_to_end_seconds,minimum_end_to_end_seconds,maximum_end_to_end_seconds
legacy-reproduction,raw_distance,legacy,all,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,738,2112,738,738,10,1479,382,1736,91.8970189701897,93.0,raw_distance,legacy,,0.0,43.366954,43.366954,True,True,1,43.366954,43.366954,43.366954
raw-b25,raw_distance,global,25,15683,120949,99,128016.7,0.4696693575794591,1600,0,774,226,636,226,226,11,1539,178,458,100.3141592920354,98.5,raw_distance,global,25,0.0,27.448652,27.448652,True,True,1,27.448652,27.448652,27.448652
raw-b50,raw_distance,global,50,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,393,1192,393,393,10,1479,274,918,98.79898218829517,98,raw_distance,global,50,0.0,43.096965,43.096965,True,True,5,24.221992,24.173245,43.096965
raw-b75,raw_distance,global,75,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,543,1620,543,543,10,1479,332,1288,95.85635359116021,95,raw_distance,global,75,0.0,51.265701,51.265701,True,True,1,51.265701,51.265701,51.265701
cluster_pam_k2-b50,cluster_pam_k2,global,50,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,393,1228,393,393,10,1479,278,950,98.61323155216284,98,cluster_pam_k2,global,50,2.035739,40.776618,42.812357,True,True,1,42.812357,42.812357,42.812357
cluster_average_k2-b50,cluster_average_k2,global,50,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,393,1194,393,393,10,1479,280,914,98.67684478371501,98,cluster_average_k2,global,50,2.035739,44.927167,46.962906,True,True,1,46.962906,46.962906,46.962906
cluster_pam_k2-b25,cluster_pam_k2,global,25,15683,120949,99,128016.7,0.4696693575794591,1600,0,774,226,658,226,226,11,1539,198,460,99.39823008849558,98.0,cluster_pam_k2,global,25,2.035739,31.519947,33.555686,True,True,1,33.555686,33.555686,33.555686
cluster_pam_k2-b75,cluster_pam_k2,global,75,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,543,1664,543,543,10,1479,338,1326,94.51012891344384,94,cluster_pam_k2,global,75,2.035739,54.746368,56.782107,True,True,1,56.782107,56.782107,56.782107
cluster_average_k2-b25,cluster_average_k2,global,25,15683,120949,99,128016.7,0.4696693575794591,1600,0,774,226,642,226,226,11,1539,186,456,100.39823008849558,98.0,cluster_average_k2,global,25,2.035739,30.267342,32.303081,True,True,1,32.303081,32.303081,32.303081
cluster_average_k2-b75,cluster_average_k2,global,75,15743,120396,100,128562.3,0.46756730896618726,1600,0,776,543,1638,543,543,10,1479,332,1306,95.1841620626151,94,cluster_average_k2,global,75,2.035739,54.496029,56.531768,True,True,1,56.531768,56.531768,56.531768
