method,k,silhouette,within_dissimilarity,minimum_cluster_size,maximum_cluster_size,cluster_sizes,medoids,stability_median_ari,passes_internal_screen
pam,2,0.5633690361505255,3784.0,23,29,29|23,F005|F052,1.0,True
pam,3,0.4610029216582196,2875.0,16,18,18|18|16,F024|F011|F051,0.96975656675451,True
pam,4,0.48163035243237895,2173.0,9,18,18|11|14|9,F022|F010|F047|F044,0.9779449788764126,True
pam,5,0.4579127618287784,1821.0,6,14,14|11|11|6|10,F018|F010|F021|F040|F048,1.0,True
pam,6,0.41763122894880805,1622.0,5,12,12|11|8|8|5|8,F018|F010|F024|F031|F042|F038,0.8014750218423007,True
pam,7,0.38396619903095525,1464.0,5,10,10|7|6|8|8|5|8,F016|F007|F011|F024|F031|F042|F038,0.8736971921011866,True
pam,8,0.36378577107467347,1350.0,4,10,10|7|6|8|7|4|6|4,F016|F007|F011|F024|F031|F042|F048|F041,0.7327366938881188,False
pam,9,0.38952657932737783,1239.0,4,9,4|7|9|6|6|4|4|6|6,F033|F007|F016|F011|F029|F023|F042|F041|F049,0.693753117898121,False
pam,10,0.3705671175526029,1143.0,4,7,4|5|5|7|5|6|4|4|6|6,F033|F007|F008|F018|F014|F029|F023|F042|F041|F049,0.8711595321415809,True
average,2,0.5465848598090584,3853.0,26,26,26|26,F015|F052,1.0,True
average,3,0.47384102157560365,3215.0,4,26,26|22|4,F015|F047|F042,1.0,True
average,4,0.4267532267476224,2483.0,4,22,18|8|22|4,F018|F006|F047|F042,1.0,True
average,5,0.440786971265439,1910.0,4,18,18|8|10|4|12,F018|F006|F021|F042|F038,1.0,True
average,6,0.42162441419301994,1717.0,4,18,18|8|10|4|7|5,F018|F006|F021|F042|F051|F049,0.9362429612955846,True
average,7,0.3866234800555268,1510.0,4,12,12|8|6|10|4|7|5,F026|F006|F015|F021|F042|F051|F049,0.9179609625987049,True
average,8,0.3595043915051679,1453.0,1,12,12|7|6|1|10|4|7|5,F026|F010|F015|F013|F021|F042|F051|F049,0.9153877059059863,False
average,9,0.3796834419596131,1310.0,1,12,12|7|6|1|6|4|4|7|5,F026|F010|F015|F013|F029|F023|F042|F051|F049,0.9048168491351578,False
average,10,0.36908702097042484,1198.0,1,7,5|7|7|6|1|6|4|4|7|5,F033|F010|F018|F015|F013|F029|F023|F042|F051|F049,0.8820276922874146,False
