method,k,facility,cluster,medoid,distance_to_medoid_km
pam,2,F001,0,F005,50.0
pam,2,F002,0,F005,151.0
pam,2,F003,0,F005,99.0
pam,2,F004,0,F005,119.0
pam,2,F005,0,F005,0.0
pam,2,F006,0,F005,128.0
pam,2,F007,0,F005,138.0
pam,2,F008,0,F005,88.0
pam,2,F009,0,F005,57.0
pam,2,F010,0,F005,102.0
pam,2,F011,0,F005,55.0
pam,2,F012,0,F005,18.0
pam,2,F013,0,F005,169.0
pam,2,F014,0,F005,37.0
pam,2,F015,0,F005,25.0
pam,2,F016,0,F005,25.0
pam,2,F017,0,F005,40.0
pam,2,F018,0,F005,17.0
pam,2,F019,0,F005,60.0
pam,2,F020,0,F005,44.0
pam,2,F021,1,F052,97.0
pam,2,F022,0,F005,46.0
pam,2,F023,1,F052,58.0
pam,2,F024,0,F005,89.0
pam,2,F025,1,F052,97.0
pam,2,F026,0,F005,31.0
pam,2,F027,0,F005,87.0
pam,2,F028,0,F005,51.0
pam,2,F029,0,F005,103.0
pam,2,F030,0,F005,35.0
pam,2,F031,1,F052,55.0
pam,2,F032,1,F052,70.0
pam,2,F033,0,F005,66.0
pam,2,F034,0,F005,96.0
pam,2,F035,1,F052,94.0
pam,2,F036,1,F052,75.0
pam,2,F037,1,F052,157.0
pam,2,F038,1,F052,37.0
pam,2,F039,1,F052,44.0
pam,2,F040,1,F052,130.0
pam,2,F041,1,F052,80.0
pam,2,F042,1,F052,155.0
pam,2,F043,1,F052,82.0
pam,2,F044,1,F052,103.0
pam,2,F045,1,F052,67.0
pam,2,F046,1,F052,38.0
pam,2,F047,1,F052,33.0
pam,2,F048,1,F052,23.0
pam,2,F049,1,F052,22.0
pam,2,F050,1,F052,194.0
pam,2,F051,1,F052,47.0
pam,2,F052,1,F052,0.0
pam,3,F001,0,F024,50.0
pam,3,F002,1,F011,99.0
pam,3,F003,1,F011,49.0
pam,3,F004,1,F011,69.0
pam,3,F005,1,F011,55.0
pam,3,F006,1,F011,73.0
pam,3,F007,1,F011,83.0
pam,3,F008,1,F011,33.0
pam,3,F009,1,F011,35.0
pam,3,F010,1,F011,47.0
pam,3,F011,1,F011,0.0
pam,3,F012,1,F011,59.0
pam,3,F013,1,F011,115.0
pam,3,F014,1,F011,44.0
pam,3,F015,1,F011,31.0
pam,3,F016,0,F024,67.0
pam,3,F017,1,F011,80.0
pam,3,F018,1,F011,71.0
pam,3,F019,0,F024,30.0
pam,3,F020,0,F024,57.0
pam,3,F021,0,F024,32.0
pam,3,F022,0,F024,43.0
pam,3,F023,0,F024,87.0
pam,3,F024,0,F024,0.0
pam,3,F025,0,F024,39.0
pam,3,F026,0,F024,62.0
pam,3,F027,0,F024,20.0
pam,3,F028,1,F011,20.0
pam,3,F029,0,F024,16.0
pam,3,F030,1,F011,57.0
pam,3,F031,0,F024,75.0
pam,3,F032,0,F024,90.0
pam,3,F033,0,F024,40.0
pam,3,F034,0,F024,38.0
pam,3,F035,0,F024,57.0
pam,3,F036,0,F024,57.0
pam,3,F037,2,F051,110.0
pam,3,F038,2,F051,17.0
pam,3,F039,2,F051,60.0
pam,3,F040,2,F051,83.0
pam,3,F041,2,F051,36.0
pam,3,F042,2,F051,110.0
pam,3,F043,2,F051,35.0
pam,3,F044,2,F051,56.0
pam,3,F045,2,F051,32.0
pam,3,F046,2,F051,82.0
pam,3,F047,2,F051,80.0
pam,3,F048,2,F051,33.0
pam,3,F049,2,F051,65.0
pam,3,F050,2,F051,149.0
pam,3,F051,2,F051,0.0
pam,3,F052,2,F051,47.0
pam,4,F001,0,F022,26.0
pam,4,F002,1,F010,56.0
pam,4,F003,1,F010,26.0
pam,4,F004,1,F010,34.0
pam,4,F005,0,F022,46.0
pam,4,F006,1,F010,27.0
pam,4,F007,1,F010,37.0
pam,4,F008,1,F010,19.0
pam,4,F009,1,F010,62.0
pam,4,F010,1,F010,0.0
pam,4,F011,1,F010,47.0
pam,4,F012,0,F022,49.0
pam,4,F013,1,F010,72.0
pam,4,F014,0,F022,75.0
pam,4,F015,0,F022,71.0
pam,4,F016,0,F022,25.0
pam,4,F017,0,F022,49.0
pam,4,F018,0,F022,31.0
pam,4,F019,0,F022,15.0
pam,4,F020,0,F022,24.0
pam,4,F021,2,F047,64.0
pam,4,F022,0,F022,0.0
pam,4,F023,2,F047,39.0
pam,4,F024,0,F022,43.0
pam,4,F025,2,F047,65.0
pam,4,F026,0,F022,23.0
pam,4,F027,0,F022,42.0
pam,4,F028,1,F010,59.0
pam,4,F029,0,F022,57.0
pam,4,F030,0,F022,65.0
pam,4,F031,2,F047,25.0
pam,4,F032,2,F047,53.0
pam,4,F033,0,F022,33.0
pam,4,F034,0,F022,58.0
pam,4,F035,2,F047,66.0
pam,4,F036,2,F047,42.0
pam,4,F037,3,F044,54.0
pam,4,F038,2,F047,68.0
pam,4,F039,2,F047,55.0
pam,4,F040,3,F044,28.0
pam,4,F041,3,F044,39.0
pam,4,F042,3,F044,56.0
pam,4,F043,3,F044,21.0
pam,4,F044,3,F044,0.0
pam,4,F045,3,F044,58.0
pam,4,F046,2,F047,15.0
pam,4,F047,2,F047,0.0
pam,4,F048,2,F047,51.0
pam,4,F049,2,F047,19.0
pam,4,F050,3,F044,95.0
pam,4,F051,3,F044,56.0
pam,4,F052,2,F047,33.0
pam,5,F001,0,F018,34.0
pam,5,F002,1,F010,56.0
pam,5,F003,1,F010,26.0
pam,5,F004,1,F010,34.0
pam,5,F005,0,F018,17.0
pam,5,F006,1,F010,27.0
pam,5,F007,1,F010,37.0
pam,5,F008,1,F010,19.0
pam,5,F009,1,F010,62.0
pam,5,F010,1,F010,0.0
pam,5,F011,1,F010,47.0
pam,5,F012,0,F018,19.0
pam,5,F013,1,F010,72.0
pam,5,F014,0,F018,52.0
pam,5,F015,0,F018,41.0
pam,5,F016,0,F018,17.0
pam,5,F017,0,F018,43.0
pam,5,F018,0,F018,0.0
pam,5,F019,0,F018,44.0
pam,5,F020,0,F018,36.0
pam,5,F021,2,F021,0.0
pam,5,F022,0,F018,31.0
pam,5,F023,2,F021,60.0
pam,5,F024,2,F021,32.0
pam,5,F025,2,F021,17.0
pam,5,F026,0,F018,14.0
pam,5,F027,2,F021,37.0
pam,5,F028,1,F010,59.0
pam,5,F029,2,F021,17.0
pam,5,F030,0,F018,46.0
pam,5,F031,2,F021,44.0
pam,5,F032,2,F021,66.0
pam,5,F033,0,F018,49.0
pam,5,F034,2,F021,57.0
pam,5,F035,2,F021,41.0
pam,5,F036,2,F021,26.0
pam,5,F037,3,F040,27.0
pam,5,F038,4,F048,17.0
pam,5,F039,4,F048,31.0
pam,5,F040,3,F040,0.0
pam,5,F041,4,F048,60.0
pam,5,F042,3,F040,28.0
pam,5,F043,3,F040,48.0
pam,5,F044,3,F040,28.0
pam,5,F045,4,F048,45.0
pam,5,F046,4,F048,50.0
pam,5,F047,4,F048,51.0
pam,5,F048,4,F048,0.0
pam,5,F049,4,F048,34.0
pam,5,F050,3,F040,67.0
pam,5,F051,4,F048,33.0
