stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,7.155443,land_reassignment,5,92,763,222,5,225,225,225,1,0,0,14730,14730,122494,122494,89,89,0.002
1,2,2,18.35481,worst_time_per_person,5,85,1129,367,5,435,435,435,1,0,0,14730,14730,122494,122494,89,89,0.00197
1,3,3,22.782693,related_routes,5,95,764,144,5,144,144,144,1,0,0,14730,14730,122494,122494,89,89,0.00194045
1,4,4,32.10448,random_routes,4,73,604,317,4,324,324,288,1,0,0,14730,14730,122494,122494,89,89,0.0019113432500000001
1,5,5,51.098842,low_utilization,5,88,883,657,5,729,729,684,1,0,0,14730,14730,122494,122494,89,89,0.00188267310125
1,6,6,56.724111,random_routes,4,76,581,217,4,225,225,207,1,0,0,14730,14730,122494,122494,89,89,0.00185443300473125
1,7,7,72.105858,low_utilization,4,71,711,570,4,570,570,489,1,0,0,14730,14730,122494,122494,89,89,0.0018266165096602813
1,8,8,78.008906,low_utilization,4,68,714,399,4,441,441,207,1,0,0,14730,14730,122494,122494,89,89,0.0017992172620153772
1,9,9,79.963337,related_routes,5,92,769,221,5,225,225,54,1,0,0,14730,14730,122494,122494,89,89,0.0017722290030851465
1,10,10,87.026158,worst_time_per_person,5,85,1146,369,5,441,441,261,1,0,0,14730,14730,122494,122494,89,89,0.0017456455680388693
1,11,11,95.884132,low_utilization,5,87,841,324,5,324,324,285,1,0,0,14730,14730,122494,122494,89,89,0.0017194608845182862
1,12,12,100.165063,related_routes,4,73,465,144,4,144,144,135,1,0,0,14730,14730,122494,122494,89,89,0.0016936689712505118
1,13,13,101.798631,worst_time_per_person,4,73,1013,383,4,435,435,54,1,0,0,14730,14730,122494,122494,89,89,0.0016682639366817542
1,14,14,107.343574,worst_time_per_person,4,72,1025,280,4,318,318,174,1,0,0,14730,14730,122494,122494,89,89,0.001643239977631528
1,15,15,108.952358,worst_time_per_person,5,85,1108,290,5,324,324,36,1,0,0,14730,14730,122494,122494,89,89,0.001618591377967055
1,16,16,109.133897,land_reassignment,5,92,763,222,5,225,225,0,1,0,0,14730,14730,122494,122494,89,89,0.001594312507297549
1,17,17,124.760717,random_routes,5,94,898,539,5,576,576,468,1,1,1,14730,14730,122397,122397,89,89,0.001570397819688086
1,18,18,124.813547,worst_time_per_person,4,69,921,193,4,219,219,0,1,0,0,14730,14730,122397,122397,89,89,0.0015468418523927646
1,19,19,131.148432,random_routes,4,70,552,225,4,225,225,162,1,0,0,14730,14730,122397,122397,89,89,0.001523639224606873
1,20,20,149.55687,random_routes,5,86,878,675,5,687,687,606,1,1,1,14730,14730,122063,122063,89,89,0.00150078463623777
1,21,21,155.328027,low_utilization,4,72,753,288,4,324,324,234,1,0,0,14730,14730,122063,122063,89,89,0.0014782728666942035
2,22,1,162.776452,worst_time_per_person,5,81,1024,425,5,441,441,441,1,0,0,14730,14730,122063,122063,89,89,0.002
2,23,2,165.212047,low_utilization,5,86,790,554,5,570,570,570,1,0,0,14730,14730,122063,122063,89,89,0.00197
2,24,3,167.641077,worst_time_per_person,5,82,1070,375,5,435,435,291,1,0,0,14730,14730,122063,122063,89,89,0.00194045
2,25,4,173.967139,related_routes,6,108,1043,209,6,219,219,210,1,0,0,14730,14730,122063,122063,89,89,0.0019113432500000001
2,26,5,190.312623,random_routes,6,111,1194,671,6,723,723,603,1,0,0,14730,14730,122063,122063,89,89,0.00188267310125
2,27,6,199.835712,low_utilization,5,81,776,564,5,576,576,396,1,0,0,14730,14730,122063,122063,89,89,0.00185443300473125
2,28,7,203.604042,related_routes,6,108,1168,144,6,144,144,81,1,1,1,14730,14730,121742,121742,89,89,0.0018266165096602813
2,29,8,204.380704,related_routes,6,111,880,144,6,144,144,135,1,0,0,14730,14730,121742,121742,89,89,0.0017992172620153772
2,30,9,205.231106,land_reassignment,6,111,901,320,6,324,324,288,1,0,0,14730,14730,121742,121742,89,89,0.0017722290030851465
2,31,10,214.840334,random_routes,6,107,1132,508,6,570,570,450,1,1,1,14730,14730,121363,121363,89,89,0.0017456455680388693
2,32,11,222.34128,low_utilization,5,83,830,552,5,552,552,312,1,0,0,14730,14730,121363,121363,89,89,0.0017194608845182862
2,33,12,222.518438,land_reassignment,5,92,763,222,5,225,225,0,1,0,0,14730,14730,121363,121363,89,89,0.0016936689712505118
2,34,13,223.211923,related_routes,5,92,821,140,5,144,144,0,1,0,0,14730,14730,121363,121363,89,89,0.0016682639366817542
2,35,14,227.446152,random_routes,5,87,780,203,5,219,219,171,1,0,0,14730,14730,121363,121363,89,89,0.001643239977631528
2,36,15,227.626152,related_routes,5,92,763,222,5,225,225,0,1,0,0,14730,14730,121363,121363,89,89,0.001618591377967055
2,37,16,230.26925,random_routes,5,86,970,299,5,324,324,234,1,0,0,14730,14730,121363,121363,89,89,0.001594312507297549
2,38,17,242.943142,random_routes,6,106,1018,643,6,693,693,477,1,0,0,14730,14730,121363,121363,89,89,0.001570397819688086
2,39,18,244.008026,low_utilization,5,83,911,409,5,435,435,54,1,0,0,14730,14730,121363,121363,89,89,0.0015468418523927646
2,40,19,245.927402,land_reassignment,6,111,969,219,6,225,225,72,1,0,0,14730,14730,121363,121363,89,89,0.001523639224606873
2,41,20,254.610124,low_utilization,6,107,1083,1023,6,1047,1047,414,1,0,0,14730,14730,121363,121363,89,89,0.00150078463623777
2,42,21,254.866328,land_reassignment,6,111,901,320,6,324,324,0,1,0,0,14730,14730,121363,121363,89,89,0.0014782728666942035
2,43,22,255.044136,land_reassignment,5,92,763,222,5,225,225,0,1,0,0,14730,14730,121363,121363,89,89,0.0014560987736937903
2,44,23,256.135402,worst_time_per_person,5,85,1140,647,5,705,705,240,1,0,0,14730,14730,121363,121363,89,89,0.0014342572920883834
2,45,24,270.716807,random_routes,6,108,921,687,6,711,711,606,1,0,0,14730,14730,121363,121363,89,89,0.0014127434327070576
2,46,25,278.476772,worst_time_per_person,6,105,1372,806,6,894,894,351,1,0,0,14730,14730,121363,121363,89,89,0.0013915522812164517
2,47,26,281.22242,worst_time_per_person,5,86,1134,399,5,435,435,30,1,0,0,14730,14730,121363,121363,89,89,0.0013706789969982049
2,48,27,283.963631,random_routes,5,89,796,421,5,423,423,216,1,0,0,14730,14730,121363,121363,89,89,0.0013501188120432317
2,49,28,286.185274,related_routes,5,94,764,144,5,144,144,108,1,0,0,14730,14730,121363,121363,89,89,0.001329867029862583
2,50,29,286.366499,land_reassignment,5,92,763,222,5,225,225,0,1,0,0,14730,14730,121363,121363,89,89,0.0013099190244146442
2,51,30,289.352346,worst_time_per_person,5,82,1028,381,5,423,423,120,1,0,0,14730,14730,121363,121363,89,89,0.0012902702390484245
2,52,31,292.532869,low_utilization,5,91,922,508,5,576,576,366,1,0,0,14730,14730,121363,121363,89,89,0.0012709161854626981
2,53,32,293.564869,related_routes,6,108,1168,144,6,144,144,0,1,0,0,14730,14730,121363,121363,89,89,0.0012518524426807576
2,54,33,301.303685,random_routes,5,95,1072,513,5,576,576,270,1,0,0,14730,14730,121363,121363,89,89,0.0012330746560405463
2,55,34,301.483556,land_reassignment,5,92,763,222,5,225,225,0,1,0,0,14730,14730,121363,121363,89,89,0.0012145785361999382
2,56,35,312.422654,random_routes,6,109,861,574,6,576,576,414,1,0,0,14730,14730,121363,121363,89,89,0.001196359858156939
