stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,7.181144,land_reassignment,5,92,763,222,5,225,225,225,1,0,0,14730,14730,122494,122494,89,89,0.002
1,2,2,18.178332,worst_time_per_person,5,85,1129,367,5,435,435,435,1,0,0,14730,14730,122494,122494,89,89,0.00197
1,3,3,22.546119,related_routes,5,95,764,144,5,144,144,144,1,0,0,14730,14730,122494,122494,89,89,0.00194045
1,4,4,31.64804,random_routes,4,73,604,317,4,324,324,288,1,0,0,14730,14730,122494,122494,89,89,0.0019113432500000001
1,5,5,50.475367,low_utilization,5,88,883,657,5,729,729,684,1,0,0,14730,14730,122494,122494,89,89,0.00188267310125
1,6,6,56.018708,random_routes,4,76,581,217,4,225,225,207,1,0,0,14730,14730,122494,122494,89,89,0.00185443300473125
1,7,7,71.387787,low_utilization,4,71,711,570,4,570,570,489,1,0,0,14730,14730,122494,122494,89,89,0.0018266165096602813
1,8,8,77.286542,low_utilization,4,68,714,399,4,441,441,207,1,0,0,14730,14730,122494,122494,89,89,0.0017992172620153772
1,9,9,79.238782,related_routes,5,92,769,221,5,225,225,54,1,0,0,14730,14730,122494,122494,89,89,0.0017722290030851465
1,10,10,86.26037,worst_time_per_person,5,85,1146,369,5,441,441,261,1,0,0,14730,14730,122494,122494,89,89,0.0017456455680388693
1,11,11,95.223715,low_utilization,5,87,841,324,5,324,324,285,1,0,0,14730,14730,122494,122494,89,89,0.0017194608845182862
1,12,12,99.51415,related_routes,4,73,465,144,4,144,144,135,1,0,0,14730,14730,122494,122494,89,89,0.0016936689712505118
1,13,13,101.124443,worst_time_per_person,4,73,1013,383,4,435,435,54,1,0,0,14730,14730,122494,122494,89,89,0.0016682639366817542
1,14,14,106.691975,worst_time_per_person,4,72,1025,280,4,318,318,174,1,0,0,14730,14730,122494,122494,89,89,0.001643239977631528
