stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,13,13,0,0,13,0,0,0.0,30.251,4.615
1,low_utilization,1.0,7,7,0,0,7,0,0,0.0,18.224,4.429
1,random_routes,2.959375,16,16,3,3,16,0,0,0.0,61.532,4.562
1,related_routes,0.671875,4,3,0,0,4,0,0,0.0,13.215,4.5
1,worst_time_per_person,1.0,16,16,0,0,16,0,0,0.0,29.142,4.375
2,land_reassignment,1.0,12,12,0,0,12,0,0,0.0,26.305,5.417
2,low_utilization,1.0,17,17,0,0,17,0,0,0.0,17.731,5.471
2,random_routes,1.0,15,15,0,0,15,0,0,0.0,41.801,5.667
2,related_routes,0.6875,8,6,0,0,8,0,0,0.0,24.827,5.375
2,worst_time_per_person,1.0,12,12,0,0,12,0,0,0.0,10.038,5.167
