stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,3.974006,low_utilization,4,69,762,144,4,318,160,160,1,0,0,14730,14730,122494,122494,89,89,0.002
1,2,2,11.034192,land_reassignment,5,92,840,159,5,225,160,160,1,0,0,14730,14730,122494,122494,89,89,0.00197
1,3,3,15.883598,random_routes,4,73,649,158,4,219,160,157,1,1,1,14730,14730,122160,122160,89,89,0.00194045
1,4,4,19.834673,worst_time_per_person,5,85,1131,138,5,570,160,156,1,0,0,14730,14730,122160,122160,89,89,0.0019113432500000001
1,5,5,21.78351,land_reassignment,5,92,840,159,5,225,160,0,1,0,0,14730,14730,122160,122160,89,89,0.00188267310125
1,6,6,24.393964,worst_time_per_person,4,69,942,126,4,144,144,85,1,0,0,14730,14730,122160,122160,89,89,0.00185443300473125
1,7,7,27.923796,worst_time_per_person,4,70,961,134,4,219,160,130,1,0,0,14730,14730,122160,122160,89,89,0.0018266165096602813
1,8,8,29.872526,land_reassignment,5,92,840,159,5,225,160,0,1,0,0,14730,14730,122160,122160,89,89,0.0017992172620153772
1,9,9,31.95994,worst_time_per_person,5,83,1072,138,5,318,160,81,1,0,0,14730,14730,122160,122160,89,89,0.0017722290030851465
1,10,10,34.482802,land_reassignment,4,73,647,141,4,144,144,29,1,0,0,14730,14730,122160,122160,89,89,0.0017456455680388693
1,11,11,37.463162,worst_time_per_person,4,66,865,154,4,219,160,100,1,0,0,14730,14730,122160,122160,89,89,0.0017194608845182862
1,12,12,39.447234,land_reassignment,4,76,665,141,4,144,144,28,1,0,0,14730,14730,122160,122160,89,89,0.0016936689712505118
1,13,13,41.396422,land_reassignment,5,92,840,159,5,225,160,0,1,0,0,14730,14730,122160,122160,89,89,0.0016682639366817542
1,14,14,43.345577,land_reassignment,5,92,840,159,5,225,160,0,1,0,0,14730,14730,122160,122160,89,89,0.001643239977631528
1,15,15,46.682278,related_routes,5,91,1310,138,5,225,160,10,0,0,0,14730,14730,122160,122160,89,89,0.001618591377967055
1,16,16,48.780283,worst_time_per_person,5,87,1217,140,5,225,160,60,1,0,0,14730,14730,122160,122160,89,89,0.001594312507297549
1,17,17,50.183219,worst_time_per_person,4,69,913,148,4,324,160,40,1,0,0,14730,14730,122160,122160,89,89,0.001570397819688086
1,18,18,51.870171,land_reassignment,4,73,647,141,4,144,144,0,1,0,0,14730,14730,122160,122160,89,89,0.0015468418523927646
1,19,19,55.961078,random_routes,5,95,954,152,5,324,160,138,1,1,1,14730,14730,121781,121781,89,89,0.001523639224606873
1,20,20,58.644831,low_utilization,4,67,742,160,4,417,160,88,1,0,0,14730,14730,121781,121781,89,89,0.00150078463623777
1,21,21,62.690481,random_routes,4,69,547,160,4,324,160,131,1,0,0,14730,14730,121781,121781,89,89,0.0014782728666942035
1,22,22,66.494852,low_utilization,5,90,911,138,5,318,160,138,1,0,0,14730,14730,121781,121781,89,89,0.0014560987736937903
