stage,iteration,operator,weight
1,15,random_routes,3.75
1,15,related_routes,0.75
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,1.0
1,30,random_routes,3.6125
1,30,related_routes,0.5625
1,30,low_utilization,1.0
1,30,worst_time_per_person,1.0
1,30,land_reassignment,1.0
1,45,random_routes,2.959375
1,45,related_routes,0.671875
1,45,low_utilization,1.0
1,45,worst_time_per_person,1.0
1,45,land_reassignment,1.0
2,15,random_routes,1.0
2,15,related_routes,1.0
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,1.0
2,30,random_routes,1.0
2,30,related_routes,1.0
2,30,low_utilization,1.0
2,30,worst_time_per_person,1.0
2,30,land_reassignment,1.0
2,45,random_routes,1.0
2,45,related_routes,0.916667
2,45,low_utilization,1.0
2,45,worst_time_per_person,1.0
2,45,land_reassignment,1.0
2,60,random_routes,1.0
2,60,related_routes,0.6875
2,60,low_utilization,1.0
2,60,worst_time_per_person,1.0
2,60,land_reassignment,1.0
