stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,0.894531,8,8,0,0,8,0,0,0.0,11.442,4.375
1,low_utilization,1.0,10,10,0,0,10,0,0,0.0,59.617,4.7
1,random_routes,1.0,14,14,0,0,14,0,0,0.0,106.068,4.571
1,related_routes,1.837891,29,28,4,4,29,0,2,0.5,85.402,4.517
1,worst_time_per_person,0.8125,10,10,0,0,10,0,0,0.0,41.299,4.6
2,land_reassignment,1.210938,12,12,1,0,12,0,2,2.0,18.693,5.583
2,low_utilization,1.271143,23,23,2,1,23,0,4,2.0,79.029,5.478
2,random_routes,1.0,14,14,0,0,14,0,0,0.0,90.809,5.643
2,related_routes,2.418876,32,30,6,5,32,0,5,0.833,82.302,5.562
2,worst_time_per_person,1.811198,15,15,1,1,15,0,1,1.0,30.2,5.333
