stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,13.552881,random_routes,5,88,739,437,5,441,441,441,1,0,0,14743,14743,120919,120919,89,89,0.002
1,2,2,25.980627,worst_time_per_person,4,73,983,401,4,441,441,441,1,0,0,14743,14743,120919,120919,89,89,0.00197
1,3,3,29.072513,worst_time_per_person,5,86,1101,314,5,324,324,99,1,0,0,14743,14743,120919,120919,89,89,0.00194045
1,4,4,35.15936,related_routes,4,69,765,144,4,144,144,135,1,1,1,14741,14741,121258,121258,89,89,0.0019113432500000001
1,5,5,46.675059,random_routes,4,76,700,413,4,435,435,405,1,0,0,14741,14741,121258,121258,89,89,0.00188267310125
1,6,6,56.327338,random_routes,4,70,606,439,4,441,441,324,1,0,0,14741,14741,121258,121258,89,89,0.00185443300473125
1,7,7,58.473648,related_routes,4,75,692,81,4,81,81,72,1,0,0,14741,14741,121258,121258,89,89,0.0018266165096602813
1,8,8,63.408647,worst_time_per_person,5,89,1172,292,5,318,318,180,1,0,0,14741,14741,121258,121258,89,89,0.0017992172620153772
1,9,9,65.372529,worst_time_per_person,4,70,933,193,4,225,225,36,1,0,0,14741,14741,121258,121258,89,89,0.0017722290030851465
1,10,10,71.604195,random_routes,5,90,807,429,5,435,435,216,1,0,0,14741,14741,121258,121258,89,89,0.0017456455680388693
1,11,11,80.840844,random_routes,5,89,782,324,5,324,324,288,1,0,0,14741,14741,121258,121258,89,89,0.0017194608845182862
1,12,12,83.045232,related_routes,5,86,1097,213,5,225,225,18,1,0,0,14741,14741,121258,121258,89,89,0.0016936689712505118
1,13,13,91.800978,low_utilization,5,83,835,433,5,435,435,270,1,0,0,14741,14741,121258,121258,89,89,0.0016682639366817542
1,14,14,93.103922,related_routes,4,70,506,36,4,36,36,36,1,1,1,14741,14741,121252,121252,89,89,0.001643239977631528
1,15,15,93.383195,worst_time_per_person,5,89,1164,306,5,324,324,0,1,0,0,14741,14741,121252,121252,89,89,0.001618591377967055
1,16,16,99.215232,low_utilization,5,86,797,304,5,318,318,225,1,0,0,14741,14741,121252,121252,89,89,0.001594312507297549
1,17,17,101.38359,land_reassignment,5,95,1367,201,5,225,225,0,1,0,0,14741,14741,121252,121252,89,89,0.001570397819688086
1,18,18,107.343446,worst_time_per_person,5,89,1195,367,5,441,441,216,1,0,0,14741,14741,121252,121252,89,89,0.0015468418523927646
1,19,19,118.868893,low_utilization,5,85,815,568,5,576,576,342,1,0,0,14741,14741,121252,121252,89,89,0.001523639224606873
1,20,20,120.775903,related_routes,4,75,626,144,4,144,144,63,1,0,0,14741,14741,121252,121252,89,89,0.00150078463623777
1,21,21,134.631153,related_routes,5,92,763,430,5,435,435,387,1,0,0,14741,14741,121252,121252,89,89,0.0014782728666942035
1,22,22,141.691994,related_routes,5,91,716,225,5,225,225,180,1,1,1,14741,14741,121227,121227,89,89,0.0014560987736937903
1,23,23,147.394471,related_routes,5,92,794,320,5,324,324,162,1,0,0,14741,14741,121227,121227,89,89,0.0014342572920883834
1,24,24,151.592195,random_routes,5,89,931,403,5,441,441,162,1,0,0,14741,14741,121227,121227,89,89,0.0014127434327070576
1,25,25,157.145748,worst_time_per_person,5,83,1048,401,5,435,435,90,1,0,0,14741,14741,121227,121227,89,89,0.0013915522812164517
1,26,26,162.245654,land_reassignment,4,76,613,221,4,225,225,135,1,0,0,14741,14741,121227,121227,89,89,0.0013706789969982049
1,27,27,167.971974,low_utilization,5,84,848,425,5,435,435,180,1,0,0,14741,14741,121227,121227,89,89,0.0013501188120432317
1,28,28,169.426051,related_routes,4,67,490,81,4,81,81,36,1,0,0,14741,14741,121227,121227,89,89,0.001329867029862583
1,29,29,176.862081,random_routes,5,92,869,324,5,324,324,225,1,0,0,14741,14741,121227,121227,89,89,0.0013099190244146442
1,30,30,179.536168,related_routes,5,89,660,144,5,144,144,72,1,0,0,14741,14741,121227,121227,89,89,0.0012902702390484245
1,31,31,183.290812,random_routes,4,71,774,211,4,219,219,126,1,0,0,14741,14741,121227,121227,89,89,0.0012709161854626981
1,32,32,190.859031,related_routes,5,95,839,429,5,435,435,180,1,0,0,14741,14741,121227,121227,89,89,0.0012518524426807576
1,33,33,198.474793,low_utilization,4,69,714,419,4,435,435,252,1,0,0,14741,14741,121227,121227,89,89,0.0012330746560405463
1,34,34,203.066916,low_utilization,5,88,925,435,5,435,435,108,1,0,0,14741,14741,121227,121227,89,89,0.0012145785361999382
1,35,35,203.08272,related_routes,4,73,544,81,4,81,81,0,1,0,0,14741,14741,121227,121227,89,89,0.001196359858156939
1,36,36,206.497302,random_routes,5,92,974,181,5,225,225,144,1,0,0,14741,14741,121227,121227,89,89,0.001178414460284585
1,37,37,217.591298,random_routes,5,92,864,405,5,435,435,288,1,0,0,14741,14741,121227,121227,89,89,0.0011607382433803163
1,38,38,222.286423,related_routes,5,89,743,225,5,225,225,108,1,0,0,14741,14741,121227,121227,89,89,0.0011433271697296114
1,39,39,227.280902,low_utilization,5,87,819,433,5,441,441,162,1,0,0,14741,14741,121227,121227,89,89,0.0011261772621836673
1,40,40,232.478774,related_routes,5,95,798,140,5,144,144,135,1,0,0,14741,14741,121227,121227,89,89,0.0011092846032509122
1,41,41,235.054015,related_routes,4,73,465,144,4,144,144,72,1,0,0,14741,14741,121227,121227,89,89,0.0010926453342021485
1,42,42,235.199508,land_reassignment,4,76,613,221,4,225,225,0,1,0,0,14741,14741,121227,121227,89,89,0.0010762556541891162
1,43,43,240.445717,random_routes,4,66,656,308,4,324,324,162,1,0,0,14741,14741,121227,121227,89,89,0.0010601118193762794
1,44,44,246.267226,related_routes,5,91,982,144,5,144,144,72,1,0,0,14741,14741,121227,121227,89,89,0.0010442101420856352
1,45,45,247.076638,related_routes,4,70,796,300,4,300,300,0,1,0,0,14741,14741,121227,121227,89,89,0.0010285469899543507
1,46,46,249.98905,related_routes,5,88,967,144,5,144,144,18,1,0,0,14741,14741,121227,121227,89,89,0.0010131187851050354
1,47,47,250.70834,related_routes,4,70,959,207,4,225,225,0,1,0,0,14741,14741,121227,121227,89,89,0.0009979220033284597
1,48,48,250.79997,related_routes,4,76,703,135,4,138,138,0,1,0,0,14741,14741,121227,121227,89,89,0.0009829531732785328
1,49,49,251.549638,worst_time_per_person,4,76,1052,280,4,318,318,18,1,0,0,14741,14741,121227,121227,89,89,0.0009682088756793548
1,50,50,252.223481,low_utilization,4,70,699,437,4,441,441,0,1,0,0,14741,14741,121227,121227,89,89,0.0009536857425441644
1,51,51,252.424659,related_routes,5,92,794,320,5,324,324,0,1,0,0,14741,14741,121227,121227,89,89,0.0009393804564060019
