stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,1.0
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,1.0
1,30,random_routes,1.0
1,30,related_routes,1.0
1,30,low_utilization,1.0
1,30,worst_time_per_person,1.0
1,30,land_reassignment,1.0
1,45,random_routes,1.0
1,45,related_routes,1.916667
1,45,low_utilization,0.964286
1,45,worst_time_per_person,1.0
1,45,land_reassignment,0.75
1,60,random_routes,1.0
1,60,related_routes,2.2375
1,60,low_utilization,0.723214
1,60,worst_time_per_person,1.0
1,60,land_reassignment,0.8125
1,75,random_routes,1.0
1,75,related_routes,2.271875
1,75,low_utilization,0.542411
1,75,worst_time_per_person,1.0
1,75,land_reassignment,0.859375
2,15,random_routes,0.75
2,15,related_routes,1.0
2,15,low_utilization,1.0
2,15,worst_time_per_person,0.916667
2,15,land_reassignment,1.0
2,30,random_routes,0.8125
2,30,related_routes,2.833333
2,30,low_utilization,1.0
2,30,worst_time_per_person,0.9375
2,30,land_reassignment,1.0
2,45,random_routes,0.609375
2,45,related_routes,2.375
2,45,low_utilization,2.375
2,45,worst_time_per_person,0.953125
2,45,land_reassignment,1.0
2,60,random_routes,0.707031
2,60,related_routes,2.03125
2,60,low_utilization,2.424107
2,60,worst_time_per_person,0.964844
2,60,land_reassignment,1.0
2,75,random_routes,0.780273
2,75,related_routes,2.323437
2,75,low_utilization,2.06808
2,75,worst_time_per_person,0.973633
2,75,land_reassignment,1.0
2,90,random_routes,1.293538
2,90,related_routes,2.680078
2,90,low_utilization,1.80106
2,90,worst_time_per_person,0.980225
2,90,land_reassignment,0.75
2,105,random_routes,1.220154
2,105,related_routes,2.260059
2,105,low_utilization,1.600795
2,105,worst_time_per_person,0.985168
2,105,land_reassignment,0.8125
