attempt,reason,routes_before,routes_after,passengers_affected,aircraft_time_before,aircraft_time_after,route_count_delta,local_aircraft_time_delta,solve_time,accepted,candidate_objective,candidate_flights,current_objective_after
1,cross_exchange,2,2,34,460,460,0,0,1.018904,True,14732,88,14732
2,cross_exchange,2,2,34,304,304,0,0,0.247492,False,14732,88,14732
3,cross_exchange,2,2,38,562,562,0,0,0.929954,False,14732,88,14732
4,cross_exchange,2,2,37,542,542,0,0,0.652881,False,14732,88,14732
5,high_impact,6,6,110,1586,1586,0,0,25.969219,False,14732,88,14732
6,high_impact,6,6,107,1102,1102,0,0,43.399063,False,14732,88,14732
7,high_impact,6,6,107,1479,1484,0,5,10.11609,False,14737,88,14732
8,facility_block,7,7,126,1780,1802,0,22,10.122876,False,14754,88,14732
9,facility_block,7,7,126,1264,1264,0,0,10.349822,False,14732,88,14732
10,facility_block,7,7,123,1678,1690,0,12,25.53837,False,14744,88,14732
11,targeted_large_8,8,8,142,1974,2024,0,50,10.123975,False,14782,88,14732
12,targeted_large_8,8,8,142,1475,1475,0,0,31.374923,False,14732,88,14732
13,targeted_large_8,8,8,139,1888,1950,0,62,28.911561,False,14794,88,14732
14,targeted_large_9,9,9,158,2173,2229,0,56,10.374127,False,14788,88,14732
15,targeted_large_9,9,9,161,1684,1709,0,25,10.884753,False,14757,88,14732
16,targeted_large_9,9,9,155,2107,2205,0,98,10.528833,False,14830,88,14732
17,route_elimination_10,10,10,174,2383,2479,0,96,10.546478,False,14828,88,14732
18,route_elimination_10,10,10,177,1882,1910,0,28,29.12101,False,14760,88,14732
19,route_elimination_10,10,10,174,2323,2415,0,92,10.776347,False,14824,88,14732
