stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,7.336,5.0
1,low_utilization,1.0,5,5,0,0,5,0,0,0.0,54.907,4.4
1,random_routes,1.0,5,5,2,2,5,0,0,0.0,55.316,4.4
1,related_routes,1.0,3,3,0,0,3,0,0,0.0,10.662,4.667
1,worst_time_per_person,1.0,6,6,0,0,6,0,0,0.0,27.101,4.5
2,land_reassignment,1.0,7,7,0,0,7,0,0,0.0,3.737,5.429
2,low_utilization,1.0,6,6,0,0,6,0,0,0.0,32.387,5.167
2,random_routes,1.6875,9,9,1,1,9,0,0,0.0,81.505,5.556
2,related_routes,1.4125,7,7,1,1,7,0,0,0.0,14.996,5.571
2,worst_time_per_person,1.0,6,6,0,0,6,0,0,0.0,24.459,5.167
