stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,12.716038,low_utilization,4,64,656,425,4,435,435,435,1,0,0,14772,14772,121652,121652,89,89,0.002
1,2,2,20.005998,land_reassignment,4,73,672,221,4,225,225,225,1,0,0,14772,14772,121652,121652,89,89,0.00197
1,3,3,20.141885,land_reassignment,4,73,672,221,4,225,225,0,1,0,0,14772,14772,121652,121652,89,89,0.00194045
1,4,4,20.277564,land_reassignment,4,73,672,221,4,225,225,0,1,0,0,14772,14772,121652,121652,89,89,0.0019113432500000001
1,5,5,28.006051,worst_time_per_person,4,66,854,282,4,306,306,273,1,0,0,14772,14772,121652,121652,89,89,0.00188267310125
1,6,6,39.750664,random_routes,4,75,720,405,4,435,435,390,1,0,0,14772,14772,121652,121652,89,89,0.00185443300473125
1,7,7,58.196301,low_utilization,5,87,993,671,5,723,723,624,1,0,0,14772,14772,121652,121652,89,89,0.0018266165096602813
1,8,8,58.335424,land_reassignment,5,92,820,221,5,225,225,0,1,0,0,14772,14772,121652,121652,89,89,0.0017992172620153772
1,9,9,66.580851,worst_time_per_person,4,69,960,361,4,435,435,333,1,0,0,14772,14772,121652,121652,89,89,0.0017722290030851465
1,10,10,74.290994,low_utilization,5,85,833,439,5,441,441,222,1,0,0,14772,14772,121652,121652,89,89,0.0017456455680388693
1,11,11,75.990302,worst_time_per_person,4,66,859,391,4,423,423,54,1,0,0,14772,14772,121652,121652,89,89,0.0017194608845182862
1,12,12,76.128867,land_reassignment,5,92,820,221,5,225,225,0,1,0,0,14772,14772,121652,121652,89,89,0.0016936689712505118
1,13,13,80.562398,low_utilization,4,65,689,201,4,201,201,153,1,0,0,14772,14772,121652,121652,89,89,0.0016682639366817542
1,14,14,82.20671,related_routes,4,73,570,142,4,144,144,36,1,1,1,14770,14770,121633,121633,89,89,0.001643239977631528
1,15,15,95.728539,low_utilization,4,68,745,387,4,423,423,318,1,0,0,14770,14770,121633,121633,89,89,0.001618591377967055
1,16,16,109.279717,related_routes,5,86,626,225,5,225,225,189,1,0,0,14770,14770,121633,121633,89,89,0.001594312507297549
1,17,17,115.219335,related_routes,4,73,1044,201,4,225,225,54,1,0,0,14770,14770,121633,121633,89,89,0.001570397819688086
1,18,18,115.422334,worst_time_per_person,5,83,1082,138,5,144,144,0,1,0,0,14770,14770,121633,121633,89,89,0.0015468418523927646
1,19,19,135.577112,random_routes,4,67,576,314,4,324,324,315,1,0,0,14770,14770,121633,121633,89,89,0.001523639224606873
1,20,20,141.769968,related_routes,4,72,582,144,4,144,144,144,1,0,0,14770,14770,121633,121633,89,89,0.00150078463623777
1,21,21,141.977496,worst_time_per_person,4,66,868,286,4,318,318,0,1,0,0,14770,14770,121633,121633,89,89,0.0014782728666942035
1,22,22,142.046148,related_routes,5,86,626,225,5,225,225,0,1,0,0,14770,14770,121633,121633,89,89,0.0014560987736937903
1,23,23,150.640331,random_routes,5,92,711,313,5,324,324,243,1,0,0,14770,14770,121633,121633,89,89,0.0014342572920883834
1,24,24,156.015416,related_routes,5,95,809,140,5,144,144,99,1,0,0,14770,14770,121633,121633,89,89,0.0014127434327070576
1,25,25,170.334035,random_routes,4,76,649,322,4,324,324,252,1,0,0,14770,14770,121633,121633,89,89,0.0013915522812164517
1,26,26,172.315329,land_reassignment,5,91,1310,201,5,225,225,0,1,0,0,14770,14770,121633,121633,89,89,0.0013706789969982049
1,27,27,180.733405,random_routes,4,75,629,315,4,324,324,180,1,0,0,14770,14770,121633,121633,89,89,0.0013501188120432317
1,28,28,195.247919,related_routes,4,70,796,300,4,300,300,231,1,0,0,14770,14770,121633,121633,89,89,0.001329867029862583
1,29,29,200.027331,related_routes,4,72,758,81,4,81,81,36,1,1,1,14770,14770,121243,121243,89,89,0.0013099190244146442
1,30,30,201.368413,related_routes,4,70,796,270,4,270,270,0,1,0,0,14770,14770,121243,121243,89,89,0.0012902702390484245
1,31,31,212.502803,low_utilization,5,82,811,719,5,723,723,198,1,0,0,14770,14770,121243,121243,89,89,0.0012709161854626981
1,32,32,215.727541,worst_time_per_person,5,84,1120,276,5,318,318,90,1,0,0,14770,14770,121243,121243,89,89,0.0012518524426807576
1,33,33,216.597916,low_utilization,4,70,683,219,4,219,219,0,1,0,0,14770,14770,121243,121243,89,89,0.0012330746560405463
1,34,34,219.614692,related_routes,4,72,1024,126,4,144,144,0,1,0,0,14770,14770,121243,121243,89,89,0.0012145785361999382
1,35,35,220.888965,worst_time_per_person,4,69,945,205,4,225,225,0,1,0,0,14770,14770,121243,121243,89,89,0.001196359858156939
1,36,36,232.923111,random_routes,5,92,764,314,5,324,324,249,1,0,0,14770,14770,121243,121243,89,89,0.001178414460284585
1,37,37,235.783258,related_routes,4,70,761,81,4,81,81,45,1,0,0,14770,14770,121243,121243,89,89,0.0011607382433803163
1,38,38,239.082151,related_routes,4,67,861,126,4,138,138,57,1,0,0,14770,14770,121243,121243,89,89,0.0011433271697296114
1,39,39,243.058264,related_routes,5,83,592,225,5,225,225,18,1,0,0,14770,14770,121243,121243,89,89,0.0011261772621836673
1,40,40,247.581474,low_utilization,5,82,829,550,5,552,552,72,1,0,0,14770,14770,121243,121243,89,89,0.0011092846032509122
1,41,41,247.776893,land_reassignment,4,73,1044,128,4,138,138,0,1,0,0,14770,14770,121243,121243,89,89,0.0010926453342021485
1,42,42,255.132976,related_routes,4,73,590,314,4,318,318,117,1,0,0,14770,14770,121243,121243,89,89,0.0010762556541891162
1,43,43,260.972376,random_routes,4,73,638,203,4,219,219,144,1,0,0,14770,14770,121243,121243,89,89,0.0010601118193762794
1,44,44,263.350516,related_routes,4,70,526,81,4,81,81,36,1,0,0,14770,14770,121243,121243,89,89,0.0010442101420856352
1,45,45,273.736343,low_utilization,4,67,620,433,4,435,435,180,1,0,0,14770,14770,121243,121243,89,89,0.0010285469899543507
1,46,46,274.020005,worst_time_per_person,4,68,940,187,4,219,219,0,1,0,0,14770,14770,121243,121243,89,89,0.0010131187851050354
1,47,47,280.937428,worst_time_per_person,5,81,1046,458,5,534,534,186,1,0,0,14770,14770,121243,121243,89,89,0.0009979220033284597
1,48,48,283.479654,worst_time_per_person,5,82,1088,385,5,423,423,18,1,0,0,14770,14770,121243,121243,89,89,0.0009829531732785328
1,49,49,289.413688,random_routes,4,67,683,217,4,225,225,138,1,0,0,14770,14770,121243,121243,89,89,0.0009682088756793548
1,50,50,294.171491,low_utilization,4,69,794,383,4,423,423,174,1,0,0,14770,14770,121243,121243,89,89,0.0009536857425441644
1,51,51,296.781552,related_routes,4,70,507,126,4,126,126,66,1,0,0,14770,14770,121243,121243,89,89,0.0009393804564060019
1,52,52,296.925428,land_reassignment,5,92,820,221,5,225,225,0,1,0,0,14770,14770,121243,121243,89,89,0.0009252897495599119
1,53,53,300.833864,random_routes,5,86,785,207,5,219,219,144,1,0,0,14770,14770,121243,121243,89,89,0.0009114104033165132
2,54,1,306.946783,related_routes,6,105,1121,219,6,219,219,219,0,0,0,14770,14770,121243,121243,89,89,0.002
2,55,2,306.972298,related_routes,5,89,676,81,5,81,81,81,1,0,0,14770,14770,121243,121243,89,89,0.00197
2,56,3,314.405503,low_utilization,5,84,981,643,5,687,687,654,1,0,0,14770,14770,121243,121243,89,89,0.00194045
2,57,4,322.512669,related_routes,6,102,767,225,6,225,225,216,1,0,0,14771,14770,121423,121243,89,89,0.0019113432500000001
2,58,5,327.456113,random_routes,5,88,741,318,5,318,318,180,1,0,0,14771,14770,121423,121243,89,89,0.00188267310125
2,59,6,327.534583,related_routes,5,83,610,225,5,225,225,54,1,0,0,14771,14770,121423,121243,89,89,0.00185443300473125
2,60,7,337.575165,random_routes,5,95,849,413,5,441,441,396,1,0,0,14771,14770,121423,121243,89,89,0.0018266165096602813
2,61,8,344.483734,random_routes,5,88,834,314,5,324,324,270,1,0,0,14771,14770,121423,121243,89,89,0.0017992172620153772
2,62,9,350.529967,low_utilization,6,103,1190,784,6,834,834,567,1,0,0,14771,14770,121423,121243,89,89,0.0017722290030851465
2,63,10,362.018938,random_routes,6,113,1035,506,6,576,576,558,1,0,0,14771,14770,121423,121243,89,89,0.0017456455680388693
2,64,11,362.678203,related_routes,6,105,790,144,6,144,144,0,1,1,0,14770,14770,121243,121243,89,89,0.0017194608845182862
2,65,12,367.69972,land_reassignment,6,110,1586,201,6,225,225,180,0,0,0,14770,14770,121243,121243,89,89,0.0016936689712505118
2,66,13,372.717829,land_reassignment,6,110,1586,201,6,225,225,0,0,0,0,14770,14770,121243,121243,89,89,0.0016682639366817542
2,67,14,384.729184,low_utilization,6,105,1173,963,6,1047,1047,621,1,0,0,14770,14770,121243,121243,89,89,0.001643239977631528
2,68,15,389.064369,land_reassignment,5,92,1320,201,5,225,225,0,1,0,0,14770,14770,121243,121243,89,89,0.001618591377967055
2,69,16,391.341848,land_reassignment,6,111,952,320,6,324,324,267,1,0,0,14770,14770,121243,121243,89,89,0.001594312507297549
2,70,17,391.439165,worst_time_per_person,5,84,1126,369,5,417,417,117,1,0,0,14770,14770,121243,121243,89,89,0.001570397819688086
2,71,18,391.720912,land_reassignment,6,111,952,320,6,324,324,0,1,0,0,14770,14770,121243,121243,89,89,0.0015468418523927646
2,72,19,393.620724,related_routes,5,92,823,215,5,225,225,162,1,0,0,14770,14770,121243,121243,89,89,0.001523639224606873
2,73,20,395.052867,low_utilization,5,89,1114,476,5,552,552,180,1,0,0,14770,14770,121243,121243,89,89,0.00150078463623777
2,74,21,402.791022,random_routes,6,105,1110,395,6,441,441,306,1,0,0,14770,14770,121243,121243,89,89,0.0014782728666942035
2,75,22,405.564687,random_routes,5,94,940,272,5,324,324,108,1,0,0,14770,14770,121243,121243,89,89,0.0014560987736937903
2,76,23,405.949428,related_routes,5,92,843,222,5,225,225,0,1,1,1,14770,14770,120845,120845,89,89,0.0014342572920883834
2,77,24,409.23132,worst_time_per_person,5,85,1108,272,5,318,318,54,1,0,0,14770,14770,120845,120845,89,89,0.0014127434327070576
2,78,25,413.780636,worst_time_per_person,5,86,1164,621,5,705,705,261,1,0,0,14770,14770,120845,120845,89,89,0.0013915522812164517
2,79,26,431.10916,random_routes,6,110,834,429,6,441,441,351,1,0,0,14770,14770,120845,120845,89,89,0.0013706789969982049
2,80,27,433.453111,related_routes,5,89,623,144,5,144,144,99,1,0,0,14770,14770,120845,120845,89,89,0.0013501188120432317
2,81,28,436.735387,low_utilization,6,104,1028,542,6,552,552,216,1,0,0,14770,14770,120845,120845,89,89,0.001329867029862583
2,82,29,437.262777,land_reassignment,6,111,1007,221,6,225,225,0,1,0,0,14770,14770,120845,120845,89,89,0.0013099190244146442
2,83,30,437.788588,land_reassignment,6,111,1007,221,6,225,225,0,1,0,0,14770,14770,120845,120845,89,89,0.0012902702390484245
