stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,6.702195,low_utilization,5,89,942,158,5,435,160,160,1,0,0,15025,15025,121524,121524,91,91,0.002
1,2,2,12.617849,low_utilization,6,99,1007,160,6,570,160,118,1,0,0,15025,15025,121524,121524,91,91,0.00197
1,3,3,19.51703,worst_time_per_person,6,102,1338,143,6,900,160,156,1,1,1,15025,15025,121424,121424,91,91,0.00194045
1,4,4,24.648377,worst_time_per_person,6,102,1338,131,6,894,160,124,1,0,0,15025,15025,121424,121424,91,91,0.0019113432500000001
1,5,5,33.676218,worst_time_per_person,5,83,1050,140,5,144,144,113,0,0,0,15025,15025,121424,121424,91,91,0.00188267310125
1,6,6,39.729411,land_reassignment,6,112,911,81,6,81,81,81,1,1,1,15023,15023,121424,121424,91,91,0.00185443300473125
1,7,7,45.780243,land_reassignment,5,91,1315,138,5,225,160,66,1,1,1,15018,15018,121980,121980,91,91,0.0018266165096602813
1,8,8,49.177215,land_reassignment,6,107,1437,140,6,324,160,10,1,0,0,15025,15018,121719,121980,91,91,0.0017992172620153772
1,9,9,57.410075,related_routes,6,111,1182,144,6,144,144,125,1,0,0,15026,15018,121719,121980,91,91,0.0017722290030851465
1,10,10,62.490627,worst_time_per_person,6,98,1230,143,6,1071,160,117,1,0,0,15026,15018,121719,121980,91,91,0.0017456455680388693
1,11,11,65.512906,land_reassignment,5,92,924,144,5,144,144,0,1,0,0,15026,15018,121719,121980,91,91,0.0017194608845182862
1,12,12,68.028021,land_reassignment,6,111,1183,144,6,144,144,0,1,1,0,15025,15018,121719,121980,91,91,0.0016936689712505118
1,13,13,75.26772,low_utilization,6,106,1148,160,6,894,160,114,1,1,0,15025,15018,121356,121980,91,91,0.0016682639366817542
