stage,iteration,operator,weight
1,15,random_routes,0.75
1,15,related_routes,1.0
1,15,low_utilization,1.25
1,15,worst_time_per_person,1.625
1,15,land_reassignment,1.821429
1,30,random_routes,0.8125
1,30,related_routes,0.75
1,30,low_utilization,1.375
1,30,worst_time_per_person,1.46875
1,30,land_reassignment,1.916071
1,45,random_routes,1.609375
1,45,related_routes,3.5625
1,45,low_utilization,1.96875
1,45,worst_time_per_person,2.268229
1,45,land_reassignment,2.187054
1,60,random_routes,1.457031
1,60,related_routes,2.838542
1,60,low_utilization,1.726562
1,60,worst_time_per_person,1.888672
1,60,land_reassignment,1.70279
1,75,random_routes,1.342773
1,75,related_routes,3.557478
1,75,low_utilization,1.544922
1,75,worst_time_per_person,4.416504
1,75,land_reassignment,1.277093
1,90,random_routes,1.25708
1,90,related_routes,4.489537
1,90,low_utilization,1.158691
1,90,worst_time_per_person,4.062378
1,90,land_reassignment,0.957819
1,105,random_routes,1.19281
1,105,related_routes,4.242153
1,105,low_utilization,2.494019
1,105,worst_time_per_person,3.296783
1,105,land_reassignment,2.343365
1,120,random_routes,2.519608
1,120,related_routes,3.306614
1,120,low_utilization,2.670514
1,120,worst_time_per_person,3.347588
1,120,land_reassignment,3.382523
1,135,random_routes,2.139706
1,135,related_routes,2.479961
1,135,low_utilization,3.169552
1,135,worst_time_per_person,2.510691
1,135,land_reassignment,3.986893
2,15,random_routes,1.916667
2,15,related_routes,3.75
2,15,low_utilization,1.0
2,15,worst_time_per_person,1.0
2,15,land_reassignment,2.375
2,30,random_routes,2.2375
2,30,related_routes,3.5125
2,30,low_utilization,1.25
2,30,worst_time_per_person,1.0
2,30,land_reassignment,2.03125
2,45,random_routes,1.928125
2,45,related_routes,2.784375
2,45,low_utilization,1.1875
2,45,worst_time_per_person,1.0
2,45,land_reassignment,1.773438
2,60,random_routes,1.883594
2,60,related_routes,2.438281
2,60,low_utilization,1.890625
2,60,worst_time_per_person,1.15
2,60,land_reassignment,1.330078
2,75,random_routes,1.662695
2,75,related_routes,2.453711
2,75,low_utilization,1.667969
2,75,worst_time_per_person,1.4875
2,75,land_reassignment,1.622559
2,90,random_routes,1.647021
2,90,related_routes,2.00695
2,90,low_utilization,1.500977
2,90,worst_time_per_person,1.365625
2,90,land_reassignment,1.216919
2,105,random_routes,1.735266
2,105,related_routes,2.088546
2,105,low_utilization,1.125732
2,105,worst_time_per_person,1.649219
2,105,land_reassignment,1.037689
2,120,random_routes,1.55145
2,120,related_routes,3.352124
2,120,low_utilization,1.781799
2,120,worst_time_per_person,1.236914
2,120,land_reassignment,1.778267
2,135,random_routes,1.413587
2,135,related_routes,2.576593
2,135,low_utilization,1.586349
2,135,worst_time_per_person,1.177686
2,135,land_reassignment,1.3337
