stage,iteration,operator,weight
1,15,random_routes,1.0
1,15,related_routes,3.75
1,15,low_utilization,1.0
1,15,worst_time_per_person,1.0
1,15,land_reassignment,1.0
1,30,random_routes,1.0
1,30,related_routes,3.40625
1,30,low_utilization,0.75
1,30,worst_time_per_person,1.0
1,30,land_reassignment,1.0
1,45,random_routes,1.0
1,45,related_routes,2.804688
1,45,low_utilization,0.8125
1,45,worst_time_per_person,1.0
1,45,land_reassignment,1.0
2,15,random_routes,1.0
2,15,related_routes,1.1
2,15,low_utilization,1.0
2,15,worst_time_per_person,0.75
2,15,land_reassignment,0.833333
2,30,random_routes,1.0
2,30,related_routes,1.991667
2,30,low_utilization,1.0
2,30,worst_time_per_person,0.8125
2,30,land_reassignment,0.875
2,45,random_routes,1.0
2,45,related_routes,1.68125
2,45,low_utilization,1.0
2,45,worst_time_per_person,0.859375
2,45,land_reassignment,0.90625
