stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,2,2,0,0,2,0,0,0.0,15.83,6.0
1,low_utilization,1.0,3,3,0,0,3,0,0,0.0,74.805,5.333
1,random_routes,1.0,5,5,0,0,5,0,0,0.0,83.617,5.2
1,related_routes,0.75,1,0,0,0,1,0,0,0.0,11.888,5.0
1,worst_time_per_person,1.0,5,5,0,0,5,0,0,0.0,64.947,5.2
2,land_reassignment,1.0,9,9,0,0,9,0,0,0.0,23.657,7.222
2,low_utilization,1.0,2,2,0,0,2,0,0,0.0,132.757,8.0
2,random_routes,1.0,2,2,0,0,2,0,0,0.0,38.586,7.0
2,related_routes,0.75,1,0,0,0,1,0,0,0.0,8.351,7.0
2,worst_time_per_person,0.875,4,3,0,0,4,0,0,0.0,54.093,7.5
