stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,13.572979,worst_time_per_person,5,85,1112,357,5,435,435,435,1,0,0,14770,14770,120845,120845,89,89,0.002
1,2,2,34.360832,low_utilization,5,83,829,554,5,558,558,528,1,0,0,14770,14770,120845,120845,89,89,0.00197
1,3,3,51.316415,random_routes,5,91,931,310,5,318,318,318,1,0,0,14770,14770,120845,120845,89,89,0.00194045
1,4,4,62.752021,random_routes,5,92,842,272,5,324,324,243,1,0,0,14770,14770,120845,120845,89,89,0.0019113432500000001
1,5,5,80.488341,worst_time_per_person,6,98,1271,621,6,705,705,558,1,0,0,14770,14770,120845,120845,89,89,0.00188267310125
1,6,6,101.623081,random_routes,6,108,1049,633,6,723,723,531,1,0,0,14770,14770,120845,120845,89,89,0.00185443300473125
1,7,7,111.412846,worst_time_per_person,5,86,1133,270,5,318,318,183,1,0,0,14770,14770,120845,120845,89,89,0.0018266165096602813
1,8,8,126.485677,land_reassignment,6,111,1007,221,6,225,225,213,1,0,0,14770,14770,120845,120845,89,89,0.0017992172620153772
1,9,9,143.867957,worst_time_per_person,5,89,1204,405,5,441,441,279,1,0,0,14770,14770,120845,120845,89,89,0.0017722290030851465
1,10,10,167.334366,random_routes,5,86,741,419,5,435,435,402,1,0,0,14770,14770,120845,120845,89,89,0.0017456455680388693
1,11,11,173.802013,worst_time_per_person,5,82,1054,492,5,552,552,108,1,0,0,14770,14770,120845,120845,89,89,0.0017194608845182862
1,12,12,203.62603,low_utilization,5,84,817,556,5,558,558,417,1,0,0,14770,14770,120845,120845,89,89,0.0016936689712505118
1,13,13,215.515212,related_routes,5,89,883,215,5,225,225,162,0,0,0,14770,14770,120845,120845,89,89,0.0016682639366817542
1,14,14,226.141055,random_routes,5,91,732,219,5,219,219,162,1,0,0,14770,14770,120845,120845,89,89,0.001643239977631528
1,15,15,226.900588,land_reassignment,6,111,1007,221,6,225,225,0,1,0,0,14770,14770,120845,120845,89,89,0.001618591377967055
1,16,16,251.094805,low_utilization,6,103,1155,675,6,711,711,378,1,0,0,14770,14770,120845,120845,89,89,0.001594312507297549
2,17,1,341.781889,low_utilization,8,137,1422,2200,8,2238,2238,2238,1,0,0,14770,14770,120845,120845,89,89,0.002
2,18,2,369.083622,worst_time_per_person,7,117,1453,653,7,723,723,693,1,0,0,14770,14770,120845,120845,89,89,0.00197
2,19,3,384.673679,land_reassignment,8,149,1277,436,8,441,441,438,1,0,0,14770,14770,120845,120845,89,89,0.00194045
2,20,4,385.866952,land_reassignment,8,149,1277,436,8,441,441,0,1,0,0,14770,14770,120845,120845,89,89,0.0019113432500000001
2,21,5,387.204981,land_reassignment,8,149,1277,436,8,441,441,0,1,0,0,14770,14770,120845,120845,89,89,0.00188267310125
2,22,6,388.685443,land_reassignment,8,149,1277,436,8,441,441,0,1,0,0,14770,14770,120845,120845,89,89,0.00185443300473125
2,23,7,389.357743,land_reassignment,6,111,1007,221,6,225,225,0,1,0,0,14770,14770,120845,120845,89,89,0.0018266165096602813
2,24,8,390.322304,land_reassignment,7,130,1139,320,7,324,324,0,1,0,0,14770,14770,120845,120845,89,89,0.0017992172620153772
2,25,9,391.241716,land_reassignment,7,130,1139,320,7,324,324,0,1,0,0,14770,14770,120845,120845,89,89,0.0017722290030851465
2,26,10,397.988655,random_routes,7,121,1097,558,7,558,558,375,1,0,0,14770,14770,120845,120845,89,89,0.0017456455680388693
2,27,11,407.709616,worst_time_per_person,7,117,1528,496,7,570,570,252,0,0,0,14770,14770,120845,120845,89,89,0.0017194608845182862
2,28,12,408.31892,land_reassignment,6,111,1007,221,6,225,225,0,1,0,0,14770,14770,120845,120845,89,89,0.0016936689712505118
2,29,13,416.670134,related_routes,7,121,1386,225,7,225,225,81,0,0,0,14770,14770,120845,120845,89,89,0.0016682639366817542
2,30,14,448.509826,random_routes,7,123,1302,1061,7,1071,1071,657,1,0,0,14770,14770,120845,120845,89,89,0.001643239977631528
2,31,15,449.409694,land_reassignment,7,130,1139,320,7,324,324,0,1,0,0,14770,14770,120845,120845,89,89,0.001618591377967055
2,32,16,458.382341,worst_time_per_person,8,140,1590,874,8,876,876,252,1,0,0,14770,14770,120845,120845,89,89,0.001594312507297549
2,33,17,466.481515,worst_time_per_person,8,136,1801,919,8,1071,1071,558,1,0,0,14770,14770,120845,120845,89,89,0.001570397819688086
2,34,18,508.552445,low_utilization,8,137,1357,1397,8,1503,1503,1101,1,0,0,14770,14770,120845,120845,89,89,0.0015468418523927646
