stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,14.805506,low_utilization,5,78,744,413,5,423,423,423,1,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,24.717352,random_routes,5,91,789,316,5,324,324,321,1,0,0,15371,15371,120870,120870,95,95,0.00197
1,3,3,40.153947,low_utilization,6,92,908,568,6,570,570,399,0,0,0,15371,15371,120870,120870,95,95,0.00194045
1,4,4,49.378597,land_reassignment,6,108,744,225,6,225,225,216,1,1,1,15360,15360,120808,120808,95,95,0.0019113432500000001
1,5,5,57.197178,low_utilization,5,74,821,288,5,318,318,243,1,1,1,15360,15360,120716,120716,95,95,0.00188267310125
1,6,6,67.281752,worst_time_per_person,6,102,1350,403,6,441,441,333,1,0,0,15360,15360,120716,120716,95,95,0.00185443300473125
1,7,7,75.887163,random_routes,5,85,760,322,5,324,324,285,1,0,0,15360,15360,120716,120716,95,95,0.0018266165096602813
1,8,8,89.15398,worst_time_per_person,6,97,1266,524,6,576,576,423,1,0,0,15360,15360,120716,120716,95,95,0.0017992172620153772
1,9,9,93.888808,related_routes,6,94,1500,185,5,225,225,72,1,1,1,15218,15218,122332,122332,94,94,0.0017722290030851465
1,10,10,120.078509,random_routes,6,105,895,856,6,882,882,807,1,1,1,15218,15218,122328,122328,94,94,0.0017456455680388693
1,11,11,134.304773,low_utilization,6,86,917,413,6,441,441,369,1,0,0,15218,15218,122502,122328,94,94,0.0017194608845182862
1,12,12,141.605098,low_utilization,5,78,814,546,5,570,570,186,1,0,0,15218,15218,122502,122328,94,94,0.0016936689712505118
1,13,13,142.687681,related_routes,5,89,776,81,5,81,81,0,1,1,1,15210,15210,122351,122351,94,94,0.0016682639366817542
1,14,14,148.173269,land_reassignment,5,88,745,144,5,144,144,108,1,1,1,15205,15205,122304,122304,94,94,0.001643239977631528
1,15,15,157.296143,worst_time_per_person,5,89,1222,486,5,570,570,282,1,1,1,15205,15205,122019,122019,94,94,0.001618591377967055
2,16,1,171.067226,low_utilization,6,92,963,669,6,723,723,723,1,0,0,15205,15205,122019,122019,94,94,0.002
2,17,2,192.740262,worst_time_per_person,8,133,1717,808,8,900,900,864,1,0,0,15272,15205,123053,122019,94,94,0.00197
2,18,3,200.726674,land_reassignment,8,135,1156,225,8,225,225,225,0,0,0,15272,15205,123053,122019,94,94,0.00194045
2,19,4,205.750139,land_reassignment,7,118,1018,225,7,225,225,0,1,0,0,15277,15205,123100,122019,94,94,0.0019113432500000001
2,20,5,213.45126,random_routes,7,117,1063,437,7,441,441,297,1,0,0,15277,15205,123100,122019,94,94,0.00188267310125
2,21,6,227.415926,low_utilization,6,86,890,673,6,711,711,477,1,1,0,15274,15205,123125,122019,94,94,0.00185443300473125
2,22,7,239.608067,random_routes,6,102,1041,415,6,435,435,372,1,0,0,15274,15205,123125,122019,94,94,0.0018266165096602813
2,23,8,259.059611,low_utilization,8,134,1455,979,8,1047,1047,492,1,1,0,15253,15205,122467,122019,94,94,0.0017992172620153772
2,24,9,272.019686,random_routes,8,131,1262,407,8,441,441,351,1,0,0,15253,15205,122467,122019,94,94,0.0017722290030851465
2,25,10,286.768076,land_reassignment,8,138,1207,437,8,441,441,432,0,0,0,15253,15205,122467,122019,94,94,0.0017456455680388693
2,26,11,319.562534,low_utilization,7,109,1176,868,7,894,894,603,1,1,0,15253,15205,121902,122019,94,94,0.0017194608845182862
