stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,low_utilization,1.0,2,0,0,0,2,0,0,0.0,63.062,5.5
1,random_routes,1.0,3,3,0,0,3,0,0,0.0,75.722,5.0
1,related_routes,1.0,2,2,0,0,2,0,0,0.0,7.443,5.0
1,worst_time_per_person,1.0,1,1,0,0,1,0,0,0.0,20.969,6.0
2,land_reassignment,1.0,1,1,1,1,1,0,0,0.0,2.923,6.0
2,low_utilization,1.0,3,1,0,0,3,0,0,0.0,49.957,6.667
2,random_routes,1.0,1,1,0,0,1,0,0,0.0,14.922,8.0
2,related_routes,1.0,4,4,3,3,4,0,194,64.667,43.677,7.75
2,worst_time_per_person,1.0,3,3,0,0,3,0,0,0.0,45.77,7.333
