stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,6.71319,worst_time_per_person,6,99,1298,142,6,570,160,160,1,1,1,15371,15371,120770,120770,95,95,0.002
1,2,2,11.668098,worst_time_per_person,5,75,1090,136,5,219,160,135,1,0,0,15371,15371,120770,120770,95,95,0.00197
1,3,3,16.070678,low_utilization,5,69,799,144,5,318,160,157,1,0,0,15371,15371,120770,120770,95,95,0.00194045
1,4,4,22.276896,worst_time_per_person,6,94,1359,132,6,570,160,135,1,0,0,15371,15371,120770,120770,95,95,0.0019113432500000001
1,5,5,27.91333,low_utilization,5,70,750,154,5,423,160,135,1,0,0,15371,15371,120770,120770,95,95,0.00188267310125
1,6,6,34.21873,land_reassignment,5,92,628,144,5,144,144,144,1,1,1,15360,15360,120704,120704,95,95,0.00185443300473125
1,7,7,37.882027,low_utilization,6,93,1034,151,6,846,160,126,1,0,0,15360,15360,120704,120704,95,95,0.0018266165096602813
1,8,8,44.03554,related_routes,6,101,1011,144,6,144,144,132,1,0,0,15360,15360,120704,120704,95,95,0.0017992172620153772
1,9,9,49.46957,related_routes,6,97,1547,120,6,144,144,110,1,0,0,15379,15360,120416,120704,95,95,0.0017722290030851465
1,10,10,56.12969,low_utilization,6,92,915,161,6,570,160,118,1,1,0,15376,15360,120349,120704,95,95,0.0017456455680388693
1,11,11,60.213857,random_routes,5,89,766,154,5,225,160,144,1,0,0,15376,15360,120349,120704,95,95,0.0017194608845182862
1,12,12,69.399861,land_reassignment,5,86,774,161,5,225,160,151,0,0,0,15376,15360,120349,120704,95,95,0.0016936689712505118
1,13,13,79.323062,random_routes,5,74,1026,142,5,324,160,134,1,0,0,15376,15360,120349,120704,95,95,0.0016682639366817542
1,14,14,84.49009,land_reassignment,5,84,745,77,5,81,81,67,1,0,0,15376,15360,120349,120704,95,95,0.001643239977631528
1,15,15,87.3776,worst_time_per_person,5,83,1111,146,5,318,160,30,1,0,0,15376,15360,120349,120704,95,95,0.001618591377967055
1,16,16,93.502851,worst_time_per_person,5,74,1153,140,5,324,160,61,1,0,0,15396,15360,120769,120704,95,95,0.001594312507297549
1,17,17,99.790375,random_routes,5,83,862,153,5,558,160,141,1,0,0,15396,15360,120769,120704,95,95,0.001570397819688086
1,18,18,100.647199,worst_time_per_person,6,101,1324,134,6,723,160,35,1,0,0,15396,15360,120769,120704,95,95,0.0015468418523927646
1,19,19,105.099769,land_reassignment,6,103,941,161,6,324,160,39,0,0,0,15396,15360,120769,120704,95,95,0.001523639224606873
1,20,20,114.589096,land_reassignment,6,108,930,144,6,144,144,120,1,1,0,15384,15360,120794,120704,95,95,0.00150078463623777
1,21,21,119.204085,worst_time_per_person,6,101,1351,139,6,441,160,32,1,0,0,15384,15360,121013,120704,95,95,0.0014782728666942035
1,22,22,121.749815,worst_time_per_person,6,98,1253,140,6,729,160,50,1,0,0,15384,15360,121013,120704,95,95,0.0014560987736937903
1,23,23,123.101195,land_reassignment,5,76,1266,136,4,225,160,4,1,1,1,15193,15193,121163,121163,94,94,0.0014342572920883834
1,24,24,128.86279,random_routes,6,107,1082,159,6,570,160,118,1,0,0,15193,15193,121163,121163,94,94,0.0014127434327070576
1,25,25,132.418861,land_reassignment,5,93,745,144,5,144,144,32,1,0,0,15193,15193,121163,121163,94,94,0.0013915522812164517
1,26,26,138.325224,random_routes,6,101,929,159,6,711,160,84,1,0,0,15193,15193,121163,121163,94,94,0.0013706789969982049
1,27,27,141.88473,related_routes,6,114,1614,140,6,225,160,11,1,0,0,15194,15193,121979,121163,94,94,0.0013501188120432317
1,28,28,150.396442,worst_time_per_person,6,93,1192,148,6,441,160,98,0,0,0,15194,15193,121979,121163,94,94,0.001329867029862583
2,29,1,155.848626,land_reassignment,6,109,923,160,6,219,160,160,1,0,0,15205,15193,121253,121163,94,94,0.002
2,30,2,160.947679,random_routes,7,124,992,160,7,441,160,160,1,0,0,15205,15193,121253,121163,94,94,0.00197
2,31,3,163.201533,worst_time_per_person,7,115,1492,146,7,729,160,160,1,0,0,15205,15193,121253,121163,94,94,0.00194045
2,32,4,170.27187,related_routes,7,115,1002,160,7,318,160,148,1,0,0,15205,15193,121253,121163,94,94,0.0019113432500000001
2,33,5,175.373823,related_routes,7,128,1083,159,7,219,160,4,1,0,0,15214,15193,121693,121163,94,94,0.00188267310125
2,34,6,182.115951,worst_time_per_person,8,128,1608,154,8,729,160,90,0,0,0,15214,15193,121693,121163,94,94,0.00185443300473125
2,35,7,188.311182,random_routes,8,130,1217,163,8,723,160,158,1,0,0,15214,15193,121693,121163,94,94,0.0018266165096602813
2,36,8,193.708394,land_reassignment,6,107,939,160,6,225,160,61,1,1,0,15212,15193,121412,121163,94,94,0.0017992172620153772
2,37,9,197.771707,random_routes,7,121,1005,161,7,894,160,140,1,0,0,15212,15193,121412,121163,94,94,0.0017722290030851465
2,38,10,204.783313,land_reassignment,8,143,1212,160,8,219,160,132,1,0,0,15222,15193,121240,121163,94,94,0.0017456455680388693
2,39,11,212.391244,worst_time_per_person,8,132,1688,148,8,894,160,132,1,1,0,15222,15193,121182,121163,94,94,0.0017194608845182862
2,40,12,224.061748,related_routes,8,138,1307,138,8,144,144,116,1,1,0,15222,15193,121027,121163,94,94,0.0016936689712505118
2,41,13,233.437004,low_utilization,6,92,931,159,6,723,160,111,1,0,0,15222,15193,121027,121163,94,94,0.0016682639366817542
2,42,14,241.891445,low_utilization,7,102,1074,161,7,570,160,121,1,1,0,15198,15193,121230,121163,94,94,0.001643239977631528
2,43,15,251.65929,random_routes,8,134,1168,162,8,894,160,139,1,0,0,15198,15193,121230,121163,94,94,0.001618591377967055
2,44,16,257.364584,worst_time_per_person,7,121,1602,132,7,576,160,46,1,0,0,15232,15193,121940,121163,94,94,0.001594312507297549
2,45,17,262.411986,related_routes,6,107,948,161,6,324,160,12,1,0,0,15233,15193,122720,121163,94,94,0.001570397819688086
2,46,18,267.743762,land_reassignment,6,106,936,159,6,225,160,10,1,0,0,15246,15193,122812,121163,94,94,0.0015468418523927646
2,47,19,278.51031,related_routes,6,91,1030,144,5,144,144,122,1,1,0,15198,15193,123655,121163,93,94,0.001523639224606873
2,48,20,281.675068,land_reassignment,8,143,1142,160,8,225,160,38,1,1,1,15179,15179,123628,123628,93,93,0.00150078463623777
2,49,21,288.365481,related_routes,6,101,1351,150,6,225,160,82,1,1,1,15154,15154,123441,123441,93,93,0.0014782728666942035
2,50,22,294.14619,worst_time_per_person,8,139,1765,148,8,1515,160,57,0,0,0,15154,15154,123441,123441,93,93,0.0014560987736937903
2,51,23,300.235949,random_routes,6,100,981,156,6,324,160,121,1,0,0,15154,15154,123441,123441,93,93,0.0014342572920883834
