stage,operator,weight,calls,accepted,improved,new_global_best,feasible_repairs,failed_repairs,total_gain_minutes,mean_gain_when_improving,runtime_seconds,mean_destroyed_routes
1,land_reassignment,2.208333,9,5,2,2,9,0,23,11.5,30.427,5.556
1,low_utilization,0.7125,7,6,0,0,7,0,0,0.0,44.107,5.714
1,random_routes,1.0,6,6,0,0,6,0,0,0.0,25.915,5.5
1,related_routes,1.645833,3,2,1,1,3,0,18,18.0,12.707,5.333
1,worst_time_per_person,1.75,8,6,2,1,8,0,9,4.5,38.355,5.625
2,land_reassignment,1.55,5,5,1,1,5,0,3,3.0,44.836,7.4
2,low_utilization,2.5625,4,4,3,2,4,0,19,6.333,30.268,7.5
2,random_routes,3.75,4,4,2,2,4,0,3,1.5,27.53,7.5
2,related_routes,1.75,3,2,1,0,3,0,0,0.0,23.307,7.0
2,worst_time_per_person,2.833333,5,3,2,2,5,0,21,10.5,30.323,7.0
