stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,30.755512,worst_time_per_person,6,99,1298,524,6,0,0,0,15371,15371,120870,120870,95,95,0.002
1,2,2,58.749613,low_utilization,6,91,919,439,6,1,1,1,15370,15370,120764,120764,95,95,0.00197
1,3,3,81.95871,land_reassignment,6,106,758,324,6,1,1,1,15360,15360,120816,120816,95,95,0.00194045
1,4,4,88.386759,related_routes,5,79,1152,193,5,0,0,0,15360,15360,120816,120816,95,95,0.0019113432500000001
1,5,5,105.450561,low_utilization,5,69,631,318,5,0,0,0,15360,15360,120816,120816,95,95,0.00188267310125
2,6,1,123.716443,land_reassignment,6,102,708,441,6,1,1,1,15353,15353,120904,120904,95,95,0.002
2,7,2,146.238819,random_routes,7,125,1238,413,7,1,0,0,15353,15353,120904,120904,95,95,0.00197
2,8,3,174.982452,worst_time_per_person,7,107,1518,800,7,0,0,0,15353,15353,120904,120904,95,95,0.00194045
2,9,4,184.617757,low_utilization,6,83,831,415,5,1,1,1,15325,15325,121698,121698,94,94,0.0019113432500000001
2,10,5,206.608818,land_reassignment,8,146,1160,321,8,1,0,0,15332,15325,121831,121698,94,94,0.00188267310125
