person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0002,T2,10,0,1
P0004,T3,11,0,1
P0007,T3,21,0,2
P0008,T3,46,0,1
P0015,T3,5,0,1
P0016,T3,14,0,1
P0020,T3,3,0,1
P0027,T3,3,0,1
P0028,T3,45,0,1
P0029,T3,18,0,1
P0030,T3,5,0,1
P0033,T3,5,0,1
P0035,T3,5,0,1
P0036,T3,29,0,2
P0037,T3,14,0,1
P0040,T2,40,0,2
P0042,T2,4,0,1
P0044,T2,4,0,1
P0045,T3,29,0,1
P0049,T3,11,0,1
P0055,T2,10,0,1
P0056,T3,14,0,1
P0057,T3,30,0,2
P0058,T2,10,0,1
P0059,T3,38,0,2
P0061,T3,40,0,1
P0065,T3,21,0,2
P0066,T3,21,0,2
P0068,T2,35,0,2
P0070,T3,20,0,1
P0072,T2,25,0,2
P0074,T2,41,0,1
P0077,T3,45,0,1
P0081,T3,1,0,1
P0083,T3,21,0,2
P0086,T3,41,0,1
P0089,T2,4,0,1
P0091,T3,20,0,1
P0093,T3,11,0,1
P0094,T3,18,0,1
P0095,T2,42,0,2
P0097,T3,24,0,1
P0099,T2,17,0,2
P0102,T2,24,0,2
P0111,T2,35,0,2
P0113,T2,4,0,1
P0115,T2,35,0,1
P0116,T3,21,0,2
P0124,T3,46,0,1
P0126,T2,10,0,1
P0132,T2,42,0,2
P0134,T3,29,0,1
P0137,T2,37,0,1
P0138,T3,32,0,1
P0140,T3,49,0,1
P0146,T2,1,0,1
P0147,T3,32,0,1
P0148,T3,14,0,1
P0151,T2,4,0,1
P0158,T2,4,0,1
P0159,T3,33,0,1
P0166,T3,37,0,2
P0169,T3,39,0,1
P0172,T3,44,0,1
P0174,T1,1,0,1
P0177,T3,42,0,2
P0184,T2,24,0,2
P0186,T2,4,0,1
P0188,T2,15,0,1
P0191,T2,39,0,1
P0192,T3,19,0,1
P0193,T3,18,0,1
P0199,T3,50,0,1
P0203,T3,14,0,1
P0206,T2,25,0,2
P0209,T3,14,0,1
P0213,T2,34,0,3
P0214,T2,10,0,1
P0215,T3,34,0,1
P0216,T3,20,0,1
P0221,T2,15,0,1
P0222,T3,19,0,1
P0226,T2,34,0,2
P0227,T3,47,0,2
P0228,T3,11,0,1
P0229,T2,38,0,2
P0230,T2,28,0,1
P0238,T2,27,0,1
P0239,T3,11,0,1
P0240,T2,4,0,1
P0241,T3,31,0,2
P0244,T2,4,0,1
P0245,T3,36,0,1
P0247,T3,11,0,1
P0249,T2,7,0,1
P0252,T3,41,0,1
P0253,T3,32,0,1
P0254,T3,14,0,1
P0255,T2,22,0,2
P0257,T3,5,0,1
P0259,T2,41,0,1
P0260,T3,50,0,1
P0266,T3,11,0,1
P0267,T2,4,0,1
P0268,T2,10,0,1
P0269,T3,31,0,1
P0272,T3,31,0,2
P0275,T2,37,0,2
P0284,T1,1,0,1
P0288,T3,19,0,1
P0289,T3,31,0,2
P0293,T1,1,0,1
P0294,T3,37,0,1
P0298,T2,35,0,2
P0299,T3,33,0,1
P0300,T3,14,0,1
P0303,T3,40,0,1
P0304,T3,18,0,1
P0305,T3,21,0,2
P0306,T3,33,0,1
P0307,T2,34,0,3
P0311,T3,14,0,1
P0320,T3,31,0,2
P0323,T3,27,0,1
P0326,T3,47,0,2
P0330,T3,50,0,1
P0332,T3,39,0,1
P0338,T2,27,0,1
P0344,T3,29,0,1
P0347,T3,39,0,1
P0349,T2,24,0,2
P0350,T2,7,0,1
P0357,T3,39,0,1
P0365,T2,21,0,2
P0367,T2,43,0,2
P0368,T3,47,0,2
P0369,T3,34,0,1
P0371,T2,29,0,1
P0375,T3,45,0,1
P0376,T3,14,0,1
P0377,T3,47,0,2
P0379,T2,17,0,2
P0382,T2,29,0,1
P0385,T2,27,0,1
P0386,T3,50,0,2
P0387,T3,20,0,1
P0388,T3,34,0,1
P0390,T2,17,0,2
P0393,T2,4,0,1
P0394,T3,14,0,1
P0395,T3,45,0,1
P0396,T2,41,0,1
P0399,T2,27,0,1
P0401,T3,34,0,1
P0402,T3,1,0,1
P0404,T3,21,0,2
P0409,T2,6,0,1
P0410,T2,34,0,3
P0414,T3,18,0,1
P0415,T3,14,0,1
P0417,T2,38,0,2
P0418,T3,43,0,1
P0419,T2,38,0,2
