model,iteration,candidate_count,spearman,recall_at_25,ndcg_at_25,high_saving_coverage_at_25,best_move_hit_at_25,recall_at_50,ndcg_at_50,high_saving_coverage_at_50,best_move_hit_at_50
raw_distance,0,141,0.26960380248405547,0.36,0.7391831350253792,0.7802225594334851,1.0,0.46,0.7776679515529098,0.8190409026798308,1.0
raw_distance,1,131,0.3886166468576641,0.36,0.8143053732824908,0.8206686930091185,0.0,0.56,0.8439807970928219,0.8610226065847367,1.0
raw_distance,2,121,0.4659980858483427,0.48,0.8692094000438809,0.8701183431952663,1.0,0.62,0.8904714515190332,0.9001458907440428,1.0
raw_distance,3,114,0.45694115267226065,0.56,0.8544827312198705,0.8667706708268331,1.0,0.58,0.8826076636079334,0.9018874341098453,1.0
raw_distance,4,99,0.3987256025224003,0.56,0.8628429822163757,0.8627387504046617,1.0,0.66,0.8928525170024426,0.9072788752447055,1.0
raw_distance,5,77,0.6451392330383594,0.6,0.9177912238357837,0.9190193164933135,1.0,0.82,0.9449571491166164,0.9566854990583804,1.0
raw_distance,6,43,0.6341076708896728,0.72,0.930719736585407,0.9458422174840085,1.0,1.0,0.9669445829362269,1.0,1.0
raw_distance,7,27,0.7928190290452201,0.96,0.9554369906998852,0.9815229563269877,1.0,1.0,0.9664492518472317,1.0,1.0
raw_distance,8,14,0.5852588800051418,1.0,0.9748156893307495,1.0,1.0,1.0,0.9748156893307495,1.0,1.0
raw_distance,9,9,0.8666666666666667,1.0,0.975331881245416,1.0,1.0,1.0,0.975331881245416,1.0,1.0
distance_consensus,0,141,0.33083356443768186,0.4,0.7782589206185828,0.8242286292362165,1.0,0.46,0.793403479025904,0.8284908321579689,1.0
distance_consensus,1,131,0.4353318847097585,0.36,0.8245631222650014,0.8300635534678088,0.0,0.56,0.8434843584806011,0.8572295554544075,0.0
distance_consensus,2,121,0.5009595557746915,0.48,0.8799829503021407,0.8784023668639053,1.0,0.66,0.897148592809409,0.9064678229858972,1.0
distance_consensus,3,114,0.49582247506434096,0.52,0.8504594473682402,0.8564742589703588,1.0,0.66,0.895906710829773,0.9202516578813127,1.0
distance_consensus,4,99,0.4631867434824383,0.44,0.8381007665082106,0.8326319197151182,1.0,0.7,0.8887277331340802,0.9067449724150205,1.0
distance_consensus,5,77,0.6487202684703932,0.68,0.8965143252622808,0.9364784546805349,1.0,0.82,0.9240541402732797,0.9594057334170328,1.0
distance_consensus,6,43,0.6191555694987818,0.72,0.9109876716348148,0.9547974413646055,1.0,1.0,0.946519883577828,1.0,1.0
distance_consensus,7,27,0.7343823739324093,0.96,0.9409334719191379,0.9916013437849944,1.0,1.0,0.9465651142495632,1.0,1.0
distance_consensus,8,14,0.4461538461538462,1.0,0.938774735207475,1.0,1.0,1.0,0.938774735207475,1.0,1.0
distance_consensus,9,9,0.5166666666666667,1.0,0.9551100762203086,1.0,1.0,1.0,0.9551100762203086,1.0,1.0
distance_airport,0,141,0.08974964220457446,0.24,0.711996644932005,0.7460799190692969,0.0,0.38,0.7440950834403631,0.7791255289139634,1.0
distance_airport,1,131,0.22891785068656778,0.28,0.8047626850956711,0.8151423045040066,0.0,0.5,0.8153565014535668,0.8259748141404946,0.0
distance_airport,2,121,0.33465677439638386,0.48,0.8672784010500304,0.8727810650887574,1.0,0.54,0.8637985868267781,0.8659426163073431,1.0
distance_airport,3,114,0.3289286352644268,0.56,0.8640960624376786,0.8748829953198128,1.0,0.52,0.8549094098430794,0.8575072266621323,1.0
distance_airport,4,99,0.2905670204574021,0.56,0.8598580405932299,0.8595014567821302,1.0,0.66,0.8606592457988841,0.8617191671115857,1.0
distance_airport,5,77,0.6635240714145113,0.68,0.9330919842802866,0.9439078751857355,1.0,0.78,0.9331240832307767,0.9414103368905629,1.0
distance_airport,6,43,0.6538258642895517,0.68,0.9061565523381562,0.9390191897654584,1.0,1.0,0.9506751437470815,1.0,1.0
distance_airport,7,27,0.7337714068991876,0.96,0.9435309923525593,0.996080627099664,1.0,1.0,0.9466253638713288,1.0,1.0
distance_airport,8,14,0.46373626373626375,1.0,0.9466541174239839,1.0,1.0,1.0,0.9466541174239839,1.0,1.0
distance_airport,9,9,0.6166666666666667,1.0,0.9691453736640362,1.0,1.0,1.0,0.9691453736640362,1.0,1.0
distance_fuel,0,141,0.3430531545671286,0.4,0.7659367194982252,0.828780981284775,1.0,0.48,0.7894116567252883,0.835966149506347,1.0
distance_fuel,1,131,0.3846684679994278,0.4,0.839348618994555,0.8690245924288478,1.0,0.48,0.8337355036662949,0.8500986193293886,1.0
distance_fuel,2,121,0.3914375745658265,0.44,0.8460956367259238,0.8494082840236686,1.0,0.52,0.8521702228095425,0.8581617766250608,1.0
distance_fuel,3,114,0.3816347837838152,0.56,0.8417137676310837,0.8533541341653667,1.0,0.52,0.854247155563878,0.8675395340928413,1.0
distance_fuel,4,99,0.3541035850373523,0.52,0.8301766600655848,0.8319844609906119,1.0,0.68,0.8501357212577992,0.8599394910126357,1.0
distance_fuel,5,77,0.6901521487207497,0.56,0.8976338838945486,0.8959881129271917,1.0,0.78,0.9358216671879301,0.9504080351537979,1.0
