iteration,ranker,candidate_rank,selected,left_index,right_index,base_airport,left_signature,right_signature,left_load,right_load,left_services,right_services,same_cluster_fraction,minimum_distance_km,airport_profile_gap_km,fuel_signature_gap,distance_relatedness,consensus_relatedness,airport_relatedness,fuel_relatedness,capacity_relatedness,static_relatedness_score,context_capacity_score,context_stop_score,context_airport_score,context_relatedness_score,combined_candidate_score,outcome,route_evaluations,technical_stop_searches,augmentation_cache_hits,lower_bound_pruned,augmentation_infeasible,saving_minutes,accepted,evaluated_elapsed_seconds,accepted_elapsed_seconds
0,static_selected_distance,1,True,97,99,A03,A03|F046|1|P2863,A03|F047|5|P0040+P1063+P1231+P2315+P2850,1,5,F046,F047,0.0,15.0,13.333333333333334,,0.9966037735849057,1.0,0.9116981132075471,0.659622641509434,0.789622641509434,0.9966037735849057,,,,,0.9966037735849057,improving_not_selected,6,6,0,0,0,147,False,3.762615300001926,
0,static_selected_distance,2,True,97,103,A03,A03|F046|1|P2863,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,1,14,F046,F049,0.0,17.0,11.333333333333334,,0.9916981132075472,1.0,0.9350943396226415,0.659622641509434,0.5169811320754717,0.9916981132075472,,,,,0.9916981132075472,improving_not_selected,4,4,0,0,0,146,False,3.999215700001514,
0,static_selected_distance,3,True,15,19,A01,A01|F008|3|P1310+P1334+P3410,A01|F010|12|P0028+P0077+P0375+P0395+P0583+P0631+P0642+P0835+P1907+P2840+P3644+P3775,3,12,F008,F010,0.0,19.0,3.6666666666666665,,0.9864150943396226,0.9292451888601003,0.9932075471698113,0.9592452830188679,0.16943396226415092,0.9864150943396226,,,,,0.9864150943396226,improving_not_selected,4,4,0,0,0,131,False,1.2913420999975642,
0,static_selected_distance,4,True,99,103,A03,A03|F047|5|P0040+P1063+P1231+P2315+P2850,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,5,14,F047,F049,0.0,19.0,2.6666666666666665,,0.9864150943396226,1.0,0.9984905660377359,0.9864150943396226,0.6722641509433962,0.9864150943396226,,,,,0.9864150943396226,improving_not_selected,2,2,0,0,0,142,False,4.372317599998496,
0,static_selected_distance,5,True,54,62,A02,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,A02|F029|12|P0226+P1827+P1956+P2101+P2590+P2617+P2683+P2796+P2810+P3402+P3626+P3741,7,12,F025,F029,0.0,24.0,12.666666666666666,,0.9739622641509434,0.8398196483967807,0.9226415094339623,0.9864150943396226,0.5615094339622642,0.9739622641509434,,,,,0.9739622641509434,improving_not_selected,2,2,0,0,0,117,False,3.089145300000382,
0,static_selected_distance,6,True,0,37,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F019|13|P0045+P0134+P0344+P0493+P0572+P0946+P1099+P1101+P1160+P1164+P1284+P1345+P1500,4,13,F001,F019,0.0,25.0,17.333333333333332,,0.9694339622641509,0.8643391615585597,0.8456603773584905,0.9328301886792453,0.4420754716981132,0.9694339622641509,,,,,0.9694339622641509,improving_not_selected,2,2,0,0,0,127,False,0.40979150000202935,
0,static_selected_distance,7,True,9,29,A01,A01|F005|11|P0177+P0622+P0879+P0978+P1006+P1078+P1307+P1710+P1910+P3403+P3882,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,11,7,F005,F015,0.0,25.0,4.0,,0.9694339622641509,0.7843564518281836,0.9909433962264151,0.9864150943396226,0.5615094339622642,0.9694339622641509,,,,,0.9694339622641509,improving_not_selected,2,2,0,0,0,81,False,0.9024827999965055,
0,static_selected_distance,8,True,27,29,A01,A01|F014|12|P0061+P0303+P0849+P1095+P1163+P1235+P1805+P1853+P1902+P2120+P2969+P3614,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F014,F015,0.0,27.0,26.666666666666668,,0.9633962264150944,1.0,0.7090566037735849,0.659622641509434,0.4420754716981132,0.9633962264150944,,,,,0.9633962264150944,improving_not_selected,2,2,0,0,0,74,False,2.27735820000089,
0,static_selected_distance,9,True,86,90,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F043|14|P0095+P0132+P0520+P0588+P0601+P0778+P0848+P0965+P1050+P1171+P1294+P2636+P3023+P3270,5,14,F041,F043,0.0,28.0,23.0,,0.9607547169811321,0.919016780894375,0.7615094339622641,0.9864150943396226,0.7460377358490566,0.9607547169811321,,,,,0.9607547169811321,improving_not_selected,2,2,0,0,0,151,False,3.338698999999906,
0,static_selected_distance,10,True,3,13,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F007|9|P0057+P0480+P0652+P0685+P0786+P0812+P1703+P1838+P2738,7,9,F002,F007,0.0,30.0,14.666666666666666,,0.9566037735849057,1.0,0.8883018867924528,0.9328301886792453,0.5615094339622642,0.9566037735849057,,,,,0.9566037735849057,improving_not_selected,4,4,0,0,0,122,False,0.7637448999957996,
0,static_selected_distance,11,True,21,29,A01,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F011,F015,0.0,31.0,13.0,,0.9535849056603773,0.7043643178278647,0.9166037735849056,0.6988679245283018,0.6722641509433962,0.9535849056603773,,,,,0.9535849056603773,improving_not_selected,2,2,0,0,0,79,False,2.114846899996337,
